consumer,resource
Lithobius_sp.,Achipteria_coleoptrata
Plectophoreus_fischeri,Achipteria_coleoptrata
Trimium_brevicorne,Achipteria_coleoptrata
Lithobius_aeruginosus_(juv),Achipteria_coleoptrata
Lithobius_sp1_{l},Achipteria_coleoptrata
Strigamia_acuminata,Aegopinella_nitens
Strigamia_acuminata,Aegopinella_nitens_(juv)
Lithobius_dentatus,Agriotes_aterrimus_(juv)
Lithobius_sp.,Agriotes_aterrimus_(juv)
Strigamia_acuminata,Agriotes_aterrimus_(juv)
Malthodes_sp._(juv),Agriotes_aterrimus_(juv)
Trechus_sp._(juv),Agriotes_aterrimus_(juv)
Amaurobius_sp._(juv),Agriotes_aterrimus_(juv)
Robertus_lividus,Agriotes_aterrimus_(juv)
Staphylinidae_spec,Agriotes_aterrimus_(juv)
Harpalus_affinis,Agriotes_aterrimus_(juv)
Theridiidae_sp._(juv),Agriotes_aterrimus_(juv)
Athous_subfuscus_(juv)_{m},Allacma_fusca
Plectophoreus_fischeri,Allacma_fusca
Trimium_brevicorne,Allacma_fusca
Linyphiidae_(juv),Allacma_fusca
Robertus_sp._(juv)_{m},Allacma_fusca
Leptogamasus_suecicus,Allacma_fusca
Lysigamasus_vagabundus,Allacma_fusca
Veigaia_nemorensis,Allacma_fusca
Veigaia_nemorensis_(juv),Allacma_fusca
Zerconopsis_remiger,Allacma_fusca
Lithobius_aeruginosus_(juv),Allacma_fusca
Lithobius_sp1_{l},Allacma_fusca
Linyphiidae_cf_Erigoniinae_(juv)_{m},Allacma_fusca
Othius_sp._(juv)_{s},Allacma_fusca
Lithobius_dentatus,Allaiulus_nitidus_(juv)_{l}
Lithobius_sp.,Allaiulus_nitidus_(juv)_{l}
Strigamia_acuminata,Allaiulus_nitidus_(juv)_{l}
Malthodes_sp._(juv),Allaiulus_nitidus_(juv)_{l}
Trechus_sp._(juv),Allaiulus_nitidus_(juv)_{l}
Xantholinus_sp._(juv)_{m},Allaiulus_nitidus_(juv)_{l}
Lithobius_aeruginosus_(juv),Allaiulus_nitidus_(juv)_{l}
Lithobius_sp1_{l},Allaiulus_nitidus_(juv)_{l}
Staphylinidae_spec,Allaiulus_nitidus_(juv)_{l}
Harpalus_affinis,Allaiulus_nitidus_(juv)_{l}
Lithobius_dentatus,Allaiulus_nitidus_{xl}
Lithobius_sp.,Allaiulus_nitidus_{xl}
Strigamia_acuminata,Allaiulus_nitidus_{xl}
Trechus_sp._(juv),Allaiulus_nitidus_{xl}
Harpalus_affinis,Allaiulus_nitidus_{xl}
Lithobius_dentatus,Amaurobius_sp._(juv)
Lithobius_sp.,Amaurobius_sp._(juv)
Strigamia_acuminata,Amaurobius_sp._(juv)
Amaurobius_sp._(juv),Amaurobius_sp._(juv)
Carabidae_sp._(juv),Amaurobius_sp._(juv)
Harpalus_affinis,Amaurobius_sp._(juv)
Isotomiella_minor,amoebae
Parisotoma_notabilis,amoebae
Aporrectodea_rosea,amoebae
Chamobates_borealis,amoebae
predacious_nematodes,amoebae
omnivorous_nematodes,amoebae
Enchytraeidae,amoebae
Lithobius_dentatus,Apionidae_sp.
Lithobius_sp.,Apionidae_sp.
Strigamia_acuminata,Apionidae_sp.
Malthodes_sp._(juv),Apionidae_sp.
Trechus_sp._(juv),Apionidae_sp.
Athous_subfuscus_(juv)_{m},Apionidae_sp.
Xantholinus_sp._(juv)_{m},Apionidae_sp.
Amaurobius_sp._(juv),Apionidae_sp.
Diplocephalus_picinus,Apionidae_sp.
Linyphiidae_(juv),Apionidae_sp.
Micrargus_herbigradus,Apionidae_sp.
Robertus_lividus,Apionidae_sp.
Robertus_sp._(juv)_{m},Apionidae_sp.
Clubionidae_(juv),Apionidae_sp.
Lithobius_aeruginosus_(juv),Apionidae_sp.
Lithobius_sp1_{l},Apionidae_sp.
Othius_sp._(juv)_{s},Apionidae_sp.
Staphylinidae_spec,Apionidae_sp.
Tenuiphantes_tenuis,Apionidae_sp.
Theridiidae_sp._(juv),Apionidae_sp.
Walckenaeria_nudipalpis,Apionidae_sp.
Carabidae_sp._(juv),Aporrectodea_rosea
Plectophoreus_fischeri,Asca_bicornis
Trimium_brevicorne,Asca_bicornis
Robertus_sp._(juv)_{m},Asca_bicornis
Leptogamasus_suecicus,Asca_bicornis
Lysigamasus_vagabundus,Asca_bicornis
Pergamasinae_(juv)_{xs},Asca_bicornis
Veigaia_nemorensis,Asca_bicornis
Veigaia_nemorensis_(juv),Asca_bicornis
Zerconopsis_remiger,Asca_bicornis
Asca_bicornis,Asca_bicornis
Prozercon_cf_traeghardi,Asca_bicornis
Linyphiidae_cf_Erigoniinae_(juv)_{m},Asca_bicornis
Lithobius_dentatus,Athous_haemorrhoidalis_(juv)
Lithobius_sp.,Athous_haemorrhoidalis_(juv)
Strigamia_acuminata,Athous_haemorrhoidalis_(juv)
Amaurobius_sp._(juv),Athous_haemorrhoidalis_(juv)
Carabidae_sp._(juv),Athous_haemorrhoidalis_(juv)
Harpalus_affinis,Athous_haemorrhoidalis_(juv)
Lithobius_dentatus,Athous_sp._(juv)
Lithobius_sp.,Athous_sp._(juv)
Strigamia_acuminata,Athous_sp._(juv)
Malthodes_sp._(juv),Athous_sp._(juv)
Trechus_sp._(juv),Athous_sp._(juv)
Xantholinus_sp._(juv)_{m},Athous_sp._(juv)
Amaurobius_sp._(juv),Athous_sp._(juv)
Diplocephalus_picinus,Athous_sp._(juv)
Micrargus_herbigradus,Athous_sp._(juv)
Robertus_lividus,Athous_sp._(juv)
Clubionidae_(juv),Athous_sp._(juv)
Lithobius_aeruginosus_(juv),Athous_sp._(juv)
Lithobius_sp1_{l},Athous_sp._(juv)
Staphylinidae_spec,Athous_sp._(juv)
Harpalus_affinis,Athous_sp._(juv)
Tenuiphantes_tenuis,Athous_sp._(juv)
Theridiidae_sp._(juv),Athous_sp._(juv)
Walckenaeria_nudipalpis,Athous_sp._(juv)
Lithobius_dentatus,Athous_subfuscus_(juv)_{m}
Lithobius_sp.,Athous_subfuscus_(juv)_{m}
Strigamia_acuminata,Athous_subfuscus_(juv)_{m}
Malthodes_sp._(juv),Athous_subfuscus_(juv)_{m}
Trechus_sp._(juv),Athous_subfuscus_(juv)_{m}
Athous_subfuscus_(juv)_{m},Athous_subfuscus_(juv)_{m}
Xantholinus_sp._(juv)_{m},Athous_subfuscus_(juv)_{m}
Amaurobius_sp._(juv),Athous_subfuscus_(juv)_{m}
Diplocephalus_picinus,Athous_subfuscus_(juv)_{m}
Linyphiidae_(juv),Athous_subfuscus_(juv)_{m}
Micrargus_herbigradus,Athous_subfuscus_(juv)_{m}
Robertus_lividus,Athous_subfuscus_(juv)_{m}
Clubionidae_(juv),Athous_subfuscus_(juv)_{m}
Lithobius_aeruginosus_(juv),Athous_subfuscus_(juv)_{m}
Lithobius_sp1_{l},Athous_subfuscus_(juv)_{m}
Othius_sp._(juv)_{s},Athous_subfuscus_(juv)_{m}
Staphylinidae_spec,Athous_subfuscus_(juv)_{m}
Harpalus_affinis,Athous_subfuscus_(juv)_{m}
Tenuiphantes_tenuis,Athous_subfuscus_(juv)_{m}
Theridiidae_sp._(juv),Athous_subfuscus_(juv)_{m}
Walckenaeria_nudipalpis,Athous_subfuscus_(juv)_{m}
Lithobius_dentatus,Athous_zebei_(juv)_{m}
Lithobius_sp.,Athous_zebei_(juv)_{m}
Strigamia_acuminata,Athous_zebei_(juv)_{m}
Trechus_sp._(juv),Athous_zebei_(juv)_{m}
Amaurobius_sp._(juv),Athous_zebei_(juv)_{m}
Robertus_lividus,Athous_zebei_(juv)_{m}
Harpalus_affinis,Athous_zebei_(juv)_{m}
Plectophoreus_fischeri,Atropacarus_striculus
Trimium_brevicorne,Atropacarus_striculus
Lithobius_aeruginosus_(juv),Atropacarus_striculus
Lithobius_sp1_{l},Atropacarus_striculus
Mesaphorura_sp.,bacterivorous_nematodes
Athous_subfuscus_(juv)_{m},bacterivorous_nematodes
Xantholinus_sp._(juv)_{m},bacterivorous_nematodes
Leptogamasus_suecicus,bacterivorous_nematodes
Lysigamasus_vagabundus,bacterivorous_nematodes
Pergamasinae_(juv)_{xs},bacterivorous_nematodes
Trachytes_aegrota,bacterivorous_nematodes
Trachytes_pauperior_(juv),bacterivorous_nematodes
Veigaia_nemorensis,bacterivorous_nematodes
Veigaia_nemorensis_(juv),bacterivorous_nematodes
Zerconopsis_remiger,bacterivorous_nematodes
Hypochthonius_rufulus,bacterivorous_nematodes
Oribatida_sp._(juv),bacterivorous_nematodes
Oppiella_falcata,bacterivorous_nematodes
Oppiella_nova,bacterivorous_nematodes
Oppiella_subpectinata,bacterivorous_nematodes
Pilogalumna_tenuiclava,bacterivorous_nematodes
predacious_nematodes,bacterivorous_nematodes
omnivorous_nematodes,bacterivorous_nematodes
Suctobelba_trigona,bacterivorous_nematodes
Suctobelbella_sp.,bacterivorous_nematodes
Asca_bicornis,bacterivorous_nematodes
Prozercon_cf_traeghardi,bacterivorous_nematodes
Mesaphorura_macrochaeta,bacterivorous_nematodes
Trachytes_aegrota_(juv)_{s},bacterivorous_nematodes
Trachytes_pauperior{s},bacterivorous_nematodes
Othius_sp._(juv)_{s},bacterivorous_nematodes
Plectophoreus_fischeri,Brachychthoniidae_spp.
Trimium_brevicorne,Brachychthoniidae_spp.
Lithobius_aeruginosus_(juv),Brachychthoniidae_spp.
Lithobius_sp1_{l},Brachychthoniidae_spp.
Carabidae_sp._(juv),Carabidae_sp._(juv)
Lithobius_dentatus,Carabodes_coriaceus
Lithobius_sp.,Carabodes_coriaceus
Strigamia_acuminata,Carabodes_coriaceus
Plectophoreus_fischeri,Carabodes_coriaceus
Trimium_brevicorne,Carabodes_coriaceus
Lithobius_aeruginosus_(juv),Carabodes_coriaceus
Lithobius_sp1_{l},Carabodes_coriaceus
Plectophoreus_fischeri,Ceratozetes_gracilis
Trimium_brevicorne,Ceratozetes_gracilis
Lithobius_aeruginosus_(juv),Ceratozetes_gracilis
Lithobius_sp1_{l},Ceratozetes_gracilis
Plectophoreus_fischeri,Chamobates_borealis
Trimium_brevicorne,Chamobates_borealis
Lithobius_aeruginosus_(juv),Chamobates_borealis
Lithobius_sp1_{l},Chamobates_borealis
Plectophoreus_fischeri,Chamobates_voigtsi
Trimium_brevicorne,Chamobates_voigtsi
Lithobius_aeruginosus_(juv),Chamobates_voigtsi
Lithobius_sp1_{l},Chamobates_voigtsi
Isotomiella_minor,ciliates
Parisotoma_notabilis,ciliates
Aporrectodea_rosea,ciliates
Chamobates_borealis,ciliates
predacious_nematodes,ciliates
omnivorous_nematodes,ciliates
Enchytraeidae,ciliates
Lithobius_dentatus,Clubionidae_(juv)
Lithobius_sp.,Clubionidae_(juv)
Strigamia_acuminata,Clubionidae_(juv)
Malthodes_sp._(juv),Clubionidae_(juv)
Trechus_sp._(juv),Clubionidae_(juv)
Amaurobius_sp._(juv),Clubionidae_(juv)
Robertus_lividus,Clubionidae_(juv)
Clubionidae_(juv),Clubionidae_(juv)
Staphylinidae_spec,Clubionidae_(juv)
Harpalus_affinis,Clubionidae_(juv)
Theridiidae_sp._(juv),Clubionidae_(juv)
Lithobius_dentatus,Coleoptera_sp.
Lithobius_sp.,Coleoptera_sp.
Strigamia_acuminata,Coleoptera_sp.
Malthodes_sp._(juv),Coleoptera_sp.
Trechus_sp._(juv),Coleoptera_sp.
Xantholinus_sp._(juv)_{m},Coleoptera_sp.
Amaurobius_sp._(juv),Coleoptera_sp.
Diplocephalus_picinus,Coleoptera_sp.
Micrargus_herbigradus,Coleoptera_sp.
Robertus_lividus,Coleoptera_sp.
Clubionidae_(juv),Coleoptera_sp.
Lithobius_aeruginosus_(juv),Coleoptera_sp.
Lithobius_sp1_{l},Coleoptera_sp.
Staphylinidae_spec,Coleoptera_sp.
Harpalus_affinis,Coleoptera_sp.
Tenuiphantes_tenuis,Coleoptera_sp.
Theridiidae_sp._(juv),Coleoptera_sp.
Walckenaeria_nudipalpis,Coleoptera_sp.
Lithobius_dentatus,Coleoptera_sp._(juv)
Lithobius_sp.,Coleoptera_sp._(juv)
Strigamia_acuminata,Coleoptera_sp._(juv)
Carabidae_sp._(juv),Coleoptera_sp._(juv)
Harpalus_affinis,Coleoptera_sp._(juv)
Athous_subfuscus_(juv)_{m},Dicyrtomina_ornata
Plectophoreus_fischeri,Dicyrtomina_ornata
Trimium_brevicorne,Dicyrtomina_ornata
Xantholinus_sp._(juv)_{m},Dicyrtomina_ornata
Diplocephalus_picinus,Dicyrtomina_ornata
Linyphiidae_(juv),Dicyrtomina_ornata
Micrargus_herbigradus,Dicyrtomina_ornata
Robertus_sp._(juv)_{m},Dicyrtomina_ornata
Lysigamasus_vagabundus,Dicyrtomina_ornata
Veigaia_nemorensis,Dicyrtomina_ornata
Zerconopsis_remiger,Dicyrtomina_ornata
