consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,2
Zooplankton,NA,NA,0.001,marine,3
Stramonita_haemastoma,species,NA,0.01,marine,2
Nodilittorina_lineolata,species,NA,0.01,marine,2
Mytilaster_solisianus,species,NA,0.04,marine,2
Pachygrapsus_transversus,species,NA,1.16,marine,2
Isopoda,order,NA,0.01,marine,2
Sebidae,family,NA,0.01,marine,2
Colomastigidae,family,NA,0.01,marine,2
Polychaeta,class,NA,0.01,marine,2
Clibanarius_vittatus,species,NA,0.01,marine,2
Zooplankton,NA,NA,0.001,marine,3
Copepoda,NA,NA,0.001,marine,3
Mytilaster_solisianus,species,NA,0.04,marine,3
Crassostrea_virginica,species,NA,8.59,marine,3
Isopoda,order,NA,0.01,marine,2
Colomastigidae,family,NA,0.01,marine,3
Sebidae,family,NA,0.01,marine,3
Polychaeta,class,NA,0.01,marine,3
Eriphia_gonagra,species,NA,0.01,marine,2
Stramonita_haemastoma,species,NA,0.01,marine,2
Morula_nodulosa,species,NA,1.51,marine,2
Pachygrapsus_transversus,species,NA,1.16,marine,2
Polychaeta,class,NA,0.01,marine,2
