consumer,resource
Zooplankton,Zooplankton
Copepoda,Zooplankton
Crassostrea_virginica,Zooplankton
Tanaidacea,Zooplankton
Gammaridae,Zooplankton
Polychaeta,Zooplankton
Pachygrapsus_transversus,Pachygrapsus_transversus
Bathygobius_soporator,Pachygrapsus_transversus
Pachygrapsus_transversus,Bathygobius_soporator
Bathygobius_soporator,Callinectes_sapidus
Callinectes_sapidus,Tanaidacea
Bathygobius_soporator,Tanaidacea
Callinectes_sapidus,Gammaridae
Bathygobius_soporator,Gammaridae
Bathygobius_soporator,Nematoda
Callinectes_sapidus,Polychaeta
Bathygobius_soporator,Polychaeta
Polychaeta,Polychaeta
