consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Pachygrapsus_transversus,species,NA,2.58,marine
Bathygobius_soporator,species,NA,1.75,marine
Callinectes_sapidus,species,NA,0.01,marine
Tanaidacea,NA,NA,0.01,marine
Gammaridae,family,NA,0.01,marine
Nematoda,NA,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Copepoda,NA,NA,0.001,marine
Crassostrea_virginica,species,NA,6.54,marine
Tanaidacea,NA,NA,0.01,marine
Gammaridae,family,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Pachygrapsus_transversus,species,NA,2.58,marine
Bathygobius_soporator,species,NA,1.75,marine
Callinectes_sapidus,species,NA,0.01,marine
