consumer,resource
Chloroperla_tripunctata,Chironomidae
Chloroperla_tripunctata,Chloroperla_tripunctata
Chloroperla_tripunctata,Leuctra_inermis
Isoperla_grammatica,Chironomidae
Isoperla_grammatica,Isoperla_grammatica
Isoperla_grammatica,Leuctra_inermis
Isoperla_grammatica,Simuliidae
Isoperla_grammatica,Siphonoperla_torrentium
Simuliidae,Chironomidae
Simuliidae,Simuliidae
Siphonoperla_torrentium,Chironomidae
Siphonoperla_torrentium,Chloroperla_tripunctata
Siphonoperla_torrentium,Isoperla_grammatica
Siphonoperla_torrentium,Leuctra_inermis
Siphonoperla_torrentium,Simuliidae
Siphonoperla_torrentium,Siphonoperla_torrentium
Tipulidae,Chironomidae
Tipulidae,Tipulidae
Salmo_trutta,Amphinemura_sulcicollis
Salmo_trutta,Brachyptera_risi
Salmo_trutta,Chironomidae
Salmo_trutta,Chloroperla_tripunctata
Salmo_trutta,Isoperla_grammatica
Salmo_trutta,Leuctra_inermis
Salmo_trutta,Limnius_volckmari
Salmo_trutta,Protonemura_meyeri
Salmo_trutta,Simuliidae
Salmo_trutta,Tipulidae
Salmo_trutta,Salmo_trutta
