consumer,resource,NA,NA,NA,NA
Chironomidae,family,larvae,9.22e-5,streams,2
Chloroperla_tripunctata,species,larvae,7.6338e-4,streams,2
Leuctra_inermis,species,larvae,3.91137e-4,streams,2
Isoperla_grammatica,species,larvae,7.52939e-4,streams,2
Simuliidae,family,larvae,2.73e-5,streams,2
Siphonoperla_torrentium,species,larvae,6.83142e-4,streams,2
Tipulidae,family,larvae,1.31553e-4,streams,2
Amphinemura_sulcicollis,species,larvae,2.47488e-4,streams,2
Brachyptera_risi,species,larvae,0.00144581,streams,2
Limnius_volckmari,species,larvae,5.00147e-4,streams,2
Protonemura_meyeri,species,larvae,6.70522e-4,streams,2
Salmo_trutta,species,adults,1.404279221,streams,3
