consumer,resource
Chloroperla_tripunctata,Baetis_rhodani
Chloroperla_tripunctata,Chironomidae
Chloroperla_tripunctata,Chloroperla_tripunctata
Chloroperla_tripunctata,Leuctra_hippopus
Chloroperla_tripunctata,Leuctra_inermis
Dicranota,Chironomidae
Dicranota,Dicranota
Dicranota,Leuctra_hippopus
Dicranota,Leuctra_inermis
Dicranota,Simuliidae
Hydracarina,Chironomidae
Hydracarina,Simuliidae
Isoperla_grammatica,Baetis_rhodani
Isoperla_grammatica,Chironomidae
Isoperla_grammatica,Isoperla_grammatica
Isoperla_grammatica,Leuctra_hippopus
Isoperla_grammatica,Leuctra_inermis
Isoperla_grammatica,Rhithrogena_semicolorata
Isoperla_grammatica,Rhyacophila_fasciata
Isoperla_grammatica,Simuliidae
Isoperla_grammatica,Siphonoperla_torrentium
Oreodytes_sanmarkii,Chironomidae
Oreodytes_sanmarkii,Oreodytes_sanmarkii
Plectrocnemia_geniculata,Chloroperla_tripunctata
Plectrocnemia_geniculata,Dicranota
Plectrocnemia_geniculata,Leuctra_hippopus
Plectrocnemia_geniculata,Leuctra_inermis
Plectrocnemia_geniculata,Plectrocnemia_geniculata
Plectrocnemia_geniculata,Simuliidae
Plectrocnemia_geniculata,Siphonoperla_torrentium
Plectrocnemia_geniculata,Tipulidae
Rhyacophila_fasciata,Baetis_rhodani
Rhyacophila_fasciata,Chironomidae
Rhyacophila_fasciata,Elmis_aenea
Rhyacophila_fasciata,Leuctra_hippopus
Rhyacophila_fasciata,Leuctra_inermis
Rhyacophila_fasciata,Rhyacophila_fasciata
Rhyacophila_fasciata,Simuliidae
Rhyacophila_fasciata,Siphonoperla_torrentium
Simuliidae,Chironomidae
Simuliidae,Simuliidae
Siphonoperla_torrentium,Baetis_rhodani
Siphonoperla_torrentium,Chironomidae
Siphonoperla_torrentium,Chloroperla_tripunctata
Siphonoperla_torrentium,Elmis_aenea
Siphonoperla_torrentium,Isoperla_grammatica
Siphonoperla_torrentium,Leuctra_hippopus
Siphonoperla_torrentium,Leuctra_inermis
Siphonoperla_torrentium,Simuliidae
Siphonoperla_torrentium,Siphonoperla_torrentium
Tipulidae,Chironomidae
Tipulidae,Ecdyonurus_dispar
Tipulidae,Hydracarina
Tipulidae,Tipulidae
Salmo_trutta,Amphinemura_sulcicollis
Salmo_trutta,Baetis_rhodani
Salmo_trutta,Brachyptera_risi
Salmo_trutta,Chironomidae
Salmo_trutta,Chloroperla_tripunctata
Salmo_trutta,Dicranota
Salmo_trutta,Ecdyonurus_dispar
Salmo_trutta,Elmis_aenea
Salmo_trutta,Isoperla_grammatica
Salmo_trutta,Leuctra_hippopus
Salmo_trutta,Leuctra_inermis
Salmo_trutta,Limnius_volckmari
Salmo_trutta,Oreodytes_sanmarkii
Salmo_trutta,Protonemura_meyeri
Salmo_trutta,Rhithrogena_semicolorata
Salmo_trutta,Rhyacophila_fasciata
Salmo_trutta,Simuliidae
Salmo_trutta,Tipulidae
Salmo_trutta,Salmo_trutta
