consumer,resource,NA,NA,NA,NA
Baetis_rhodani,species,larvae,4.75459e-4,streams,2
Chironomidae,family,larvae,1.98873e-4,streams,2
Chloroperla_tripunctata,species,larvae,6.87382e-4,streams,2
Leuctra_hippopus,species,larvae,3.36861e-4,streams,2
Leuctra_inermis,species,larvae,2.97568e-4,streams,2
Dicranota,genus,larvae,2.01096e-4,streams,2
Simuliidae,family,larvae,4.85135e-4,streams,2
Isoperla_grammatica,species,larvae,9.55652e-4,streams,2
Rhithrogena_semicolorata,species,larvae,0.001085472,streams,2
Rhyacophila_fasciata,species,larvae,6.4708e-4,streams,2
Siphonoperla_torrentium,species,larvae,7.86146e-4,streams,2
Oreodytes_sanmarkii,species,larvae,5.1897e-4,streams,2
Plectrocnemia_geniculata,species,larvae,0.002374558,streams,2
Tipulidae,family,larvae,4.34495e-4,streams,2
Elmis_aenea,species,larvae,1.97488e-4,streams,2
Ecdyonurus_dispar,species,larvae,0.001302807,streams,2
Hydracarina,order,adults,7.38e-5,streams,2
Amphinemura_sulcicollis,species,larvae,2.96704e-4,streams,2
Brachyptera_risi,species,larvae,0.001010928,streams,2
Limnius_volckmari,species,larvae,4.42235e-4,streams,2
Protonemura_meyeri,species,larvae,7.73298e-4,streams,2
Salmo_trutta,species,adults,5.838570413,streams,3
Salmo_trutta,species,adults,5.838570413,streams,2
