consumer,resource
Microphrys_bicornutus,Zooplankton
Zooplankton,Zooplankton
Petaloconchus_sp,Zooplankton
Mytilaster_solisianus,Zooplankton
Crassostrea_virginica,Zooplankton
Isognomon_bicolor,Zooplankton
Cuspidariidae,Zooplankton
Tanaidacea,Zooplankton
Renilla_sp,Zooplankton
Polychaeta,Zooplankton
Microphrys_bicornutus,Hymeniacidon_heliophila
Columbellidae,Hymeniacidon_heliophila
Microphrys_bicornutus,Polychaeta
Stramonita_haemastoma,Polychaeta
Bathygobius_soporator,Polychaeta
Columbellidae,Polychaeta
Polychaeta,Polychaeta
Bunodosoma_caissarum,Nodilittorina_lineolata
Bunodosoma_caissarum,Mytilaster_solisianus
Stramonita_haemastoma,Mytilaster_solisianus
Bunodosoma_caissarum,Cuspidariidae
Bathygobius_soporator,Tanaidacea
Renilla_sp,Microphrys_bicornutus
Renilla_sp,Bathygobius_soporator
