consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Polychaeta,class,NA,0.01,marine
Mytilaster_solisianus,species,NA,0.02,marine
Pachygrapsus_transversus,species,NA,0.33,marine
Tetraclita_stalactifera,species,NA,0.16,marine
Zooplankton,NA,NA,0.001,marine
Tetraclita_stalactifera,species,NA,0.16,marine
Copepoda,NA,NA,0.001,marine
Petaloconchus_sp,genus,NA,0.74,marine
Mytilaster_solisianus,species,NA,0.02,marine
Isognomon_bicolor,species,NA,0.01,marine
Tanaidacea,NA,NA,0.01,marine
Isopoda,order,NA,0.01,marine
Sebidae,family,NA,0.01,marine
Plathelminthes,NA,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Stramonita_haemastoma,species,NA,6.62,marine
Pachygrapsus_transversus,species,NA,0.33,marine
