consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Acantholeberis_curvirostris,species,NA,4.01e-5,lakes,3
Beauchampiella_eudactylota,species,NA,2.25e-5,lakes,3
Cyclops_vernalis,species,NA,2.24e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Chydorus_bicornutus,species,NA,2.18e-6,lakes,3
Chydorus_sphaericus,species,NA,2.18e-6,lakes,3
Euchlanis_sp.,genus,NA,2.18e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Monostyla_lunaris,species,NA,1.37e-6,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Daphnia_pulex,species,NA,5.8e-5,lakes,3
Diaphanosoma_birgei,species,NA,4.01e-5,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Ilyocryptus_spinifer,species,NA,1.14e-5,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Semotilus_atromaculatus,species,NA,9,lakes,3
Chrosomus_eos,species,NA,2.4,lakes,3
