consumer,resource
fish_fry,fish_eggs
Lepomis_gibbosus,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Cyclops_vernalis,copepod_nauplii
Salvelinus_fontinalis_small,Salvelinus_namaycush
Salvelinus_fontinalis_large,Salvelinus_namaycush
Tropocyclops_prasinus,Colletheca_mutabilis
Tropocyclops_prasinus,Cyclops_vernalis
Mesocyclops_edax,Colletheca_mutabilis
Mesocyclops_edax,Cyclops_vernalis
Tropocyclops_prasinus,Diaptomus_minutus
Salvelinus_fontinalis_small,Catostomus_commersoni
Tropocyclops_prasinus,Synchaeta_sp.
Salvelinus_fontinalis_large,Catostomus_commersoni
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Cyclops_vernalis,Colletheca_mutabilis
Mesocyclops_edax,Synchaeta_sp.
Salvelinus_fontinalis_small,Salvelinus_fontinalis_large
Salvelinus_fontinalis_large,Salvelinus_fontinalis_large
Salvelinus_fontinalis_small,Salvelinus_fontinalis_small
Cyclops_vernalis,Cyclops_vernalis
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Salvelinus_namaycush,Salvelinus_namaycush
Salvelinus_fontinalis_large,Salvelinus_fontinalis_small
Mesocyclops_edax,Tropocyclops_prasinus
Cyclops_vernalis,Diaptomus_minutus
Cyclops_vernalis,Synchaeta_sp.
Salvelinus_fontinalis_small,Ictalurus_nebulosus
Salvelinus_fontinalis_large,Ictalurus_nebulosus
Cyclops_vernalis,Mesocyclops_edax
Cyclops_vernalis,Tropocyclops_prasinus
Tropocyclops_prasinus,Keratella_crassa
Tropocyclops_prasinus,Bosmina_longirostris
Mesocyclops_edax,Keratella_crassa
Tropocyclops_prasinus,Trichocerca_multicrinis
Tropocyclops_prasinus,Polyarthra_euryptera
Mesocyclops_edax,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
Mesocyclops_edax,Trichocerca_multicrinis
fish_fry,copepod_nauplii
Mesocyclops_edax,Polyarthra_euryptera
Tropocyclops_prasinus,Trichocerca_similis
Salvelinus_namaycush,Catostomus_commersoni
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Cyclops_vernalis,Keratella_crassa
Mesocyclops_edax,Trichocerca_similis
Cyclops_vernalis,Bosmina_longirostris
Salvelinus_fontinalis_small,Lepomis_gibbosus
Salvelinus_fontinalis_large,Lepomis_gibbosus
Cyclops_vernalis,Trichocerca_multicrinis
Salvelinus_fontinalis_small,Notemigonus_crysoleucas
Salvelinus_namaycush,Salvelinus_fontinalis_large
Cyclops_vernalis,Polyarthra_euryptera
Salvelinus_fontinalis_large,Notemigonus_crysoleucas
Salvelinus_namaycush,Salvelinus_fontinalis_small
Tropocyclops_prasinus,Conochiloides_unicornis
Tropocyclops_prasinus,Lecane_sp.
Cyclops_vernalis,Gastropus_stylifer
Cyclops_vernalis,Polyarthra_major
Cyclops_vernalis,Trichocerca_similis
Mesocyclops_edax,Conochiloides_unicornis
Mesocyclops_edax,Lecane_sp.
Tropocyclops_prasinus,Polyarthra_remata
Salvelinus_namaycush,Ictalurus_nebulosus
Mesocyclops_edax,Polyarthra_remata
Cyclops_vernalis,Conochiloides_unicornis
Cyclops_vernalis,Lecane_sp.
Cyclops_vernalis,Polyarthra_remata
fish_fry,Holopedium_gibberum
Salvelinus_namaycush,Lepomis_gibbosus
Tropocyclops_prasinus,Kelicottia_bostoniensis
Lepomis_gibbosus,fish_fry
fish_fry,Diaphanosoma_birgei
Salvelinus_namaycush,Notemigonus_crysoleucas
fish_fry,Colletheca_mutabilis
Mesocyclops_edax,Kelicottia_bostoniensis
Tropocyclops_prasinus,Keratella_cochlearis
Tropocyclops_prasinus,Keratella_taurocephala
Tropocyclops_prasinus,Keratella_testudo
fish_fry,Cyclops_vernalis
Mesocyclops_edax,Keratella_cochlearis
Mesocyclops_edax,Keratella_taurocephala
Mesocyclops_edax,Keratella_testudo
fish_fry,Diaptomus_minutus
Cyclops_vernalis,Kelicottia_bostoniensis
fish_fry,Synchaeta_sp.
fish_fry,Daphnia_catawba
fish_fry,Daphnia_longiremis
fish_fry,Mesocyclops_edax
fish_fry,Asplanchna_sp.
Cyclops_vernalis,Keratella_cochlearis
Cyclops_vernalis,Keratella_taurocephala
Cyclops_vernalis,Keratella_testudo
fish_fry,Tropocyclops_prasinus
Lepomis_gibbosus,copepod_nauplii
Salvelinus_fontinalis_small,fish_fry
Salvelinus_fontinalis_large,fish_fry
fish_fry,Keratella_crassa
fish_fry,Bosmina_longirostris
fish_fry,Trichocerca_multicrinis
fish_fry,Polyarthra_euryptera
fish_fry,Gastropus_stylifer
fish_fry,Polyarthra_major
fish_fry,Trichocerca_similis
fish_fry,Conochiloides_unicornis
fish_fry,Lecane_sp.
fish_fry,Polyarthra_remata
Lepomis_gibbosus,Holopedium_gibberum
Salvelinus_namaycush,fish_fry
Lepomis_gibbosus,Diaphanosoma_birgei
Lepomis_gibbosus,Colletheca_mutabilis
Lepomis_gibbosus,Cyclops_vernalis
Lepomis_gibbosus,Diaptomus_minutus
Lepomis_gibbosus,Synchaeta_sp.
Lepomis_gibbosus,Daphnia_catawba
Lepomis_gibbosus,Daphnia_longiremis
Lepomis_gibbosus,Mesocyclops_edax
fish_fry,Kelicottia_bostoniensis
Lepomis_gibbosus,Asplanchna_sp.
Lepomis_gibbosus,Tropocyclops_prasinus
fish_fry,Keratella_cochlearis
fish_fry,Keratella_taurocephala
fish_fry,Keratella_testudo
Lepomis_gibbosus,Keratella_crassa
Lepomis_gibbosus,Bosmina_longirostris
Lepomis_gibbosus,Trichocerca_multicrinis
Lepomis_gibbosus,Polyarthra_euryptera
Lepomis_gibbosus,Gastropus_stylifer
Lepomis_gibbosus,Polyarthra_major
Lepomis_gibbosus,Trichocerca_similis
Lepomis_gibbosus,Conochiloides_unicornis
Lepomis_gibbosus,Lecane_sp.
Lepomis_gibbosus,Polyarthra_remata
Lepomis_gibbosus,Kelicottia_bostoniensis
Lepomis_gibbosus,Keratella_cochlearis
Lepomis_gibbosus,Keratella_taurocephala
Lepomis_gibbosus,Keratella_testudo
Asplanchna_sp.,Colletheca_mutabilis
Asplanchna_sp.,Synchaeta_sp.
Asplanchna_sp.,Keratella_crassa
Asplanchna_sp.,Trichocerca_multicrinis
Asplanchna_sp.,Polyarthra_euryptera
Asplanchna_sp.,Gastropus_stylifer
Asplanchna_sp.,Polyarthra_major
Asplanchna_sp.,Trichocerca_similis
Asplanchna_sp.,Conochiloides_unicornis
Asplanchna_sp.,Lecane_sp.
Asplanchna_sp.,Polyarthra_remata
Asplanchna_sp.,Kelicottia_bostoniensis
Asplanchna_sp.,Keratella_cochlearis
Asplanchna_sp.,Keratella_taurocephala
Asplanchna_sp.,Keratella_testudo
Notemigonus_crysoleucas,copepod_nauplii
Notemigonus_crysoleucas,Holopedium_gibberum
Notemigonus_crysoleucas,Diaphanosoma_birgei
Notemigonus_crysoleucas,Colletheca_mutabilis
Notemigonus_crysoleucas,Cyclops_vernalis
Notemigonus_crysoleucas,Diaptomus_minutus
Notemigonus_crysoleucas,Synchaeta_sp.
Notemigonus_crysoleucas,Daphnia_catawba
Notemigonus_crysoleucas,Daphnia_longiremis
Notemigonus_crysoleucas,Mesocyclops_edax
Notemigonus_crysoleucas,Asplanchna_sp.
Notemigonus_crysoleucas,Tropocyclops_prasinus
Notemigonus_crysoleucas,Keratella_crassa
Notemigonus_crysoleucas,Bosmina_longirostris
Notemigonus_crysoleucas,Trichocerca_multicrinis
Notemigonus_crysoleucas,Polyarthra_euryptera
Notemigonus_crysoleucas,Gastropus_stylifer
Notemigonus_crysoleucas,Polyarthra_major
Notemigonus_crysoleucas,Trichocerca_similis
Notemigonus_crysoleucas,Conochiloides_unicornis
Notemigonus_crysoleucas,Lecane_sp.
Notemigonus_crysoleucas,Polyarthra_remata
Notemigonus_crysoleucas,Kelicottia_bostoniensis
Notemigonus_crysoleucas,Keratella_cochlearis
Notemigonus_crysoleucas,Keratella_taurocephala
Notemigonus_crysoleucas,Keratella_testudo
