consumer,resource
Aoteapsyche_sp.,Terrestrial_Invertebrates
Aoteapsyche_sp.,Amphipoda_spp.
Aoteapsyche_sp.,Eukiefidrella
Aoteapsyche_sp.,Pirara
Aoteapsyche_sp.,Oligochaete_Type_II
Aphrophila_noevaezelandiae,Eukiefidrella
Costachorema_xanthoptera,Terrestrial_Invertebrates
Costachorema_xanthoptera,Eukiefidrella
Costachorema_xanthoptera,Pirara
Costachorema_xanthoptera,Naonella
Costachorema_xanthoptera,Deleatidium_spp.
Hydrobiosid_sp.,Terrestrial_Invertebrates
Hydrobiosid_sp.,Coloburiscus_humeralis
Hydrobiosid_sp.,Deleatidium_spp.
Hydrobiosid_sp.,Pycnocentrodes_evecta
Megaleptoperla_grandis,Oligochaete_Type_II
Megaleptoperla_grandis,Zealandoperla/Acroperla_sp.
Polyplectropus_puerilis,Terrestrial_Invertebrates
Polyplectropus_puerilis,Coloburiscus_humeralis
Polyplectropus_puerilis,Deleatidium_spp.
Polyplectropus_puerilis,Pycnocentrodes_evecta
Psilochorema_bidens,Helicopsyche_albescens
Zealandoperla/Acroperla_sp.,Oligochaete_Type_II
Salmo_trutta,Terrestrial_Invertebrates
Salmo_trutta,Amphipoda_spp.
Salmo_trutta,Aoteapsyche_sp.
Salmo_trutta,Aphrophila_noevaezelandiae
Salmo_trutta,Austrosimulium_australense
Salmo_trutta,Maoridiamesea
Salmo_trutta,Naonella
Salmo_trutta,Coloburiscus_humeralis
Salmo_trutta,Costachorema_xanthoptera
Salmo_trutta,Deleatidium_spp.
Salmo_trutta,Hudsonema_amabilis
Salmo_trutta,Hydora_nitida_adult
Salmo_trutta,Hydora_nitida_larva
Salmo_trutta,Hydrobiosid_sp.
Salmo_trutta,Polyplectropus_puerilis
Salmo_trutta,Potamopyrgus_antipodarum
Salmo_trutta,Psilachorema_bidens
Salmo_trutta,Pycnocentrodes_evecta
Salmo_trutta,Zealandoperla/Acroperla_sp.
