consumer,resource
fish_fry,fish_eggs
Lepomis_gibbosus,fish_eggs
Tropocyclops_prasinus,Leptodora_kindtii
Mesocyclops_edax,Leptodora_kindtii
Tropocyclops_prasinus,copepod_nauplii
Cyclops_vernalis,Leptodora_kindtii
Mesocyclops_edax,copepod_nauplii
Cyclops_vernalis,copepod_nauplii
Epishura_lacustris,copepod_nauplii
Tropocyclops_prasinus,Colletheca_mutabilis
Tropocyclops_prasinus,Cyclops_vernalis
Mesocyclops_edax,Colletheca_mutabilis
Mesocyclops_edax,Cyclops_vernalis
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Cyclops_vernalis,Colletheca_mutabilis
Salvelinus_fontinalis,Salvelinus_fontinalis
Cyclops_vernalis,Cyclops_vernalis
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Salvelinus_fontinalis,Catostomus_commersoni
Mesocyclops_edax,Tropocyclops_prasinus
Cyclops_vernalis,Diaptomus_minutus
Cyclops_vernalis,Mesocyclops_edax
Salvelinus_fontinalis,Ictalurus_nebulosus
Cyclops_vernalis,Tropocyclops_prasinus
fish_fry,Leptodora_kindtii
Tropocyclops_prasinus,Keratella_crassa
Tropocyclops_prasinus,Conochiloides_dossuarius
Epishura_lacustris,Colletheca_mutabilis
Tropocyclops_prasinus,Bosmina_longirostris
Salvelinus_fontinalis,Lepomis_gibbosus
Mesocyclops_edax,Keratella_crassa
Mesocyclops_edax,Conochiloides_dossuarius
Tropocyclops_prasinus,Trichocerca_multicrinis
Tropocyclops_prasinus,Polyarthra_euryptera
Mesocyclops_edax,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_stylifer
Mesocyclops_edax,Trichocerca_multicrinis
fish_fry,copepod_nauplii
Mesocyclops_edax,Polyarthra_euryptera
Mesocyclops_edax,Gastropus_stylifer
Cyclops_vernalis,Keratella_crassa
Cyclops_vernalis,Conochiloides_dossuarius
Tropocyclops_prasinus,Polyarthra_vulgaris
Cyclops_vernalis,Bosmina_longirostris
Salvelinus_fontinalis,Semotilus_atromaculatus
Cyclops_vernalis,Trichocerca_multicrinis
Salvelinus_fontinalis,Notemigonus_crysoleucas
Mesocyclops_edax,Polyarthra_vulgaris
Cyclops_vernalis,Polyarthra_euryptera
Tropocyclops_prasinus,Conochiloides_unicornis
Salvelinus_fontinalis,Luxilus_cornutus
Cyclops_vernalis,Gastropus_stylifer
Mesocyclops_edax,Conochiloides_unicornis
Tropocyclops_prasinus,Polyarthra_remata
Cyclops_vernalis,Polyarthra_vulgaris
Mesocyclops_edax,Polyarthra_remata
Epishura_lacustris,Keratella_crassa
Epishura_lacustris,Conochiloides_dossuarius
Cyclops_vernalis,Conochiloides_unicornis
Epishura_lacustris,Bosmina_longirostris
Epishura_lacustris,Trichocerca_multicrinis
Epishura_lacustris,Polyarthra_euryptera
Cyclops_vernalis,Polyarthra_remata
fish_fry,Epishura_lacustris
Epishura_lacustris,Gastropus_stylifer
fish_fry,Holopedium_gibberum
Epishura_lacustris,Polyarthra_vulgaris
Tropocyclops_prasinus,Kelicottia_bostoniensis
Tropocyclops_prasinus,Kelicottia_longispina
Epishura_lacustris,Conochiloides_unicornis
fish_fry,Diaphanosoma_birgei
fish_fry,Colletheca_mutabilis
Mesocyclops_edax,Kelicottia_bostoniensis
Mesocyclops_edax,Kelicottia_longispina
Epishura_lacustris,Polyarthra_remata
Tropocyclops_prasinus,Keratella_cochlearis
Tropocyclops_prasinus,Keratella_taurocephala
fish_fry,Cyclops_vernalis
Mesocyclops_edax,Keratella_cochlearis
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
Cyclops_vernalis,Kelicottia_bostoniensis
Cyclops_vernalis,Kelicottia_longispina
fish_fry,Daphnia_catawba
fish_fry,Daphnia_dubia
fish_fry,Daphnia_longiremis
fish_fry,Daphnia_retrocurva
fish_fry,Mesocyclops_edax
Luxilus_cornutus,Leptodora_kindtii
fish_fry,Asplanchna_sp.
Lepomis_gibbosus,fish_fry
Cyclops_vernalis,Keratella_cochlearis
Cyclops_vernalis,Keratella_taurocephala
fish_fry,Tropocyclops_prasinus
Semotilus_atromaculatus,Leptodora_kindtii
Luxilus_cornutus,copepod_nauplii
Epishura_lacustris,Kelicottia_bostoniensis
Epishura_lacustris,Kelicottia_longispina
Semotilus_atromaculatus,copepod_nauplii
Lepomis_gibbosus,Leptodora_kindtii
fish_fry,Keratella_crassa
fish_fry,Conochiloides_dossuarius
fish_fry,Bosmina_longirostris
Salvelinus_fontinalis,fish_fry
Epishura_lacustris,Keratella_cochlearis
Epishura_lacustris,Keratella_taurocephala
fish_fry,Trichocerca_multicrinis
fish_fry,Polyarthra_euryptera
fish_fry,Gastropus_stylifer
Lepomis_gibbosus,copepod_nauplii
fish_fry,Polyarthra_vulgaris
fish_fry,Conochiloides_unicornis
Luxilus_cornutus,Epishura_lacustris
fish_fry,Polyarthra_remata
Semotilus_atromaculatus,Epishura_lacustris
Luxilus_cornutus,Holopedium_gibberum
Semotilus_atromaculatus,Holopedium_gibberum
Luxilus_cornutus,Diaphanosoma_birgei
Luxilus_cornutus,Colletheca_mutabilis
Lepomis_gibbosus,Epishura_lacustris
Semotilus_atromaculatus,Diaphanosoma_birgei
Luxilus_cornutus,Cyclops_vernalis
Semotilus_atromaculatus,Colletheca_mutabilis
Lepomis_gibbosus,Holopedium_gibberum
Semotilus_atromaculatus,Cyclops_vernalis
Luxilus_cornutus,Diaptomus_minutus
Luxilus_cornutus,Daphnia_catawba
Luxilus_cornutus,Daphnia_dubia
Luxilus_cornutus,Daphnia_longiremis
Luxilus_cornutus,Daphnia_retrocurva
Luxilus_cornutus,Mesocyclops_edax
fish_fry,Kelicottia_bostoniensis
fish_fry,Kelicottia_longispina
Semotilus_atromaculatus,Diaptomus_minutus
Lepomis_gibbosus,Diaphanosoma_birgei
Luxilus_cornutus,Asplanchna_sp.
Lepomis_gibbosus,Colletheca_mutabilis
Luxilus_cornutus,Tropocyclops_prasinus
Semotilus_atromaculatus,Daphnia_catawba
Semotilus_atromaculatus,Daphnia_dubia
Semotilus_atromaculatus,Daphnia_longiremis
Semotilus_atromaculatus,Daphnia_retrocurva
Semotilus_atromaculatus,Mesocyclops_edax
Lepomis_gibbosus,Cyclops_vernalis
fish_fry,Keratella_cochlearis
fish_fry,Keratella_taurocephala
Semotilus_atromaculatus,Asplanchna_sp.
Semotilus_atromaculatus,Tropocyclops_prasinus
Lepomis_gibbosus,Diaptomus_minutus
Lepomis_gibbosus,Daphnia_catawba
Lepomis_gibbosus,Daphnia_dubia
Lepomis_gibbosus,Daphnia_longiremis
Lepomis_gibbosus,Daphnia_retrocurva
Lepomis_gibbosus,Mesocyclops_edax
Luxilus_cornutus,Keratella_crassa
Luxilus_cornutus,Conochiloides_dossuarius
Lepomis_gibbosus,Asplanchna_sp.
Lepomis_gibbosus,Tropocyclops_prasinus
Luxilus_cornutus,Bosmina_longirostris
Semotilus_atromaculatus,Keratella_crassa
Semotilus_atromaculatus,Conochiloides_dossuarius
Luxilus_cornutus,Trichocerca_multicrinis
Luxilus_cornutus,Polyarthra_euryptera
Semotilus_atromaculatus,Bosmina_longirostris
Luxilus_cornutus,Gastropus_stylifer
Semotilus_atromaculatus,Trichocerca_multicrinis
Semotilus_atromaculatus,Polyarthra_euryptera
Semotilus_atromaculatus,Gastropus_stylifer
Luxilus_cornutus,Polyarthra_vulgaris
Lepomis_gibbosus,Keratella_crassa
Lepomis_gibbosus,Conochiloides_dossuarius
Lepomis_gibbosus,Bosmina_longirostris
Semotilus_atromaculatus,Polyarthra_vulgaris
Luxilus_cornutus,Conochiloides_unicornis
Lepomis_gibbosus,Trichocerca_multicrinis
Lepomis_gibbosus,Polyarthra_euryptera
Semotilus_atromaculatus,Conochiloides_unicornis
Luxilus_cornutus,Polyarthra_remata
Lepomis_gibbosus,Gastropus_stylifer
Semotilus_atromaculatus,Polyarthra_remata
Lepomis_gibbosus,Polyarthra_vulgaris
Lepomis_gibbosus,Conochiloides_unicornis
Lepomis_gibbosus,Polyarthra_remata
Luxilus_cornutus,Kelicottia_bostoniensis
Luxilus_cornutus,Kelicottia_longispina
Semotilus_atromaculatus,Kelicottia_bostoniensis
Semotilus_atromaculatus,Kelicottia_longispina
Luxilus_cornutus,Keratella_cochlearis
Luxilus_cornutus,Keratella_taurocephala
Semotilus_atromaculatus,Keratella_cochlearis
Semotilus_atromaculatus,Keratella_taurocephala
Lepomis_gibbosus,Kelicottia_bostoniensis
Lepomis_gibbosus,Kelicottia_longispina
Lepomis_gibbosus,Keratella_cochlearis
Lepomis_gibbosus,Keratella_taurocephala
Asplanchna_sp.,Colletheca_mutabilis
Leptodora_kindtii,Leptodora_kindtii
Leptodora_kindtii,copepod_nauplii
Asplanchna_sp.,Keratella_crassa
Asplanchna_sp.,Conochiloides_dossuarius
Asplanchna_sp.,Trichocerca_multicrinis
Asplanchna_sp.,Polyarthra_euryptera
Asplanchna_sp.,Gastropus_stylifer
Asplanchna_sp.,Polyarthra_vulgaris
Asplanchna_sp.,Conochiloides_unicornis
Asplanchna_sp.,Polyarthra_remata
Leptodora_kindtii,Holopedium_gibberum
Leptodora_kindtii,Diaphanosoma_birgei
Leptodora_kindtii,Colletheca_mutabilis
Leptodora_kindtii,Cyclops_vernalis
Asplanchna_sp.,Kelicottia_bostoniensis
Asplanchna_sp.,Kelicottia_longispina
Leptodora_kindtii,Daphnia_catawba
Leptodora_kindtii,Daphnia_dubia
Leptodora_kindtii,Daphnia_longiremis
Leptodora_kindtii,Daphnia_retrocurva
Leptodora_kindtii,Mesocyclops_edax
