consumer,resource
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Tropocyclops_prasinus,Colletheca_mutabilis
Mesocyclops_edax,Colletheca_mutabilis
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Synchaeta_sp.
Tropocyclops_prasinus,Diaptomus_leptopus
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Mesocyclops_edax,Synchaeta_sp.
Mesocyclops_edax,Diaptomus_leptopus
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Mesocyclops_edax,Tropocyclops_prasinus
Tropocyclops_prasinus,Chydorus_sphaericus
Tropocyclops_prasinus,Conochiloides_dossuarius
Tropocyclops_prasinus,Bosmina_longirostris
Mesocyclops_edax,Chydorus_sphaericus
Mesocyclops_edax,Conochiloides_dossuarius
Mesocyclops_edax,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Tropocyclops_prasinus,Kelicottia_bostoniensis
Tropocyclops_prasinus,Kelicottia_longispina
Mesocyclops_edax,Kelicottia_bostoniensis
Mesocyclops_edax,Kelicottia_longispina
Tropocyclops_prasinus,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
