consumer,resource
passerines,arthropods
shorebirds,arthropods
Larus_spec.,waterfowl
Mustela_erminea,lemmings
Vulpes_lagopus,lemmings
Vulpes_lagopus,waterfowl
Vulpes_lagopus,shorebirds
Stercocarius_spec.,lemmings
Stercocarius_spec.,arthropods
Stercocarius_spec.,shorebirds
Stercocarius_spec.,passerines
Larus_spec.,passerines
Larus_spec.,shorebirds
Bubo_scandiacus,Mustela_erminea
Bubo_scandiacus,lemmings
Bubo_scandiacus,waterfowl
Bubo_scandiacus,shorebirds
Bubo_scandiacus,passerines
Buteo_lagopus,waterfowl
Falco_spec.,lemmings
Falco_spec.,shorebirds
Falco_spec.,passerines
