consumer,resource
Bunodosoma_cangicum,Lottia_subrugosa
Zooplankton,Zooplankton
Tetraclita_stalactifera,Zooplankton
Copepoda,Zooplankton
Petaloconchus_sp,Zooplankton
Mytilaster_solisianus,Zooplankton
Crassostrea_virginica,Zooplankton
Cumacea,Zooplankton
Isopoda,Zooplankton
Sebidae,Zooplankton
Polychaeta,Zooplankton
Bunodosoma_cangicum,Pachygrapsus_transversus
Pachygrapsus_transversus,Pachygrapsus_transversus
Palaemon_northropi,Copepoda
Bunodosoma_cangicum,Petaloconchus_sp
Bunodosoma_cangicum,Fissurella_clenchi
Bunodosoma_cangicum,Mytilaster_solisianus
Bunodosoma_cangicum,Isopoda
Palaemon_northropi,Isopoda
Bunodosoma_cangicum,Palaemon_northropi
Palaemon_northropi,Palaemon_northropi
Palaemon_northropi,Polychaeta
Polychaeta,Polychaeta
