consumer,resource
Insecta,Insecta
Atherina_boyeri,Insecta
Diplodus_sargus_sargus,Insecta
Palaemon_longirostris,Insecta
Gobius_paganellus,Insecta
Polychaeta,Insecta
Carcinus_maenas,Insecta
Insecta,Zooplankton
Zooplankton,Zooplankton
Ophiuroidea,Zooplankton
Liza_ramada,Zooplankton
Atherina_boyeri,Zooplankton
Diplodus_sargus_sargus,Zooplankton
Lipophrys_pholis,Zooplankton
Coryphoblennius_galerita,Zooplankton
Gobius_paganellus,Zooplankton
Lepadogaster_lepadogaster,Zooplankton
Actinia_equina,Zooplankton
Actinia_fragacea,Zooplankton
Actinothoe_sphyrodeta,Zooplankton
Nematoda,Zooplankton
Polychaeta,Zooplankton
Oligochaeta,Zooplankton
Turritellidae,Zooplankton
Musculus_costulatus,Zooplankton
Mytilus_galloprovincialis,Zooplankton
Petricolinae,Zooplankton
Cardiidae,Zooplankton
Palaemon_longirostris,Zooplankton
Palaemon_elegans,Zooplankton
Copepoda,Zooplankton
Chthamalus_sp.,Zooplankton
Palaemon_elegans,Liza_ramada
Anemonia_sulcata,Liza_ramada
Palaemon_longirostris,Diplodus_sargus_sargus
Palaemon_elegans,Diplodus_sargus_sargus
Anemonia_sulcata,Diplodus_sargus_sargus
Nassariidae,Lipophrys_pholis
Anemonia_sulcata,Lipophrys_pholis
Lipophrys_pholis,Lipophrys_pholis
Coryphoblennius_galerita,Lipophrys_pholis
Lepadogaster_lepadogaster,Lipophrys_pholis
Nassariidae,Coryphoblennius_galerita
Anemonia_sulcata,Coryphoblennius_galerita
Lepadogaster_lepadogaster,Coryphoblennius_galerita
Coryphoblennius_galerita,Coryphoblennius_galerita
Nassariidae,Gobius_paganellus
Anemonia_sulcata,Gobius_paganellus
Lipophrys_pholis,Gobius_paganellus
Coryphoblennius_galerita,Gobius_paganellus
Gobius_paganellus,Gobius_paganellus
Lepadogaster_lepadogaster,Gobius_paganellus
Carcinus_maenas,Gobius_paganellus
Coryphoblennius_galerita,Actinia_equina
Coryphoblennius_galerita,Actinia_fragacea
Coryphoblennius_galerita,Actinothoe_sphyrodeta
Aeolidia_papillosa,Actinothoe_sphyrodeta
Asterina_gibbosa,Ophiuroidea
Diplodus_sargus_sargus,Ophiuroidea
Lipophrys_pholis,Ophiuroidea
Palaemon_longirostris,Ophiuroidea
Palaemon_elegans,Ophiuroidea
Gobius_paganellus,Ophiuroidea
Atherina_boyeri,Nematoda
Liza_ramada,Nematoda
Nematoda,Nematoda
Actinia_equina,Nematoda
Actinia_fragacea,Nematoda
Lepadogaster_lepadogaster,Polychaeta
Turridae,Polychaeta
Anemonia_sulcata,Polychaeta
Actinia_equina,Polychaeta
Actinia_fragacea,Polychaeta
Coryphoblennius_galerita,Polychaeta
Ophiuroidea,Polychaeta
Polychaeta,Polychaeta
Lipophrys_pholis,Polychaeta
Palaemon_longirostris,Polychaeta
Palaemon_elegans,Polychaeta
Gobius_paganellus,Polychaeta
Diplodus_sargus_sargus,Polychaeta
Lophozozymus_incisus,Polychaeta
Carcinus_maenas,Polychaeta
Asterina_gibbosa,Polychaeta
Nematoda,Oligochaeta
Oligochaeta,Oligochaeta
Actinia_equina,Acanthochitona_crinita
Actinia_fragacea,Acanthochitona_crinita
Diplodus_sargus_sargus,Acanthochitona_crinita
Lipophrys_pholis,Acanthochitona_crinita
Coryphoblennius_galerita,Acanthochitona_crinita
Gobius_paganellus,Acanthochitona_crinita
Lepadogaster_lepadogaster,Acanthochitona_crinita
Carcinus_maenas,Acanthochitona_crinita
Actinia_equina,Lepidochitona_cinerea
Actinia_fragacea,Lepidochitona_cinerea
Diplodus_sargus_sargus,Lepidochitona_cinerea
Lipophrys_pholis,Lepidochitona_cinerea
Coryphoblennius_galerita,Lepidochitona_cinerea
Gobius_paganellus,Lepidochitona_cinerea
Lepadogaster_lepadogaster,Lepidochitona_cinerea
Carcinus_maenas,Lepidochitona_cinerea
Actinia_equina,Leptochiton_algesirensis
Actinia_fragacea,Leptochiton_algesirensis
Diplodus_sargus_sargus,Leptochiton_algesirensis
Lipophrys_pholis,Leptochiton_algesirensis
Coryphoblennius_galerita,Leptochiton_algesirensis
Gobius_paganellus,Leptochiton_algesirensis
Lepadogaster_lepadogaster,Leptochiton_algesirensis
Carcinus_maenas,Leptochiton_algesirensis
Anemonia_sulcata,Patella_vulgata
Marthasterias_glacialis,Patella_vulgata
Actinia_fragacea,Patella_vulgata
Lipophrys_pholis,Patella_vulgata
Coryphoblennius_galerita,Patella_vulgata
Actinia_equina,Patella_vulgata
Asterina_gibbosa,Gibbula_umbilicalis
Actinia_equina,Gibbula_umbilicalis
Actinia_fragacea,Gibbula_umbilicalis
Diplodus_sargus_sargus,Gibbula_umbilicalis
Lipophrys_pholis,Gibbula_umbilicalis
Lophozozymus_incisus,Gibbula_umbilicalis
Anemonia_sulcata,Gibbula_umbilicalis
Gobius_paganellus,Phorcus_lineatus
Lophozozymus_incisus,Phorcus_lineatus
Lipophrys_pholis,Rissoidae
Gobius_paganellus,Rissoidae
Lipophrys_pholis,Nucella_sp.
Nucella_sp.,Nucella_sp.
Anemonia_sulcata,Nassariidae
Gobius_paganellus,Omalogyra_atomus
Lipophrys_pholis,Barleeia_sp.
Gobius_paganellus,Barleeia_sp.
Anemonia_sulcata,Aplysia_punctata
Anemonia_sulcata,Aeolidia_papillosa
Palaemon_elegans,Atherina_boyeri
Atherina_boyeri,Atherina_boyeri
Lipophrys_pholis,Musculus_costulatus
Carcinus_maenas,Musculus_costulatus
Nucella_sp.,Musculus_costulatus
Actinia_equina,Musculus_costulatus
Actinia_fragacea,Musculus_costulatus
Anemonia_sulcata,Mytilus_galloprovincialis
Marthasterias_glacialis,Mytilus_galloprovincialis
Actinia_fragacea,Mytilus_galloprovincialis
Actinia_equina,Mytilus_galloprovincialis
Carcinus_maenas,Petricolinae
Lipophrys_pholis,Cardiidae
Carcinus_maenas,Cardiidae
Gobius_paganellus,Cardiidae
Liza_ramada,Tanaidacea
Atherina_boyeri,Tanaidacea
Anemonia_sulcata,Sphaeromatidae
Actinia_equina,Sphaeromatidae
Actinia_fragacea,Sphaeromatidae
Coryphoblennius_galerita,Sphaeromatidae
Liza_ramada,Sphaeromatidae
Diplodus_sargus_sargus,Sphaeromatidae
Lipophrys_pholis,Sphaeromatidae
Palaemon_longirostris,Sphaeromatidae
Palaemon_elegans,Sphaeromatidae
Gobius_paganellus,Sphaeromatidae
Lepadogaster_lepadogaster,Sphaeromatidae
Lophozozymus_incisus,Sphaeromatidae
Palaemon_longirostris,Ampithoidae
Gobius_paganellus,Ampithoidae
Liza_ramada,Ampithoidae
Atherina_boyeri,Ampithoidae
Diplodus_sargus_sargus,Ampithoidae
Palaemon_longirostris,Gammaridae
Gobius_paganellus,Gammaridae
Liza_ramada,Gammaridae
Atherina_boyeri,Gammaridae
Palaemon_longirostris,Stenothoidae
Gobius_paganellus,Stenothoidae
Liza_ramada,Stenothoidae
Atherina_boyeri,Stenothoidae
Anemonia_sulcata,Palaemon_longirostris
Actinia_equina,Palaemon_longirostris
Actinia_fragacea,Palaemon_longirostris
Liza_ramada,Palaemon_longirostris
Diplodus_sargus_sargus,Palaemon_longirostris
Palaemon_longirostris,Palaemon_longirostris
Palaemon_elegans,Palaemon_longirostris
Gobius_paganellus,Palaemon_longirostris
Carcinus_maenas,Palaemon_longirostris
Anemonia_sulcata,Palaemon_elegans
Actinia_equina,Palaemon_elegans
Actinia_fragacea,Palaemon_elegans
Palaemon_elegans,Palaemon_elegans
Anemonia_sulcata,Lophozozymus_incisus
Anemonia_sulcata,Pirimela_denticulata
Lipophrys_pholis,Carcinus_maenas
Carcinus_maenas,Carcinus_maenas
Gobius_paganellus,Carcinus_maenas
Anemonia_sulcata,Carcinus_maenas
Asterina_gibbosa,Carcinus_maenas
Marthasterias_glacialis,Paracentrotus_lividus
Actinia_equina,Copepoda
Actinia_fragacea,Copepoda
Coryphoblennius_galerita,Copepoda
Liza_ramada,Copepoda
Atherina_boyeri,Copepoda
Diplodus_sargus_sargus,Copepoda
Lipophrys_pholis,Copepoda
Palaemon_longirostris,Copepoda
Palaemon_elegans,Copepoda
Gobius_paganellus,Copepoda
Lepadogaster_lepadogaster,Copepoda
Carcinus_maenas,Copepoda
Polychaeta,Chthamalus_sp.
Lipophrys_pholis,Chthamalus_sp.
Coryphoblennius_galerita,Chthamalus_sp.
Gobius_paganellus,Chthamalus_sp.
Carcinus_maenas,Chthamalus_sp.
Nucella_sp.,Chthamalus_sp.
