consumer,resource,NA,NA,NA,NA
Insecta,class,NA,7e-4,marine,3
Zooplankton,NA,NA,0.001,marine,3
Liza_ramada,species,NA,0.1,marine,3
Diplodus_sargus_sargus,species,NA,0.293,marine,3
Lipophrys_pholis,species,NA,0.452,marine,2
Coryphoblennius_galerita,species,NA,3.09,marine,2
Gobius_paganellus,species,NA,0.176,marine,2
Actinia_equina,species,NA,4.61,marine,2
Actinia_fragacea,species,NA,0.54,marine,2
Actinothoe_sphyrodeta,species,NA,0.24,marine,2
Ophiuroidea,class,NA,0.29,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.15,marine,2
Oligochaeta,NA,NA,9e-4,marine,2
Acanthochitona_crinita,species,NA,0.152,marine,2
Lepidochitona_cinerea,species,NA,0.169,marine,2
Leptochiton_algesirensis,species,NA,0.01,marine,2
Patella_vulgata,species,NA,0.712,marine,2
Gibbula_umbilicalis,species,NA,0.414,marine,2
Phorcus_lineatus,species,NA,0.01,marine,2
Rissoidae,family,NA,0.011,marine,2
Nucella_sp.,genus,NA,0.011,marine,2
Nassariidae,family,NA,0.645,marine,2
Omalogyra_atomus,species,NA,4e-4,marine,2
Barleeia_sp.,genus,NA,0.0032,marine,2
Aplysia_punctata,species,NA,1,marine,2
Aeolidia_papillosa,species,NA,0.247,marine,2
Atherina_boyeri,species,NA,0.01,marine,3
Musculus_costulatus,species,NA,0.0123,marine,2
Mytilus_galloprovincialis,species,NA,0.999,marine,2
Petricolinae,family,NA,0.0345,marine,2
Cardiidae,family,NA,0.0081,marine,2
Tanaidacea,NA,NA,2e-4,marine,3
Sphaeromatidae,family,NA,0.141,marine,2
Ampithoidae,family,NA,8e-4,marine,3
Gammaridae,family,NA,4e-4,marine,3
Stenothoidae,family,NA,5e-4,marine,3
Palaemon_longirostris,species,NA,0.156,marine,3
Palaemon_elegans,species,NA,1.13,marine,3
Lophozozymus_incisus,species,NA,1.44,marine,2
Pirimela_denticulata,species,NA,0.11,marine,2
Carcinus_maenas,species,NA,0.16,marine,2
Paracentrotus_lividus,species,NA,4.29,marine,2
Copepoda,NA,NA,0.001,marine,3
Chthamalus_sp.,genus,NA,0.01,marine,2
Lepadogaster_lepadogaster,species,NA,1.315,marine,3
Turritellidae,family,NA,0.01,marine,2
Anemonia_sulcata,species,NA,26.01,marine,3
Asterina_gibbosa,species,NA,1.22,marine,2
Turridae,family,NA,0.008,marine,2
Marthasterias_glacialis,species,NA,47,marine,2
