consumer,resource,NA,NA,NA,NA
Loligo_pealei,species,adults,3.737474147,marine,3
Lolliguncula_brevis,species,adults,0.776273259,marine,3
Illex_illecebrosus,species,adults,9.91547691,marine,3
Acteocina_canaliculata,species,adults,0.001177408,marine,2
Acteon_punctostriatus,species,adults,3.75082e-4,marine,2
Bittiolum_varium,species,adults,0.001177408,marine,2
Chaetopleura_apiculata,species,adults,0.011827192,marine,2
Clione_limacina,species,adults,0.05070428,marine,3
Cratena_pilata,species,adults,1.71891e-4,marine,2
Crepidula_convexa,species,adults,0.011827192,marine,2
Crepidula_fornicata,species,adults,0.05070428,marine,2
Doridella_obscura,species,adults,0.008757316,marine,2
Doris_verrucosa,species,adults,0.083298185,marine,2
Elysia_chlorotica,species,adults,0.034575145,marine,3
Elysia_catula,species,adults,0.001726663,marine,3
Epitonium_rupicola,species,adults,0.008757316,marine,2
Haminoea_solitaria,species,adults,0.008757316,marine,2
Hermaea_cruciata,species,adults,0.005047659,marine,2
Limacina_helicina,species,adults,0.005047659,marine,3
Littorina_irrorata,species,adults,0.034575145,marine,2
Mitrella_lunata,species,adults,0.001177408,marine,2
Nassarius_vibex,species,adults,0.005047659,marine,2
Neverita_duplicata,species,adults,4.5,marine,2
Polycerella_conyma,species,adults,4.02758e-4,marine,2
Japonactaeon_punctostriatus,species,adults,0.001177408,marine,2
Stiliger_fuscatus,species,adults,0.001726663,marine,2
Urosalpinx_cinerea,species,adults,0.021639787,marine,2
Aequipecten_irradians,species,adults,0.347311081,marine,2
Anadara_ovalis,species,adults,0.14822689,marine,2
Anadara_transversa,species,adults,0.083298185,marine,2
Anomia_simplex,species,adults,0.070086259,marine,2
Bankia_gouldi,species,adults,0.034575145,marine,2
Brachidontes_recurvus,species,adults,0.092771797,marine,2
Crassostrea_virginica,species,adults,60,marine,2
Crassostrea_ariakensis,species,adults,60,marine,2
Dreissena_polymorpha,species,adults,0.05070428,marine,2
Ensis_directus,species,adults,1.936567869,marine,2
Gemma_gemma,species,adults,4.02758e-4,marine,2
Geukensia_demissa,species,adults,0.662445795,marine,2
Ischadium_recurvum,species,adults,0.031734641,marine,2
Macoma_balthica,species,adults,1.56,marine,2
Macoma_tenta,species,adults,0.17344518,marine,2
Macoma_phenax,species,adults,0.11827192,marine,2
Macoma_mitchelli,species,adults,0.635462588,marine,2
Mercenaria_mercenaria,species,adults,1.56,marine,2
Mulinia_lateralis,species,larvae,0.011827192,marine,2
Mya_arenaria,species,adults,1.56,marine,2
Mytilopsis_leucophaeata,species,adults,0.007402367,marine,2
Mytilus_edulis,species,adults,0.635462588,marine,2
Noetia_ponderosa,species,adults,0.248924666,marine,2
Nucula_proxima,species,adults,0.001726663,marine,2
Pandora_gouldiana,species,adults,0.05070428,marine,2
Petricola_pholadiformis,species,adults,0.257162735,marine,2
Solemya_velum,species,adults,0.021639787,marine,2
Spisula_solidissima,species,adults,2.724287752,marine,2
Tagelus_plebius,species,adults,0.570570821,marine,2
Tellina_agilis,species,adults,0.021639787,marine,2
Autolytus_sp.,genus,adults,0.021639787,marine,2
Chaetopterus_variopedatus,species,adults,4.352752816,marine,2
