consumer,resource
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Tropocyclops_prasinus,Colletheca_mutabilis
Mesocyclops_edax,Colletheca_mutabilis
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Mesocyclops_edax,Tropocyclops_prasinus
Tropocyclops_prasinus,Bosmina_longirostris
Tropocyclops_prasinus,Monostyla_lunaris
Tropocyclops_prasinus,Trichocerca_multicrinis
Mesocyclops_edax,Bosmina_longirostris
Mesocyclops_edax,Monostyla_lunaris
Mesocyclops_edax,Trichocerca_multicrinis
Tropocyclops_prasinus,Polyarthra_remata
Mesocyclops_edax,Polyarthra_remata
Tropocyclops_prasinus,Kelicottia_longispina
Mesocyclops_edax,Kelicottia_longispina
Tropocyclops_prasinus,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
