consumer,resource
Amelotopsis_perscitus,Terrestial_invertebrates
Amelotopsis_perscitus,Austroclima_jollyae
Amelotopsis_perscitus,Eukiefidrella
Amelotopsis_perscitus,Pirara
Amelotopsis_perscitus,Cricotopus_II
Amelotopsis_perscitus,Polypedellum
Amelotopsis_perscitus,Deleatidium_spp.
Amelotopsis_perscitus,Oniscigaster_sp.
Aoteapsyche_spp.,Terrestial_invertebrates
Aoteapsyche_spp.,Naonella
Aoteapsyche_spp.,Eukiefidrella
Aoteapsyche_spp.,Pirara
Aoteapsyche_sp.,Deleatidium_spp.
Aoteapsyche_sp.,Hydrobiosella_stenocera
Aoteapsyche_sp.,Oniscigaster_sp.
Aoteapsyche_sp.,Philorheithrus_agilis
Aphrophila_noevaezelandiae,Terrestial_invertebrates
Aphrophila_noevaezelandiae,Naonella
Aphrophila_noevaezelandiae,Eukiefidrella
Aphrophila_noevaezelandiae,Deleatidium_spp.
Archichauliodes_diversus,Atalophlebioides_cromwelli
Archichauliodes_diversus,Austrosimulium_australense
Archichauliodes_diversus,Baraeoptera_roria
Archichauliodes_diversus,Larsia_II
Archichauliodes_diversus,Corynoneura
Archichauliodes_diversus,Pirara
Archichauliodes_diversus,Costachorema_xanthoptera
Archichauliodes_diversus,Deleatidium_spp.
Archichauliodes_diversus,Hudsonema_amabilis
Archichauliodes_diversus,Hydora_nitida_(adult)
Archichauliodes_diversus,Hydrobiosella_stenocera
Archichauliodes_diversus,Olinga_feredayi
Archichauliodes_diversus,Psilachorema_bidens
Archichauliodes_diversus,Pycnocentrodes_spp.
Archichauliodes_diversus,Stenoperla_prasinia
Archichauliodes_diversus,Tiphobiosis_sp.
Archichauliodes_diversus,Zealandoperla_sp.
Atalophlebioides_cromwelli,Hydrobiosis_parumbripennis
Austroclima_jollyae,Austrosimulium_australense
Baraeoptera_roria,Eukiefidrella
Tanypodini,Terrestial_invertebrates
Tanypodini,Naonella
Tanypodini,Cricotopus_II
Tanypodini,Polypedellum
Tanypodini,Tanytarsini
Tanypodini,Pycnocentrodes_spp.
Costachorema_xanthoptera,Terrestial_invertebrates
Costachorema_xanthoptera,Aoteapsyche_spp.
Costachorema_xanthoptera,Baraeoptera_roria
Costachorema_xanthoptera,Naonella
Costachorema_xanthoptera,Maoridiamesea
Costachorema_xanthoptera,Eukiefidrella
Costachorema_xanthoptera,Pirara
Costachorema_xanthoptera,Deleatidium_spp.
Costachorema_xanthoptera,Hydrobiosella_stenocera
Costachorema_xanthoptera,Pycnocentrodes_spp.
Costachorema_xanthoptera,Tiphobiosis_sp.
Hydora_nitida_(larva),Eukiefidrella
Hydora_nitida_(larva),Pirara
Hydora_nitida_(larva),Cricotopus_II
Hydora_nitida_(larva),Deleatidium_spp.
Hydrobiosis_parumbripennis,Terrestial_invertebrates
Hydrobiosis_parumbripennis,Nesameletus_ornatus
Hydrobiosis_spathulata/charadera,Naonella
Hydrobiosis_type_'Black_Pronotum',Naonella
Megaleptoperla_sp.,Terrestial_invertebrates
Megaleptoperla_sp.,Aoteapsyche_spp.
Megaleptoperla_sp.,Naonella
Megaleptoperla_sp.,Eukiefidrella
Megaleptoperla_sp.,Costachorema_xanthoptera
Megaleptoperla_sp.,Megaleptoperla_sp.
Megaleptoperla_sp.,Nesameletus_ornatus
Megaleptoperla_sp.,Oniscigaster_sp.
Nesameletus_ornatus,Helicopsyche_albescens
Orchymontia_sp.,Deleatidium_spp.
Philorheithrus_agilis,Terrestial_invertebrates
Philorheithrus_agilis,Nesameletus_ornatus
Philorheithrus_agilis,Tiphobiosis_sp.
Polyplectropus_puerilis,Terrestial_invertebrates
Polyplectropus_puerilis,Aoteapsyche_spp.
Polyplectropus_puerilis,Cricotopus_II
Polyplectropus_puerilis,Tanytarsini
Potamopyrgus_antipodarum,Deleatidium_spp.
Potamopyrgus_antipodarum,Nesameletus_ornatus
Psilochorema_bidens,Naonella
Psilochorema_bidens,Deleatidium_spp.
Pycnocentria_sp.,Pirara
Pycnocentria_sp.,Nesameletus_ornatus
Pycnocentria_sp.,Oligochaeta_type_II
Pycnocentrodes_spp.,Pirara
Pycnocentrodes_spp.,Nesameletus_ornatus
Pycnocentrodes_spp.,Oligochaeta_type_II
Stenoperla_prasinia,Terrestial_invertebrates
Stenoperla_prasinia,Aoteapsyche_spp.
Stenoperla_prasinia,Naonella
Stenoperla_prasinia,Eukiefidrella
Stenoperla_prasinia,Costachorema_xanthoptera
Stenoperla_prasinia,Megaleptoperla_sp.
Stenoperla_prasinia,Nesameletus_ornatus
Stenoperla_prasinia,Oniscigaster_sp.
Tanyderidae_sp.,Terrestial_invertebrates
Tanyderidae_sp.,Naonella
Tanyderidae_sp.,Eukiefidrella
Tanyderidae_sp.,Deleatidium_spp.
Tiphobiosis_sp.,Terrestial_invertebrates
Tiphobiosis_sp.,Nesameletus_ornatus
Zealandoperla_sp.,Deleatidium_spp.
Zephlebia_spectabilis,Austrosimulium_australense
Zephlebia_spectabilis,Deleatidium_spp.
Zephlebia_spectabilis,Olinga_feredayi
Anguilla_dieffenbachii,Terrestial_invertebrates
Anguilla_dieffenbachii,Amelotopsis_perscitus
Anguilla_dieffenbachii,Aoteapsyche_spp.
Anguilla_dieffenbachii,Larsia_II
Anguilla_dieffenbachii,Coloburiscus_humeralis
Anguilla_dieffenbachii,Deleatidium_spp.
Anguilla_dieffenbachii,Helicopsyche_albescens
Anguilla_dieffenbachii,Hydrobiosis_parumbripennis
Anguilla_dieffenbachii,Olinga_feredayi
Anguilla_dieffenbachii,Potamopyrgus_antipodarum
Anguilla_dieffenbachii,Pycnocentrodes_spp.
Anguilla_dieffenbachii,Zephlebia_spectabilis
Galaxias_depressiceps,Aoteapsyche_spp.
Galaxias_depressiceps,Aphrophila_noevaezelandiae
Galaxias_depressiceps,Naonella
Galaxias_depressiceps,Pirara
Galaxias_depressiceps,Cricotopus_II
Galaxias_depressiceps,Coloburiscus_humeralis
Galaxias_depressiceps,Deleatidium_spp.
Galaxias_depressiceps,Hydora_nitida_(adult)
Galaxias_depressiceps,Hydrobiosis_parumbripennis
Galaxias_depressiceps,Hydrobiosis_type_'Black_Pronotum'
Galaxias_depressiceps,Psilachorema_bidens
Galaxias_depressiceps,Pycnocentrodes_spp.
Gobiomorphus_breviceps,Terrestial_invertebrates
Gobiomorphus_breviceps,Amelotopsis_perscitus
Gobiomorphus_breviceps,Aoteapsyche_spp.
Gobiomorphus_breviceps,Aphrophila_noevaezelandiae
Gobiomorphus_breviceps,Larsia_II
Gobiomorphus_breviceps,Naonella
Gobiomorphus_breviceps,Eukiefidrella
Gobiomorphus_breviceps,Tanytarsini_II
Gobiomorphus_breviceps,Pirara
Gobiomorphus_breviceps,Cricotopus_II
Gobiomorphus_breviceps,Tanypodini
Gobiomorphus_breviceps,Tanytarsini
Gobiomorphus_breviceps,Costachorema_xanthoptera
Gobiomorphus_breviceps,Deleatidium_spp.
Gobiomorphus_breviceps,Hydrobiosis_parumbripennis
Gobiomorphus_breviceps,Hydrobiosis_type_'Black_Pronotum'
Gobiomorphus_breviceps,Nesameletus_ornatus
Gobiomorphus_breviceps,Polyplectropus_puerilis
Gobiomorphus_breviceps,Potamopyrgus_antipodarum
