consumer,resource
Achipteria_coleoptrata,Achromadora
Achipteria_coleoptrata,Acrobeles_ciliatus
Achipteria_coleoptrata,Acrobeloides
Achipteria_coleoptrata,Aglenchus_agricola
Achipteria_coleoptrata,Alaimus
Achipteria_coleoptrata,Aphelenchoides
Achipteria_coleoptrata,Cephalobidae
Achipteria_coleoptrata,Chromadoridae
Achipteria_coleoptrata,Chronogaster
Achipteria_coleoptrata,Coslenchus
Achipteria_coleoptrata,Dauerlarvae
Achipteria_coleoptrata,Diphtherophora
Achipteria_coleoptrata,Dolichodoridae
Achipteria_coleoptrata,Dolichorhynchus
Achipteria_coleoptrata,Dorylaimida
Achipteria_coleoptrata,Eucephalobus
Achipteria_coleoptrata,Filenchus
Achipteria_coleoptrata,Helicotylenchus
Achipteria_coleoptrata,Heterocephalobus_elongatus
Achipteria_coleoptrata,Longidorus
Achipteria_coleoptrata,Meloidogyne
Achipteria_coleoptrata,Meloidogyne_naasi
Achipteria_coleoptrata,Metateratocephalus_crassidens
Achipteria_coleoptrata,Panagrolaimus
Achipteria_coleoptrata,Paratrichodorus
Achipteria_coleoptrata,Paratrichodorus_teres
Achipteria_coleoptrata,Paratylenchus
Achipteria_coleoptrata,Plectidae
Achipteria_coleoptrata,Plectus
Achipteria_coleoptrata,Pratylenchus
Achipteria_coleoptrata,Pratylenchus_crenatus
Achipteria_coleoptrata,Prismatolaimus
Achipteria_coleoptrata,Rhabditidae
Achipteria_coleoptrata,Teratocephalus
Achipteria_coleoptrata,Trichodorus
Achipteria_coleoptrata,Trichodorus_similis
Achipteria_coleoptrata,Tylenchidae
Achipteria_coleoptrata,Tylenchorhynchus
Achipteria_coleoptrata,Tylenchorhynchus_dubius
Alliphis_siculus,Achromadora
Alliphis_siculus,Acrobeles_ciliatus
Alliphis_siculus,Acrobeloides
Alliphis_siculus,Aglenchus_agricola
Alliphis_siculus,Alaimus
Alliphis_siculus,Aphelenchoides
Alliphis_siculus,Aporcelaimellus_obtusicaudatus
Alliphis_siculus,Cephalobidae
Alliphis_siculus,Chromadoridae
Alliphis_siculus,Chronogaster
Alliphis_siculus,Clarkus
Alliphis_siculus,Coslenchus
Alliphis_siculus,Dauerlarvae
Alliphis_siculus,Diphtherophora
Alliphis_siculus,Dolichodoridae
Alliphis_siculus,Dolichorhynchus
Alliphis_siculus,Dorylaimida
Alliphis_siculus,Dorylaimoidea
Alliphis_siculus,Eucephalobus
Alliphis_siculus,Filenchus
Alliphis_siculus,Helicotylenchus
