consumer,resource
Alliphis_siculus,Acrobeles_ciliatus
Alliphis_siculus,Acrobeloides
Alliphis_siculus,Aglenchus_agricola
Alliphis_siculus,Alaimus
Alliphis_siculus,Aphelenchoides
Alliphis_siculus,Aphelenchus
Alliphis_siculus,Aporcelaimellus_obtusicaudatus
Alliphis_siculus,Bastiania
Alliphis_siculus,Cephalobidae
Alliphis_siculus,Chromadoridae
Alliphis_siculus,Dauerlarvae
Alliphis_siculus,Diphtherophora
Alliphis_siculus,Dolichodoridae
Alliphis_siculus,Dorylaimida
Alliphis_siculus,Dorylaimoidea
Alliphis_siculus,Eucephalobus
Alliphis_siculus,Eudorylaimus
Alliphis_siculus,Filenchus
Alliphis_siculus,Helicotylenchus
Alliphis_siculus,Heterodera
Alliphis_siculus,Longidorus
Alliphis_siculus,Meloidogyne
Alliphis_siculus,Meloidogyne_naasi
Alliphis_siculus,Metateratocephalus_crassidens
Alliphis_siculus,Mononchidae
Alliphis_siculus,Panagrolaimus
Alliphis_siculus,Paratrichodorus
Alliphis_siculus,Paratrichodorus_teres
Alliphis_siculus,Paratylenchus
Alliphis_siculus,Plectidae
Alliphis_siculus,Plectus
Alliphis_siculus,Pratylenchus
Alliphis_siculus,Pratylenchus_crenatus
Alliphis_siculus,Prismatolaimus
Alliphis_siculus,Qudsianematidae
Alliphis_siculus,Rhabditidae
Alliphis_siculus,Teratocephalus
Alliphis_siculus,Thornenematinae
Alliphis_siculus,Trichodoridae
Alliphis_siculus,Trichodorus
Alliphis_siculus,Trichodorus_similis
Alliphis_siculus,Tylenchidae
Alliphis_siculus,Tylenchorhynchus
Alliphis_siculus,Tylenchorhynchus_dubius
Alliphis_siculus,Wilsonema
Aporcelaimellus_obtusicaudatus,Acrobeles_ciliatus
Aporcelaimellus_obtusicaudatus,Acrobeloides
Aporcelaimellus_obtusicaudatus,Aglenchus_agricola
Aporcelaimellus_obtusicaudatus,Alaimus
Aporcelaimellus_obtusicaudatus,Aphelenchoides
Aporcelaimellus_obtusicaudatus,Aphelenchus
Aporcelaimellus_obtusicaudatus,Bastiania
Aporcelaimellus_obtusicaudatus,Cephalobidae
Aporcelaimellus_obtusicaudatus,Chromadoridae
Aporcelaimellus_obtusicaudatus,Dauerlarvae
Aporcelaimellus_obtusicaudatus,Diphtherophora
Aporcelaimellus_obtusicaudatus,Dolichodoridae
Aporcelaimellus_obtusicaudatus,Dorylaimida
Aporcelaimellus_obtusicaudatus,Eucephalobus
Aporcelaimellus_obtusicaudatus,Filenchus
Aporcelaimellus_obtusicaudatus,Helicotylenchus
