consumer,resource,NA,NA,NA,NA
Acrobeles_ciliatus,species,adults,4.74e-8,terrestrial belowground,NA
Acrobeloides,genus,adults,2.16e-8,terrestrial belowground,NA
Aglenchus_agricola,species,adults,5.13e-8,terrestrial belowground,NA
Alaimus,genus,adults,7.29e-8,terrestrial belowground,NA
Aphelenchoides,genus,adults,1.02e-8,terrestrial belowground,NA
Aphelenchus,genus,adults,7.76e-9,terrestrial belowground,NA
Aporcelaimellus_obtusicaudatus,species,adults,1.91e-6,terrestrial belowground,NA
Bastiania,genus,adults,4.27e-8,terrestrial belowground,NA
Cephalobidae,family,adults,2.22e-8,terrestrial belowground,NA
Chromadoridae,family,adults,1.11e-8,terrestrial belowground,NA
Dauerlarvae,NA,inactive,3.9e-8,terrestrial belowground,2
Diphtherophora,genus,adults,8.71e-9,terrestrial belowground,NA
Dolichodoridae,family,adults,2.09e-8,terrestrial belowground,NA
Dorylaimida,order,adults,2.51e-7,terrestrial belowground,NA
Dorylaimoidea,family,adults,2.1e-7,terrestrial belowground,NA
Eucephalobus,genus,adults,2.74e-8,terrestrial belowground,NA
Eudorylaimus,genus,adults,3.02e-7,terrestrial belowground,NA
Filenchus,genus,adults,1.65e-8,terrestrial belowground,NA
Helicotylenchus,genus,adults,3.73e-8,terrestrial belowground,NA
Heterodera,genus,juveniles,5e-8,terrestrial belowground,NA
Longidorus,genus,adults,4.68e-6,terrestrial belowground,NA
Meloidogyne,genus,juveniles,1.91e-8,terrestrial belowground,NA
Meloidogyne_naasi,species,adults,5.13e-8,terrestrial belowground,NA
Metateratocephalus_crassidens,species,adults,1.26e-8,terrestrial belowground,NA
Mononchidae,family,adults,1.48e-7,terrestrial belowground,NA
Panagrolaimus,genus,adults,5.88e-8,terrestrial belowground,NA
Paratrichodorus,genus,adults,2.34e-7,terrestrial belowground,NA
Paratrichodorus_teres,species,adults,4.66e-8,terrestrial belowground,NA
Paratylenchus,genus,adults,1.38e-8,terrestrial belowground,NA
Plectidae,family,adults,3.89e-9,terrestrial belowground,NA
Plectus,genus,adults,9.56e-8,terrestrial belowground,NA
Pratylenchus,genus,adults,5.25e-9,terrestrial belowground,NA
Pratylenchus_crenatus,species,adults,5.89e-8,terrestrial belowground,NA
Prismatolaimus,genus,adults,7.08e-9,terrestrial belowground,NA
Qudsianematidae,family,adults,1e-7,terrestrial belowground,NA
Rhabditidae,family,adults,3.32e-8,terrestrial belowground,NA
Teratocephalus,genus,adults,1.17e-8,terrestrial belowground,NA
Thornenematinae,order,adults,2.16e-7,terrestrial belowground,NA
Trichodoridae,family,adults,4.57e-8,terrestrial belowground,NA
Trichodorus,genus,adults,1.82e-7,terrestrial belowground,NA
Trichodorus_similis,genus,adults,5.78e-8,terrestrial belowground,NA
Tylenchidae,family,adults,2.21e-8,terrestrial belowground,NA
Tylenchorhynchus,genus,adults,6.78e-8,terrestrial belowground,NA
Tylenchorhynchus_dubius,species,adults,2.19e-7,terrestrial belowground,NA
Wilsonema,genus,adults,1.41e-8,terrestrial belowground,NA
Dauerlarvae,NA,inactive,3.9e-8,terrestrial belowground,NA
Heterodera,genus,adults,5e-8,terrestrial belowground,NA
Achipteria_coleoptrata,species,adults,1.38e-5,terrestrial belowground,2
Brachystomella_parvula,species,adults,1.82e-6,terrestrial belowground,2
Cheiroseius,genus,adults,4.68e-6,terrestrial belowground,2
Dendrolaelaps,genus,adults,2.69e-6,terrestrial belowground,2
Eupodidae,family,adults,2.97e-6,terrestrial belowground,2
Friesea_truncata,species,adults,4.47e-7,terrestrial belowground,2
Hypoaspis,genus,adults,3.41e-5,terrestrial belowground,2
Isotoma,genus,adults,1.43e-5,terrestrial belowground,2
Isotomidae,family,adults,2.14e-6,terrestrial belowground,2
Isotomiella_minor,species,adults,3.4e-6,terrestrial belowground,2
Isotomurus,genus,adults,2.24e-6,terrestrial belowground,2
Lepidocyrtus,genus,adults,8.61e-6,terrestrial belowground,2
Lysigamasus,genus,adults,1.62e-5,terrestrial belowground,2
Macrocheles,genus,adults,6.61e-5,terrestrial belowground,2
Mesaphorura,genus,adults,3.39e-6,terrestrial belowground,2
Onychiurus,genus,adults,6.46e-6,terrestrial belowground,2
Pachygnatidae,family,adults,1.59e-6,terrestrial belowground,2
Parasitus,genus,adults,2.93e-5,terrestrial belowground,2
Parisotoma_notabilis,species,adults,2.69e-6,terrestrial belowground,2
Pergamasus,genus,adults,1.04713e-4,terrestrial belowground,2
Pseudisotoma_sensibilis,species,adults,6.67e-6,terrestrial belowground,2
Pygmephorus,genus,adults,1.51e-6,terrestrial belowground,2
Rhizoglyphus,genus,adults,1.58e-5,terrestrial belowground,2
Sminthurinus_elegans,species,adults,5.5e-6,terrestrial belowground,2
Sphaeridia_pumilis,species,adults,3.68e-7,terrestrial belowground,2
Stigmaeidae,family,adults,1.2e-5,terrestrial belowground,2
Symphypleona,genus,adults,2.18e-7,terrestrial belowground,2
Tyrophagus,genus,adults,6.61e-6,terrestrial belowground,2
Amoebae,NA,active,4.08e-11,terrestrial belowground,NA
Flagellatae,NA,adults,5.21e-12,terrestrial belowground,NA
Alliphis_siculus,species,adults,7.24e-6,terrestrial belowground,NA
Alliphis_siculus,species,adults,7.24e-6,terrestrial belowground,2
Aporcelaimellus_obtusicaudatus,species,adults,1.91e-6,terrestrial belowground,NA
Bdellidae,family,adults,4.37e-6,terrestrial belowground,2
Cheiroseius,genus,adults,4.68e-6,terrestrial belowground,2
Cheiroseius,genus,adults,4.68e-6,terrestrial belowground,NA
Dendrolaelaps,genus,adults,2.69e-6,terrestrial belowground,2
Dendrolaelaps,genus,adults,2.69e-6,terrestrial belowground,NA
Dorylaimoidea,family,adults,2.1e-7,terrestrial belowground,NA
Eudorylaimus,genus,adults,3.02e-7,terrestrial belowground,NA
