consumer,resource
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Cyclops_bicuspidatus,copepod_nauplii
Tropocyclops_prasinus,Cyclops_bicuspidatus
Mesocyclops_edax,Cyclops_bicuspidatus
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Cyclops_bicuspidatus,Cyclops_bicuspidatus
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Mesocyclops_edax,Tropocyclops_prasinus
Cyclops_bicuspidatus,Diaptomus_minutus
Cyclops_bicuspidatus,Mesocyclops_edax
Cyclops_bicuspidatus,Tropocyclops_prasinus
Tropocyclops_prasinus,Bosmina_longirostris
Tropocyclops_prasinus,Trichocerca_multicrinis
Mesocyclops_edax,Bosmina_longirostris
Tropocyclops_prasinus,Polyarthra_major
Mesocyclops_edax,Trichocerca_multicrinis
Mesocyclops_edax,Polyarthra_major
Cyclops_bicuspidatus,Bosmina_longirostris
Cyclops_bicuspidatus,Trichocerca_multicrinis
Cyclops_bicuspidatus,Polyarthra_major
Tropocyclops_prasinus,Polyarthra_remata
Mesocyclops_edax,Polyarthra_remata
Cyclops_bicuspidatus,Polyarthra_remata
Tropocyclops_prasinus,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
Cyclops_bicuspidatus,Keratella_taurocephala
Polyphemus_pediculus,Polyphemus_pediculus
Polyphemus_pediculus,copepod_nauplii
Polyphemus_pediculus,Bosmina_longirostris
