consumer,resource,NA,NA,NA
Sphaeromatidae,family,NA,0.003,marine
Zooplankton,NA,NA,0.001,marine
Chthamalus_dentatus,species,NA,0.01,marine
Bathygobius_fuscus,species,NA,0.9,marine
Tetraclita_spp.,genus,NA,0.01,marine
Aplidium_lubricum,species,NA,0.01,marine
Hymeniacidon_sp.,genus,NA,0.01,marine
Tedania_anhelans,species,NA,0.01,marine
Nemertea,NA,NA,2e-4,marine
Nematoda,NA,NA,0.01,marine
Polychaeta,class,NA,0.005,marine
Oligochaeta,NA,NA,2e-4,marine
Ophiurida,order,NA,0.0031,marine
Cirolanidae,family,NA,1.38,marine
Amphitoidae,family,NA,0.0013,marine
Metopograpsus_messor,species,NA,0.0073,marine
Bathygobius_fuscus,species,NA,0.9,marine
Anemonia_natalensis,species,NA,0.005,marine
Antennablennius_bifilum,species,NA,0.77,marine
Sphaeromatidae,family,NA,0.003,marine
Chthamalus_dentatus,species,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Palythoa_nelliae,species,NA,89,marine
Zoanthus_sansibaricus,species,NA,0.01,marine
Polychaeta,class,NA,0.005,marine
Oligochaeta,NA,NA,2e-4,marine
Ophiurida,order,NA,0.0031,marine
Tetraclita_spp.,genus,NA,0.01,marine
Diplosoma_modestum,species,NA,45,marine
Aplidium_lubricum,species,NA,0.01,marine
Metopograpsus_messor,species,NA,0.0073,marine
Ostracoda,class,NA,0.001,marine
Morula_uva,species,NA,0.01,marine
Tenguella_granulata,species,NA,0.01,marine
Triphoridae,family,NA,0.0088,marine
Mitridae,species,NA,2.76,marine
Nematoda,NA,NA,0.01,marine
Amphitoidae,family,NA,0.0013,marine
Conus_ebraeus,species,NA,3.2,marine
Conus_tinianus,species,NA,2.9,marine
