consumer,resource
Scartella_emarginata,Sphaeromatidae
Bunodactis_reynaudi,Sphaeromatidae
Helcogramma_obtusirostris,Sphaeromatidae
Platyhelminthes,Tanaidacea
Nemertea,Tanaidacea
Sphaeromatidae,Zooplankton
Tanaidacea,Zooplankton
Zooplankton,Zooplankton
Palythoa_nelliae,Zooplankton
Bryozoa,Zooplankton
Platyhelminthes,Zooplankton
Musculus_sp.,Zooplankton
Polychaeta,Zooplankton
Oligochaeta,Zooplankton
Ophiurida,Zooplankton
Acanthonyx_quadridentatus,Zooplankton
Pinnidae,Zooplankton
Skeneopsidae,Zooplankton
Dendropoma_tholia,Zooplankton
Porcellana_sp.,Zooplankton
Bunodactis_reynaudi,Echinometra_mathaei
Charybdis_natator,Scartella_emarginata
Triphoridae,Haliclona_sp.
Aeolidiidae,Anemonia_natalensis
Epitoniidae,Anemonia_natalensis
Aeolidiidae,Bunodactis_reynaudi
Epitoniidae,Bunodactis_reynaudi
Mitridae,Nemertea
Polychaeta,Polychaeta
Ophiurida,Polychaeta
Amphitoidae,Polychaeta
Helcogramma_obtusirostris,Polychaeta
Porcellana_sp.,Polychaeta
Oligochaeta,Oligochaeta
Bunodactis_reynaudi,Epitoniidae
Helcogramma_obtusirostris,Epitoniidae
Bunodactis_reynaudi,Triphoridae
Helcogramma_obtusirostris,Triphoridae
Helcogramma_obtusirostris,Capulidae
Bunodactis_reynaudi,Skeneopsidae
Bunodactis_reynaudi,Dendropoma_tholia
Helcogramma_obtusirostris,Dendropoma_tholia
Bunodactis_reynaudi,Oxystele_spp.
Helcogramma_obtusirostris,Oxystele_spp.
Bunodactis_reynaudi,Mitridae
Helcogramma_obtusirostris,Purpura_panama
Bunodactis_reynaudi,Diodora_sp.
Diodora_sp.,Diodora_sp.
Anemonia_natalensis,Musculus_sp.
Bunodactis_reynaudi,Musculus_sp.
Porcellana_sp.,Musculus_sp.
Bunodactis_reynaudi,Pinnidae
Amphitoidae,Amphitoidae
Anemonia_natalensis,Amphitoidae
Platyhelminthes,Amphitoidae
Charybdis_natator,Helcogramma_obtusirostris
Charybdis_natator,Acanthonyx_quadridentatus
Charybdis_natator,Menaethius_monoceros
Charybdis_natator,Porcellana_sp.
Charybdis_natator,Charybdis_natator
