consumer,resource
Zooplankton,Zooplankton
Tetraclita_stalactifera,Zooplankton
Megabalanus_tintinnabulum,Zooplankton
Copepoda,Zooplankton
Mytilaster_solisianus,Zooplankton
Perna_perna,Zooplankton
Isognomon_bicolor,Zooplankton
Isopoda,Zooplankton
Sebidae,Zooplankton
Polychaeta,Zooplankton
Bathygobius_soporator,Polychaeta
Polychaeta,Polychaeta
Stramonita_haemastoma,Mytilaster_solisianus
Bathygobius_soporator,Isopoda
Bathygobius_soporator,Sebidae
Pachygrapsus_transversus,Pachygrapsus_transversus
Bathygobius_soporator,Pachygrapsus_transversus
Stramonita_haemastoma,Tetraclita_stalactifera
Stramonita_haemastoma,Megabalanus_tintinnabulum
Bathygobius_soporator,Copepoda
Pachygrapsus_transversus,Bathygobius_soporator
