consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Cinachyrella_alloclada,species,NA,0.01,marine,2
Mycale_sp.,genus,NA,2.42,marine,2
Protopalythoa_variabilis,species,NA,0.483,marine,2
Isaurus_sp.,genus,NA,0.01,marine,2
Polychaeta,class,NA,0.0013,marine,2
Sabellidae,family,NA,0.002,marine,2
Ischnochiton_striolatus,species,NA,0.01,marine,2
Engina_turbinella,species,NA,0.085,marine,2
Stramonita_haemastoma,species,NA,1.1,marine,2
Eulithidium_affine,species,NA,0.0025,marine,2
Tegula_viridula,species,NA,0.01,marine,2
Brachidontes_sp.,genus,NA,0.001,marine,2
Tanaidacea,NA,NA,8e-4,marine,2
Idotea,genus,NA,7e-4,marine,2
Gammaridae,family,NA,0.0015,marine,2
Talitridae,family,NA,0.014,marine,3
Eriphia_gonagra,species,NA,1.67,marine,2
Pachygrapsus_transversus,species,NA,0.1,marine,2
Menippe_nodifrons,species,NA,5.7,marine,2
Ostracoda,class,NA,0.001,marine,3
Ophiura_sp.,genus,NA,0.0066,marine,3
Eudistoma_vannamei,species,NA,0.01,marine,3
Phallusia_nigra,species,NA,0.01,marine,3
Clibanarius_antillensis,species,NA,0.221,marine,2
Pomacanthus_paru,species,NA,1,marine,2
Abudefduf_saxatilis,species,NA,0.86,marine,3
