consumer,resource
Zooplankton,Zooplankton
Eulithidium_affine,Zooplankton
Chthamalus_bisinuatus,Zooplankton
Phallusia_nigra,Zooplankton
Protopalythoa_variabilis,Zooplankton
Tanaidacea,Zooplankton
Eudistoma_vannamei,Zooplankton
Polychaeta,Zooplankton
Amphitoidae,Zooplankton
Oligochaeta,Zooplankton
Stenothoidae,Zooplankton
Clibanarius_antillensis,Zooplankton
Gammaridae,Zooplankton
Bittiolum_varium,Zooplankton
Stenothoidae,Polychaeta
Ostracoda,Polychaeta
Polychaeta,Polychaeta
Amphitoidae,Polychaeta
Stramonita_haemastoma,Oligochaeta
Ostracoda,Oligochaeta
Stenothoidae,Oligochaeta
Polychaeta,Oligochaeta
Amphitoidae,Oligochaeta
Oligochaeta,Oligochaeta
Gammaridae,Oligochaeta
Polychaeta,Bittiolum_varium
Idotea,Tanaidacea
Polychaeta,Tanaidacea
Amphitoidae,Tanaidacea
Stenothoidae,Tanaidacea
Clibanarius_antillensis,Tanaidacea
Gammaridae,Tanaidacea
Stenothoidae,Idotea
Idotea,Idotea
Amphitoidae,Idotea
Polychaeta,Idotea
Gammaridae,Idotea
Idotea,Gammaridae
Polychaeta,Gammaridae
Amphitoidae,Gammaridae
Stenothoidae,Gammaridae
Clibanarius_antillensis,Gammaridae
Gammaridae,Gammaridae
Idotea,Amphitoidae
Polychaeta,Amphitoidae
Amphitoidae,Amphitoidae
Stenothoidae,Amphitoidae
Clibanarius_antillensis,Amphitoidae
Gammaridae,Amphitoidae
Stenothoidae,Stenothoidae
Clibanarius_antillensis,Stenothoidae
Amphitoidae,Stenothoidae
Stramonita_haemastoma,Chthamalus_bisinuatus
Polychaeta,Ostracoda
