consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,2
Zooplankton,NA,NA,0.001,marine,3
Polychaeta,class,NA,0.01,marine,2
Fissurella_rosea,species,NA,0.0013,marine,2
Eulithidium_affine,species,NA,0.0017,marine,2
Diplodonta_sp.,genus,NA,5e-4,marine,2
Isopoda,order,NA,1e-4,marine,2
Gammaridae,family,NA,0.0012,marine,3
Gammaridae,family,NA,0.0012,marine,2
Callinectes_sp.,genus,NA,0.0077,marine,3
Harparticoida,order,NA,0.001,marine,3
Harparticoida,order,NA,0.001,marine,2
Bathygobius_soporator,species,NA,0.54,marine,3
Stramonita_haemastoma,species,NA,2.21,marine,2
Diplodonta_sp.,genus,NA,5e-4,marine,3
Polychaeta,class,NA,0.01,marine,3
Phallusia_nigra,species,NA,0.01,marine,3
Eudistoma_vannamei,species,NA,0.01,marine,3
Clibanarius_antillensis,species,NA,0.188,marine,2
Callinectes_sp.,genus,NA,0.0077,marine,2
