consumer,resource
Abudefduf_saxatilis,Zooplankton
Fissurella_rosea,Zooplankton
Stramonita_haemastoma,Zooplankton
Phallusia_nigra,Zooplankton
Ophiura_sp.,Zooplankton
Brachidontes_sp.,Zooplankton
Siderastrea_sp.,Zooplankton
Tanaidacea,Zooplankton
Zooplankton,Zooplankton
Isopoda,Zooplankton
Polychaeta,Zooplankton
Sabellidae,Zooplankton
Amphitoidae,Zooplankton
Eudistoma_vannamei,Zooplankton
Clibanarius_antillensis,Zooplankton
Gammaridae,Zooplankton
Ostracoda,Polychaeta
Ophiura_sp.,Polychaeta
Polychaeta,Polychaeta
Bathygobius_soporator,Polychaeta
Ostracoda,Sabellidae
Polychaeta,Sabellidae
Bathygobius_soporator,Sabellidae
Bathygobius_soporator,Sipunculidae
Aurantilaria_aurantiaca,Cerithium_atratum
Aurantilaria_aurantiaca,Aurantilaria_aurantiaca
Polychaeta,Fissurella_rosea
Aurantilaria_aurantiaca,Stramonita_haemastoma
Polychaeta,Eulithidium_affine
Polychaeta,Aplysia_dactylomela
Polychaeta,Brachidontes_sp.
Abudefduf_saxatilis,Tanaidacea
Idotea,Tanaidacea
Isopoda,Tanaidacea
Polychaeta,Tanaidacea
Amphitoidae,Tanaidacea
Clibanarius_antillensis,Tanaidacea
Gammaridae,Tanaidacea
Idotea,Idotea
Amphitoidae,Idotea
Isopoda,Idotea
Polychaeta,Idotea
Gammaridae,Idotea
Abudefduf_saxatilis,Isopoda
Idotea,Isopoda
Isopoda,Isopoda
Polychaeta,Isopoda
Amphitoidae,Isopoda
Clibanarius_antillensis,Isopoda
Abudefduf_saxatilis,Gammaridae
Idotea,Gammaridae
Isopoda,Gammaridae
Polychaeta,Gammaridae
Amphitoidae,Gammaridae
Clibanarius_antillensis,Gammaridae
Gammaridae,Gammaridae
Abudefduf_saxatilis,Amphitoidae
Idotea,Amphitoidae
Isopoda,Amphitoidae
Polychaeta,Amphitoidae
Amphitoidae,Amphitoidae
Clibanarius_antillensis,Amphitoidae
Pachygrapsus_transversus,Pachygrapsus_transversus
Polychaeta,Ostracoda
Pachygrapsus_transversus,Bathygobius_soporator
Bathygobius_soporator,Bathygobius_soporator
