consumer,resource,NA,NA,NA
Pseudococcus,genus,NA,-999,terrestrial aboveground
Ornitnonyssus_bursa,species,NA,3.77e-9,terrestrial aboveground
Cheyletia_wellsi,species,NA,4.83e-7,terrestrial aboveground
Arctoseius,genus,NA,5.3e-7,terrestrial aboveground
Asca,genus,NA,5.3e-7,terrestrial aboveground
Anisomeristes,genus,NA,3.62e-5,terrestrial aboveground
Carpoglyphus_lactis,species,NA,1.09e-6,terrestrial aboveground
Tyrophagus_putrescentiae,species,NA,1.17e-6,terrestrial aboveground
Pellonyssus,genus,NA,2.71e-6,terrestrial aboveground
Lasioseius_sp.,NA,NA,3.59e-6,terrestrial aboveground
Melichares,genus,NA,3.59e-6,terrestrial aboveground
Proctolaelaps,genus,NA,3.59e-6,terrestrial aboveground
Rhizoglyphus_callae,species,NA,5.5e-6,terrestrial aboveground
Bdella,genus,NA,8.52e-6,terrestrial aboveground
Anurida_maritima,species,NA,6.5e-4,terrestrial aboveground
Axelsonia_littoralis,species,NA,7.4676e-4,terrestrial aboveground
Veigaia,genus,NA,7.95e-4,terrestrial aboveground
Actinopteryx_fucicola,species,NA,8.66e-4,terrestrial aboveground
Sphaerolophus,genus,NA,6.37e-5,terrestrial aboveground
Eupodes,genus,NA,6.37e-5,terrestrial aboveground
Aedes_taeniorhynchus,species,NA,0.0035,terrestrial aboveground
Tachys_occulator,species,NA,0.0035,terrestrial aboveground
Bembidion_contractum,species,NA,0.0051,terrestrial aboveground
Trochopus_plumbeus,species,NA,0.008,terrestrial aboveground
Tydeidae,family,NA,2e-4,terrestrial aboveground
Scheloribates,genus,NA,2.82e-4,terrestrial aboveground
Ooencyrtus_submetallicus,species,NA,3.98141e-4,terrestrial aboveground
Tapinoma_littorale,species,NA,3.98141e-4,terrestrial aboveground
Brachymyrmex,genus,NA,3.98141e-4,terrestrial aboveground
Amblyseius,genus,NA,4e-4,terrestrial aboveground
Tetranychus,genus,NA,4.15e-4,terrestrial aboveground
Monomorium_floricola,species,NA,4.55048e-4,terrestrial aboveground
Entonyssus,genus,NA,0.021508161,terrestrial aboveground
Tetraluerodes,genus,NA,0.0025,terrestrial aboveground
Aleurothrixus,genus,NA,0.0025,terrestrial aboveground
Paraleyrodes,genus,NA,0.0025,terrestrial aboveground
Pentacora_sphacelata,species,NA,0.032069663,terrestrial aboveground
Entedontini,genus,NA,7.22205e-4,terrestrial aboveground
Euderus,genus,NA,7.22205e-4,terrestrial aboveground
Melittobia_chalybii,species,NA,7.22205e-4,terrestrial aboveground
Cryptorhynchus_minutissimus,species,NA,7.5e-4,terrestrial aboveground
Xenomyrmex_floridanus,species,NA,7.60079e-4,terrestrial aboveground
Dufouriellus_afer,species,NA,0.0035,terrestrial aboveground
Orius,genus,NA,0.0035,terrestrial aboveground
Poecilipa_rhizophorae,species,NA,8.75e-4,terrestrial aboveground
Probaryconus,genus,NA,9.21608e-4,terrestrial aboveground
Telonemus,NA,NA,9.21608e-4,terrestrial aboveground
Rhyscotus,genus,NA,0.001,terrestrial aboveground
Staphylinidae,family,NA,0.0476,terrestrial aboveground
Hypoponera_opacior,species,NA,0.00114621,terrestrial aboveground
Paratrechina_bourbonica,species,NA,0.00114621,terrestrial aboveground
Caecilius,genus,NA,0.00125,terrestrial aboveground
Psallus_conspurcatus,species,NA,0.006,terrestrial aboveground
Pauropoda,class,NA,0.001387308,terrestrial aboveground
Crematogaster_ashmeadi,species,NA,0.001558448,terrestrial aboveground
Apidae,family,NA,0.001671743,terrestrial aboveground
Apanteles_hemileucae,species,NA,0.001671743,terrestrial aboveground
Macrocentrus,genus,NA,0.001671743,terrestrial aboveground
Callihormius_bifasciatus,species,NA,0.001671743,terrestrial aboveground
Ecphylus,genus,NA,0.001671743,terrestrial aboveground
Heterospilus,genus,NA,0.001671743,terrestrial aboveground
Iphiaulax_epicus,species,NA,0.001671743,terrestrial aboveground
Galumna,genus,NA,0.0017,terrestrial aboveground
Meioneta,genus,NA,0.00175,terrestrial aboveground
Neurothrips_magnafemoraus,species,NA,0.001874225,terrestrial aboveground
Liothrips,genus,NA,0.001874225,terrestrial aboveground
Pseudothrips_inequalis,species,NA,0.001874225,terrestrial aboveground
Melanophthalma_floridana,species,NA,0.002,terrestrial aboveground
Holoparamecus,genus,NA,2,terrestrial aboveground
Carthasis_decoratus,species,NA,0.009,terrestrial aboveground
Metatropiphorus_belfragei,species,NA,0.009,terrestrial aboveground
Oebalus_pugnax,species,NA,0.009,terrestrial aboveground
Theridion,genus,NA,0.0023,terrestrial aboveground
Scleroderma_macrogaster,species,NA,0.002300114,terrestrial aboveground
Nesepyris_floridanus,species,NA,0.002300114,terrestrial aboveground
Cephalonomia_waterstoni,species,NA,0.002300114,terrestrial aboveground
Metapelma_schwarzi,species,NA,0.002300114,terrestrial aboveground
Neanastatus,genus,NA,0.002300114,terrestrial aboveground
Trischidias_atoma,species,NA,0.0025,terrestrial aboveground
Haplothrips_flavipes,species,NA,0.002532042,terrestrial aboveground
Tyrannochelifer,genus,NA,0.00255,terrestrial aboveground
Argas_radiatus,species,NA,0.002585816,terrestrial aboveground
Scydmaenidae,family,NA,0.003,terrestrial aboveground
Cecidomyidae,family,NA,0.003,terrestrial aboveground
Ectopsocus,genus,NA,0.00325,terrestrial aboveground
