consumer,resource
Phalacrocorax_dilophus,Anisomeristes
Phalacrocorax_dilophus,Anurida_maritima
Phalacrocorax_dilophus,Axelsonia_littoralis
Phalacrocorax_dilophus,Veigaia
Phalacrocorax_dilophus,Actinopteryx_fucicola
Natrix,Anisomeristes
Agelaius_phoeniceus,Anisomeristes
Phalacrocorax_dilophus,Tachys_occulator
Phalacrocorax_dilophus,Bembidion_contractum
Dendroica,Anisomeristes
Trochopus_plumbeus,Anisomeristes
Hentzia_palmarum,Anisomeristes
Natrix,Anurida_maritima
Agelaius_phoeniceus,Amblyseius
Natrix,Axelsonia_littoralis
Natrix,Veigaia
Natrix,Actinopteryx_fucicola
Agelaius_phoeniceus,Anurida_maritima
Phalacrocorax_dilophus,Pentacora_sphacelata
Agelaius_phoeniceus,Axelsonia_littoralis
Agelaius_phoeniceus,Xenomyrmex_floridanus
Agelaius_phoeniceus,Veigaia
Agelaius_phoeniceus,Actinopteryx_fucicola
Phalacrocorax_dilophus,Staphylinidae
Agelaius_phoeniceus,Crematogaster_ashmeadi
Agelaius_phoeniceus,Apanteles_hemileucae
Agelaius_phoeniceus,Apidae
Agelaius_phoeniceus,Galumna
Agelaius_phoeniceus,Pseudothrips_inequalis
Natrix,Tachys_occulator
Agelaius_phoeniceus,Scleroderma_macrogaster
Metatropiphorus_belfragei,Amblyseius
Dendroica,Amblyseius
Natrix,Bembidion_contractum
Agelaius_phoeniceus,Peripsocus
Agelaius_phoeniceus,Liposcelis_bostrychophilus
Agelaius_phoeniceus,Psocidus_texanus
Agelaius_phoeniceus,Dictyna
Agelaius_phoeniceus,Tachys_occulator
Agelaius_phoeniceus,Sergiolus
Agelaius_phoeniceus,Pseudoacalles
Dendroica,Anurida_maritima
Trochopus_plumbeus,Anurida_maritima
Metatropiphorus_belfragei,Veigaia
Pelecanus,Aratus_pisonii
Odonata,Anisomeristes
Dendroica,Axelsonia_littoralis
Trochopus_plumbeus,Axelsonia_littoralis
Agelaius_phoeniceus,Bembidion_contractum
Dendroica,Xenomyrmex_floridanus
Dendroica,Veigaia
Trochopus_plumbeus,Veigaia
Dendroica,Actinopteryx_fucicola
Trochopus_plumbeus,Actinopteryx_fucicola
Agelaius_phoeniceus,Aysha_velox
Agelaius_phoeniceus,Leucauge_venusta
Scydmaenidae,Amblyseius
Butorides_virescens,Pentacora_sphacelata
Hentzia_palmarum,Actinopteryx_fucicola
Phalacrocorax_dilophus,Odonata
Pelecanus,Littorina_angulifera
Agelaius_phoeniceus,Leptostylus
Metatropiphorus_belfragei,Galumna
Dendroica,Crematogaster_ashmeadi
Metatropiphorus_belfragei,Pseudothrips_inequalis
Dendroica,Apanteles_hemileucae
Dendroica,Apidae
Dendroica,Galumna
Phalacrocorax_dilophus,Littorina_angulifera
Dendroica,Pseudothrips_inequalis
Scydmaenidae,Veigaia
Dendroica,Scleroderma_macrogaster
Agelaius_phoeniceus,Pseudomyrmex_elongatus
Natrix,Pentacora_sphacelata
Butorides_virescens,Tafaliscu_lurida
Dendroica,Peripsocus
Dendroica,Liposcelis_bostrychophilus
Dendroica,Psocidus_texanus
Dendroica,Dictyna
Dendroica,Tachys_occulator
Trochopus_plumbeus,Tachys_occulator
Agelaius_phoeniceus,Nemapogon
Natrix,Staphylinidae
Dendroica,Sergiolus
Phalacrocorax_dilophus,Ligia_exotica
Dendroica,Pseudoacalles
Hentzia_palmarum,Dictyna
Scydmaenidae,Galumna
Hentzia_palmarum,Tachys_occulator
Agelaius_phoeniceus,Pentacora_sphacelata
Dendroica,Bembidion_contractum
Trochopus_plumbeus,Bembidion_contractum
Hentzia_palmarum,Sergiolus
Hentzia_palmarum,Pseudoacalles
Dendroica,Aysha_velox
Dendroica,Leucauge_venusta
Hentzia_palmarum,Bembidion_contractum
Agelaius_phoeniceus,Staphylinidae
Hentzia_palmarum,Aysha_velox
Hentzia_palmarum,Leucauge_venusta
Dendroica,Leptostylus
Agelaius_phoeniceus,Tafaliscu_lurida
Odonata,Anurida_maritima
Butorides_virescens,Odonata
Hentzia_palmarum,Leptostylus
Odonata,Axelsonia_littoralis
Odonata,Veigaia
Dendroica,Pseudomyrmex_elongatus
Odonata,Actinopteryx_fucicola
Butorides_virescens,Littorina_angulifera
Agelaius_phoeniceus,Ecdytolopha
Metatropiphorus_belfragei,Nemapogon
Phalacrocorax_dilophus,Trochopus_plumbeus
Eustala,Nemapogon
Dendroica,Nemapogon
Natrix,Odonata
Dendroica,Pentacora_sphacelata
Trochopus_plumbeus,Pentacora_sphacelata
Hentzia_palmarum,Nemapogon
Hentzia_palmarum,Pentacora_sphacelata
Dendroica,Staphylinidae
Trochopus_plumbeus,Staphylinidae
Agelaius_phoeniceus,Odonata
Hentzia_palmarum,Staphylinidae
Odonata,Tachys_occulator
Dendroica,Tafaliscu_lurida
Agelaius_phoeniceus,Littorina_angulifera
Odonata,Bembidion_contractum
Natrix,Ligia_exotica
Agelaius_phoeniceus,Arunta_interclusa
Scleroderma_macrogaster,Anisomeristes
Metatropiphorus_belfragei,Ecdytolopha
Eustala,Ecdytolopha
Dendroica,Ecdytolopha
Pentacora_sphacelata,Anurida_maritima
Pentacora_sphacelata,Axelsonia_littoralis
Hentzia_palmarum,Ecdytolopha
Agelaius_phoeniceus,Ligia_exotica
Pentacora_sphacelata,Veigaia
Agelaius_phoeniceus,Phocides_batabano
Butorides_virescens,Trochopus_plumbeus
Butorides_virescens,Metatropiphorus_belfragei
Trochopus_plumbeus,Aratus_pisonii
Phalacrocorax_dilophus,Natrix
Dendroica,Odonata
Agelaius_phoeniceus,Scydmaenidae
Dendroica,Littorina_angulifera
Trochopus_plumbeus,Littorina_angulifera
Natrix,Trochopus_plumbeus
Odonata,Pentacora_sphacelata
Agelaius_phoeniceus,Tricorynus
Dendroica,Arunta_interclusa
Agelaius_phoeniceus,Phoebis_agarithe
Agelaius_phoeniceus,Hentzia_palmarum
Aysha_velox,Xenomyrmex_floridanus
Odonata,Staphylinidae
Agelaius_phoeniceus,Ascia_monuste
Hentzia_palmarum,Arunta_interclusa
Agelaius_phoeniceus,Eustala
Agelaius_phoeniceus,Trochopus_plumbeus
Metatropiphorus_belfragei,Phocides_batabano
Agelaius_phoeniceus,Metatropiphorus_belfragei
Dendroica,Ligia_exotica
Trochopus_plumbeus,Ligia_exotica
Eustala,Phocides_batabano
Dendroica,Phocides_batabano
Sergiolus,Xenomyrmex_floridanus
