consumer,resource
Pagurus_sp.,Zooplankton
Fissurella_rosea,Zooplankton
Olivancillaria_sp.,Zooplankton
Eulithidium_affine,Zooplankton
Didemnum_granulatum,Zooplankton
Tanaidacea,Zooplankton
Zooplankton,Zooplankton
Eudistoma_vannamei,Zooplankton
Polychaeta,Zooplankton
Pagurus_sp.,Polychaeta
Polychaeta,Polychaeta
Olivancillaria_sp.,Fissurella_rosea
Olivancillaria_sp.,Olivancillaria_sp.
Olivancillaria_sp.,Eulithidium_affine
Olivancillaria_sp.,Aplysia_dactylomela
Pagurus_sp.,Tanaidacea
Polychaeta,Tanaidacea
Olivancillaria_sp.,Tanaidacea
