consumer,resource
Fissurella_rosea,Zooplankton
Callinectes_sp.,Zooplankton
Lysmata_sp.,Zooplankton
Olivancillaria_sp.,Zooplankton
Eulithidium_affine,Zooplankton
Sphoeroides_sp.,Zooplankton
Odostomia_sp.,Zooplankton
Haemulon_parra,Zooplankton
Bathygobius_soporator,Zooplankton
Tanaidacea,Zooplankton
Idotea,Zooplankton
Zooplankton,Zooplankton
Isopoda,Zooplankton
Polychaeta,Zooplankton
Amphitoidae,Zooplankton
Hippolyte_obliquimanus,Zooplankton
Gammaridae,Zooplankton
Hippolyte_obliquimanus,Tedania_sp.
Menippe_nodifrons,Tedania_sp.
Callinectes_sp.,Polychaeta
Ostracoda,Polychaeta
Odostomia_sp.,Polychaeta
Bathygobius_soporator,Polychaeta
Haemulon_parra,Polychaeta
Polychaeta,Polychaeta
Amphitoidae,Polychaeta
Eriphia_gonagra,Polychaeta
Menippe_nodifrons,Polychaeta
Callinectes_sp.,Fissurella_rosea
Olivancillaria_sp.,Fissurella_rosea
Sphoeroides_sp.,Fissurella_rosea
Haemulon_parra,Fissurella_rosea
Polychaeta,Fissurella_rosea
Eriphia_gonagra,Fissurella_rosea
Menippe_nodifrons,Fissurella_rosea
Olivancillaria_sp.,Olivancillaria_sp.
Sphoeroides_sp.,Olivancillaria_sp.
Callinectes_sp.,Eulithidium_affine
Olivancillaria_sp.,Eulithidium_affine
Sphoeroides_sp.,Eulithidium_affine
Haemulon_parra,Eulithidium_affine
Polychaeta,Eulithidium_affine
Eriphia_gonagra,Eulithidium_affine
Menippe_nodifrons,Eulithidium_affine
Callinectes_sp.,Odostomia_sp.
Olivancillaria_sp.,Odostomia_sp.
Sphoeroides_sp.,Odostomia_sp.
Haemulon_parra,Odostomia_sp.
Eriphia_gonagra,Odostomia_sp.
Menippe_nodifrons,Odostomia_sp.
Pagurus_sp.,Tanaidacea
Lysmata_sp.,Tanaidacea
Olivancillaria_sp.,Tanaidacea
Haemulon_parra,Tanaidacea
Bathygobius_soporator,Tanaidacea
Idotea,Tanaidacea
Isopoda,Tanaidacea
Amphitoidae,Tanaidacea
Pagurus_sp.,Idotea
Callinectes_sp.,Idotea
Lysmata_sp.,Idotea
Olivancillaria_sp.,Idotea
Haemulon_parra,Idotea
Bathygobius_soporator,Idotea
Scartella_cristata,Idotea
Idotea,Idotea
Isopoda,Idotea
Amphitoidae,Idotea
Callinectes_sp.,Isopoda
Lysmata_sp.,Isopoda
Olivancillaria_sp.,Isopoda
Haemulon_parra,Isopoda
Bathygobius_soporator,Isopoda
Idotea,Isopoda
Isopoda,Isopoda
Polychaeta,Isopoda
Amphitoidae,Isopoda
Gammaridae,Isopoda
Callinectes_sp.,Gammaridae
Lysmata_sp.,Gammaridae
Olivancillaria_sp.,Gammaridae
Haemulon_parra,Gammaridae
Bathygobius_soporator,Gammaridae
Scartella_cristata,Gammaridae
Idotea,Gammaridae
Isopoda,Gammaridae
Polychaeta,Gammaridae
Amphitoidae,Gammaridae
Gammaridae,Gammaridae
Pagurus_sp.,Amphitoidae
Callinectes_sp.,Amphitoidae
Lysmata_sp.,Amphitoidae
Olivancillaria_sp.,Amphitoidae
Haemulon_parra,Amphitoidae
Bathygobius_soporator,Amphitoidae
Scartella_cristata,Amphitoidae
Idotea,Amphitoidae
Isopoda,Amphitoidae
Amphitoidae,Amphitoidae
Haemulon_parra,Eriphia_gonagra
Eriphia_gonagra,Eriphia_gonagra
Menippe_nodifrons,Eriphia_gonagra
Pagurus_sp.,Hippolyte_obliquimanus
Bathygobius_soporator,Hippolyte_obliquimanus
Haemulon_parra,Menippe_nodifrons
Bathygobius_soporator,Menippe_nodifrons
Menippe_nodifrons,Menippe_nodifrons
Haemulon_parra,Callinectes_sp.
Bathygobius_soporator,Callinectes_sp.
Callinectes_sp.,Callinectes_sp.
Menippe_nodifrons,Callinectes_sp.
Bathygobius_soporator,Lysmata_sp.
Haemulon_parra,Ostracoda
Polychaeta,Ostracoda
Lysmata_sp.,Ostracoda
Bathygobius_soporator,Ostracoda
Bathygobius_soporator,Bathygobius_soporator
Callinectes_sp.,Bathygobius_soporator
Menippe_nodifrons,Bathygobius_soporator
Scartella_cristata,Scartella_cristata
Callinectes_sp.,Haemulon_parra
