consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,2
Zooplankton,NA,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,4e-4,marine,2
Oligochaeta,NA,NA,0.0015,marine,2
Eulithidium_affine,species,NA,2e-4,marine,2
Tanaidacea,NA,NA,4e-4,marine,2
Gammaridae,family,NA,3.2e-4,marine,2
Gammaridae,family,NA,3.2e-4,marine,3
Harparticoida,order,NA,0.001,marine,3
Pagurus_sp.,genus,NA,0.25,marine,2
Fissurella_rosea,species,NA,9e-4,marine,2
Brachidontes_sp.,genus,NA,0.001,marine,3
Tanaidacea,NA,NA,4e-4,marine,3
Zooplankton,NA,NA,0.001,marine,3
Oligochaeta,NA,NA,0.0015,marine,3
Gammaridae,family,NA,3.2e-4,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,4e-4,marine,2
Oligochaeta,NA,NA,0.0015,marine,2
Gammaridae,family,NA,3.2e-4,marine,2
Harparticoida,order,NA,0.001,marine,3
