consumer,resource
fish_fry,fish_eggs
Lepomis_gibbosus,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Eucyclops_agilis,copepod_nauplii
Cyclops_scutifer,copepod_nauplii
Tropocyclops_prasinus,Cyclops_scutifer
Eucyclops_agilis,Cyclops_scutifer
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Daphnia_ambigua
Tropocyclops_prasinus,Mesocyclops_edax
Eucyclops_agilis,Diaptomus_minutus
Salvelinus_fontinalis,Catostomus_commersoni
Salvelinus_fontinalis,Salvelinus_fontinalis
Cyclops_scutifer,Cyclops_scutifer
Eucyclops_agilis,Daphnia_ambigua
Eucyclops_agilis,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Tropocyclops_prasinus,Ceriodaphnia_quadrangula
Eucyclops_agilis,Tropocyclops_prasinus
Cyclops_scutifer,Diaptomus_minutus
Eucyclops_agilis,Ceriodaphnia_quadrangula
Cyclops_scutifer,Daphnia_ambigua
Cyclops_scutifer,Mesocyclops_edax
Salvelinus_fontinalis,Ictalurus_nebulosus
Tropocyclops_prasinus,Chydorus_sphaericus
Cyclops_scutifer,Tropocyclops_prasinus
Tropocyclops_prasinus,Keratella_crassa
Cyclops_scutifer,Ceriodaphnia_quadrangula
Tropocyclops_prasinus,Bosmina_longirostris
Eucyclops_agilis,Chydorus_sphaericus
Eucyclops_agilis,Keratella_crassa
Tropocyclops_prasinus,Trichocerca_multicrinis
Salvelinus_fontinalis,Lepomis_gibbosus
Tropocyclops_prasinus,Polyarthra_euryptera
Eucyclops_agilis,Bosmina_longirostris
Tropocyclops_prasinus,Gastropus_stylifer
Eucyclops_agilis,Trichocerca_multicrinis
fish_fry,copepod_nauplii
Eucyclops_agilis,Polyarthra_euryptera
Cyclops_scutifer,Chydorus_sphaericus
Eucyclops_agilis,Gastropus_stylifer
Cyclops_scutifer,Keratella_crassa
Cyclops_scutifer,Bosmina_longirostris
Cyclops_scutifer,Trichocerca_multicrinis
Cyclops_scutifer,Polyarthra_euryptera
Cyclops_scutifer,Gastropus_stylifer
fish_fry,Holopedium_gibberum
Tropocyclops_prasinus,Kelicottia_bostoniensis
fish_fry,Diaphanosoma_birgei
Eucyclops_agilis,Kelicottia_bostoniensis
Tropocyclops_prasinus,Keratella_cochlearis
Tropocyclops_prasinus,Keratella_taurocephala
fish_fry,Cyclops_scutifer
Eucyclops_agilis,Keratella_cochlearis
Eucyclops_agilis,Keratella_taurocephala
fish_fry,Diaptomus_minutus
Cyclops_scutifer,Kelicottia_bostoniensis
Lepomis_gibbosus,fish_fry
fish_fry,Daphnia_ambigua
fish_fry,Mesocyclops_edax
Cyclops_scutifer,Keratella_cochlearis
Cyclops_scutifer,Keratella_taurocephala
fish_fry,Tropocyclops_prasinus
fish_fry,Ceriodaphnia_quadrangula
fish_fry,Chydorus_sphaericus
Salvelinus_fontinalis,fish_fry
fish_fry,Keratella_crassa
fish_fry,Bosmina_longirostris
Lepomis_gibbosus,copepod_nauplii
fish_fry,Trichocerca_multicrinis
fish_fry,Polyarthra_euryptera
fish_fry,Gastropus_stylifer
Lepomis_gibbosus,Holopedium_gibberum
Lepomis_gibbosus,Diaphanosoma_birgei
fish_fry,Kelicottia_bostoniensis
Lepomis_gibbosus,Cyclops_scutifer
Lepomis_gibbosus,Diaptomus_minutus
fish_fry,Keratella_cochlearis
fish_fry,Keratella_taurocephala
Lepomis_gibbosus,Daphnia_ambigua
Lepomis_gibbosus,Mesocyclops_edax
Lepomis_gibbosus,Tropocyclops_prasinus
Lepomis_gibbosus,Ceriodaphnia_quadrangula
Lepomis_gibbosus,Chydorus_sphaericus
Lepomis_gibbosus,Keratella_crassa
Lepomis_gibbosus,Bosmina_longirostris
Lepomis_gibbosus,Trichocerca_multicrinis
Lepomis_gibbosus,Polyarthra_euryptera
Lepomis_gibbosus,Gastropus_stylifer
Lepomis_gibbosus,Kelicottia_bostoniensis
Lepomis_gibbosus,Keratella_cochlearis
Lepomis_gibbosus,Keratella_taurocephala
