consumer,resource
fish_fry,fish_eggs
Perca_flavescens,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Cyclops_scutifer,copepod_nauplii
Tropocyclops_prasinus,Cyclops_scutifer
Mesocyclops_edax,Cyclops_scutifer
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Daphnia_ambigua
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Cyclops_scutifer,Cyclops_scutifer
Mesocyclops_edax,Daphnia_ambigua
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Mesocyclops_edax,Tropocyclops_prasinus
Cyclops_scutifer,Diaptomus_minutus
Cyclops_scutifer,Daphnia_ambigua
Cyclops_scutifer,Mesocyclops_edax
Tropocyclops_prasinus,Euchlanis_sp.
Cyclops_scutifer,Tropocyclops_prasinus
Tropocyclops_prasinus,Keratella_crassa
Tropocyclops_prasinus,Bosmina_longirostris
Mesocyclops_edax,Euchlanis_sp.
Tropocyclops_prasinus,Monostyla_lunaris
Mesocyclops_edax,Keratella_crassa
Tropocyclops_prasinus,Gastropus_hyptopus
Tropocyclops_prasinus,Trichocerca_multicrinis
Mesocyclops_edax,Bosmina_longirostris
Mesocyclops_edax,Monostyla_lunaris
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
Mesocyclops_edax,Gastropus_hyptopus
Mesocyclops_edax,Trichocerca_multicrinis
fish_fry,copepod_nauplii
Cyclops_scutifer,Euchlanis_sp.
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Cyclops_scutifer,Keratella_crassa
Cyclops_scutifer,Bosmina_longirostris
Cyclops_scutifer,Monostyla_lunaris
Cyclops_scutifer,Gastropus_hyptopus
Cyclops_scutifer,Trichocerca_multicrinis
Tropocyclops_prasinus,Conochiloides_unicornis
Cyclops_scutifer,Gastropus_stylifer
Cyclops_scutifer,Polyarthra_major
Mesocyclops_edax,Conochiloides_unicornis
Tropocyclops_prasinus,Polyarthra_remata
Mesocyclops_edax,Polyarthra_remata
Cyclops_scutifer,Conochiloides_unicornis
Cyclops_scutifer,Polyarthra_remata
fish_fry,Holopedium_gibberum
fish_fry,Diaphanosoma_birgei
Tropocyclops_prasinus,Keratella_taurocephala
fish_fry,Cyclops_scutifer
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
fish_fry,Daphnia_ambigua
fish_fry,Mesocyclops_edax
fish_fry,Asplanchna_sp.
Cyclops_scutifer,Keratella_taurocephala
fish_fry,Tropocyclops_prasinus
Perca_flavescens,fish_fry
fish_fry,Euchlanis_sp.
fish_fry,Keratella_crassa
fish_fry,Bosmina_longirostris
fish_fry,Monostyla_lunaris
fish_fry,Gastropus_hyptopus
fish_fry,Trichocerca_multicrinis
fish_fry,Gastropus_stylifer
fish_fry,Polyarthra_major
Perca_flavescens,copepod_nauplii
fish_fry,Conochiloides_unicornis
fish_fry,Polyarthra_remata
Perca_flavescens,Holopedium_gibberum
Perca_flavescens,Diaphanosoma_birgei
fish_fry,Keratella_taurocephala
Perca_flavescens,Cyclops_scutifer
Perca_flavescens,Diaptomus_minutus
Perca_flavescens,Daphnia_ambigua
Perca_flavescens,Mesocyclops_edax
Perca_flavescens,Asplanchna_sp.
Perca_flavescens,Tropocyclops_prasinus
Perca_flavescens,Euchlanis_sp.
Perca_flavescens,Keratella_crassa
Perca_flavescens,Bosmina_longirostris
Perca_flavescens,Monostyla_lunaris
Perca_flavescens,Gastropus_hyptopus
Perca_flavescens,Trichocerca_multicrinis
Perca_flavescens,Gastropus_stylifer
Perca_flavescens,Polyarthra_major
Perca_flavescens,Conochiloides_unicornis
Perca_flavescens,Polyarthra_remata
Perca_flavescens,Keratella_taurocephala
Asplanchna_sp.,Euchlanis_sp.
Asplanchna_sp.,Keratella_crassa
Asplanchna_sp.,Monostyla_lunaris
Asplanchna_sp.,Gastropus_hyptopus
Asplanchna_sp.,Trichocerca_multicrinis
Asplanchna_sp.,Gastropus_stylifer
Asplanchna_sp.,Polyarthra_major
Asplanchna_sp.,Conochiloides_unicornis
Asplanchna_sp.,Polyarthra_remata
Asplanchna_sp.,Keratella_taurocephala
Notemigonus_crysoleucas,copepod_nauplii
Notemigonus_crysoleucas,Holopedium_gibberum
Notemigonus_crysoleucas,Diaphanosoma_birgei
Notemigonus_crysoleucas,Cyclops_scutifer
Notemigonus_crysoleucas,Diaptomus_minutus
Notemigonus_crysoleucas,Daphnia_ambigua
Notemigonus_crysoleucas,Mesocyclops_edax
Notemigonus_crysoleucas,Asplanchna_sp.
Notemigonus_crysoleucas,Tropocyclops_prasinus
Notemigonus_crysoleucas,Euchlanis_sp.
Notemigonus_crysoleucas,Keratella_crassa
Notemigonus_crysoleucas,Bosmina_longirostris
Notemigonus_crysoleucas,Monostyla_lunaris
Notemigonus_crysoleucas,Gastropus_hyptopus
Notemigonus_crysoleucas,Trichocerca_multicrinis
Notemigonus_crysoleucas,Gastropus_stylifer
Notemigonus_crysoleucas,Polyarthra_major
Notemigonus_crysoleucas,Conochiloides_unicornis
Notemigonus_crysoleucas,Polyarthra_remata
Notemigonus_crysoleucas,Keratella_taurocephala
