consumer,resource
Lithobius_crassipes,Achipteria_coleoptrata
Lithobius_cf._crassipes_(juv),Achipteria_coleoptrata
Lithobius_sp1_{s},Achipteria_coleoptrata
Lithobius_sp.,Achipteria_coleoptrata
Geophilus_ribauti,Achipteria_coleoptrata
Lithobius_sp2_{l},Achipteria_coleoptrata
Lithobius_crassipes,Amaurobius_sp._(juv)
Lithobius_dentatus,Amaurobius_sp._(juv)
Lithobius_sp.,Amaurobius_sp._(juv)
Geophilus_ribauti,Amaurobius_sp._(juv)
Geophilus_insculptus,Amaurobius_sp._(juv)
Strigamia_acuminata,Amaurobius_sp._(juv)
Amaurobius_sp._(juv),Amaurobius_sp._(juv)
Trogulus_sp._(juv),Amaurobius_sp._(juv)
Geophilomorpha_sp.,Amaurobius_sp._(juv)
Harpactea_lepida_large,Amaurobius_sp._(juv)
Eurocoelotes_inermis,Amaurobius_sp._(juv)
Ceratophysella_denticulata,amoebae
Isotomiella_minor,amoebae
Megalothorax_minimus,amoebae
Parisotoma_notabilis,amoebae
Aporrectodea_caliginosa_(juv)_{xl},amoebae
Aporrectodea_rosea,amoebae
Aporrectodea_rosea_(juv),amoebae
Lumbricus_rubellus_(juv),amoebae
Chamobates_borealis,amoebae
predacious_nematodes,amoebae
omnivorous_nematodes,amoebae
Enchytraeidae,amoebae
Aporrectodea_caliginosa_(juv)_{xxxl},amoebae
Octolasion_tyrtaeum_(juv)_{xxl},amoebae
Limax_cinereoniger,Arion_silvaticus
Limax_cinereoniger,Arionidae_sp.
Lithobius_sp1_{s},Arrhopalites_pygmaeus
Vulgarogamasus_sp._(juv),Arrhopalites_pygmaeus
Epicrius_canestrinii,Arrhopalites_pygmaeus
Holoparasitus_stramenti,Arrhopalites_pygmaeus
Lysigamasus_lapponicus,Arrhopalites_pygmaeus
Pergamasinae_(juv)_{xs},Arrhopalites_pygmaeus
Prozercon_fimbriatus,Arrhopalites_pygmaeus
Uroseius_cylindricus_(juv),Arrhopalites_pygmaeus
Veigaia_exigua,Arrhopalites_pygmaeus
Veigaia_kochi_(juv),Arrhopalites_pygmaeus
Veigaia_nemorensis,Arrhopalites_pygmaeus
Zercon_cf_gurensis,Arrhopalites_pygmaeus
Lithobius_sp2_{l},Arrhopalites_pygmaeus
Lithobius_crassipes,Athous_subfuscus_(juv)_{l}
Lithobius_cf._crassipes_(juv),Athous_subfuscus_(juv)_{l}
Lithobius_dentatus,Athous_subfuscus_(juv)_{l}
Lithobius_sp.,Athous_subfuscus_(juv)_{l}
Geophilus_ribauti,Athous_subfuscus_(juv)_{l}
Geophilus_insculptus,Athous_subfuscus_(juv)_{l}
Strigamia_acuminata,Athous_subfuscus_(juv)_{l}
Staphylinidae_sp._(juv)_{s},Athous_subfuscus_(juv)_{l}
Amaurobius_sp._(juv),Athous_subfuscus_(juv)_{l}
Phalangiidae_sp._(juv),Athous_subfuscus_(juv)_{l}
Robertus_lividus,Athous_subfuscus_(juv)_{l}
Trogulus_sp._(juv),Athous_subfuscus_(juv)_{l}
Athous_subfuscus_(juv)_{l},Athous_subfuscus_(juv)_{l}
Geophilomorpha_sp.,Athous_subfuscus_(juv)_{l}
Harpactea_lepida_(juv)_large,Athous_subfuscus_(juv)_{l}
Harpactea_lepida_large,Athous_subfuscus_(juv)_{l}
Eurocoelotes_inermis,Athous_subfuscus_(juv)_{l}
Lithobius_cf._crassipes_(juv),Atropacarus_striculus
Lithobius_sp1_{s},Atropacarus_striculus
Lithobius_sp2_{l},Atropacarus_striculus
Strigamia_acuminata,Azeca_goodalli
Trogulus_sp._(juv),Azeca_goodalli
Mesaphorura_sp.,bacterivorous_nematodes
Paratullbergia_callipygos,bacterivorous_nematodes
Staphylinidae_sp._(juv)_{s},bacterivorous_nematodes
Vulgarogamasus_sp._(juv),bacterivorous_nematodes
Dinychus_perforatus_(juv),bacterivorous_nematodes
Epicrius_canestrinii,bacterivorous_nematodes
Epicrius_sp._(juv),bacterivorous_nematodes
Geholaspis_mandibularis,bacterivorous_nematodes
Geholaspis_sp._(juv),bacterivorous_nematodes
Holoparasitus_stramenti,bacterivorous_nematodes
Leitneria_granulata_(juv),bacterivorous_nematodes
Lysigamasus_lapponicus,bacterivorous_nematodes
Pachylaelaps_longisetosus,bacterivorous_nematodes
Pergamasinae_(juv)_{xs},bacterivorous_nematodes
Prozercon_fimbriatus,bacterivorous_nematodes
Trachytes_aegrota,bacterivorous_nematodes
Trachytes_pauperior_(juv),bacterivorous_nematodes
Uropoda_cassidea,bacterivorous_nematodes
Uropoda_cassidea_(juv),bacterivorous_nematodes
Uropoda_minima_(juv),bacterivorous_nematodes
Uropodina_sp._(juv),bacterivorous_nematodes
Uroseius_cylindricus_(juv),bacterivorous_nematodes
Veigaia_exigua,bacterivorous_nematodes
Veigaia_kochi_(juv),bacterivorous_nematodes
Veigaia_nemorensis,bacterivorous_nematodes
Zercon_cf_gurensis,bacterivorous_nematodes
Dissorhina_ornata,bacterivorous_nematodes
Hypochthonius_rufulus,bacterivorous_nematodes
Oribatida_sp._(juv),bacterivorous_nematodes
Microppia_minus,bacterivorous_nematodes
Oppiella_falcata,bacterivorous_nematodes
Oppiella_nova,bacterivorous_nematodes
Oppiella_subpectinata,bacterivorous_nematodes
Oppiella_marginedentata,bacterivorous_nematodes
Oppiella_obsoleta,bacterivorous_nematodes
Suctobelba_altvateri,bacterivorous_nematodes
predacious_nematodes,bacterivorous_nematodes
omnivorous_nematodes,bacterivorous_nematodes
