consumer,resource
Calopteryx_splendens,Chironomidae
Calopteryx_splendens,Leuctra_inermis
Calopteryx_splendens,Tanypodinae
Chloroperla_tripunctata,Baetis
Chloroperla_tripunctata,Baetis_muticus
Chloroperla_tripunctata,Baetis_rhodani
Chloroperla_tripunctata,Baetis_scambus
Chloroperla_tripunctata,Baetis_vernus
Chloroperla_tripunctata,Chironomidae
Chloroperla_tripunctata,Chloroperla_tripunctata
Chloroperla_tripunctata,Leuctra_inermis
Chloroperla_tripunctata,Oligochaeta
Chloroperla_tripunctata,Tanypodinae
Diplectrona_felix,Baetis
Diplectrona_felix,Baetis_muticus
Diplectrona_felix,Baetis_rhodani
Diplectrona_felix,Baetis_scambus
Diplectrona_felix,Baetis_vernus
Diplectrona_felix,Chironomidae
Diplectrona_felix,Gammarus_pulex
Diplectrona_felix,Leuctra_inermis
Diplectrona_felix,Limnius_volckmari
Diplectrona_felix,Tanypodinae
Gammarus_pulex,Baetis
Gammarus_pulex,Baetis_muticus
Gammarus_pulex,Baetis_rhodani
Gammarus_pulex,Baetis_scambus
Gammarus_pulex,Baetis_vernus
Gammarus_pulex,Chironomidae
Gammarus_pulex,Leuctra_inermis
Gammarus_pulex,Tanypodinae
Gyrinidae,Chironomidae
Gyrinidae,Oligochaeta
Gyrinidae,Tanypodinae
Hydropsyche_siltalai,Baetis
Hydropsyche_siltalai,Baetis_muticus
Hydropsyche_siltalai,Baetis_rhodani
Hydropsyche_siltalai,Baetis_scambus
Hydropsyche_siltalai,Baetis_vernus
Hydropsyche_siltalai,Chironomidae
Hydropsyche_siltalai,Gammarus_pulex
Hydropsyche_siltalai,Leuctra_inermis
Hydropsyche_siltalai,Limnius_volckmari
Hydropsyche_siltalai,Tanypodinae
Isoperla_grammatica,Baetis
Isoperla_grammatica,Baetis_muticus
Isoperla_grammatica,Baetis_rhodani
Isoperla_grammatica,Baetis_scambus
Isoperla_grammatica,Baetis_vernus
Isoperla_grammatica,Chironomidae
Isoperla_grammatica,Electrogena_lateralis
Isoperla_grammatica,Gammarus_pulex
Isoperla_grammatica,Isoperla_grammatica
Isoperla_grammatica,Leuctra_inermis
Isoperla_grammatica,Siphonoperla_torrentium
Isoperla_grammatica,Tanypodinae
Perla_bipunctata,Baetis
Perla_bipunctata,Baetis_muticus
Perla_bipunctata,Baetis_rhodani
Perla_bipunctata,Baetis_scambus
Perla_bipunctata,Baetis_vernus
Perla_bipunctata,Chironomidae
Perla_bipunctata,Diplectrona_felix
Perla_bipunctata,Electrogena_lateralis
Perla_bipunctata,Gammarus_pulex
Perla_bipunctata,Hydropsyche_siltalai
Perla_bipunctata,Leuctra_inermis
Perla_bipunctata,Perla_bipunctata
Perla_bipunctata,Tanypodinae
Siphonoperla_torrentium,Baetis
Siphonoperla_torrentium,Baetis_muticus
Siphonoperla_torrentium,Baetis_rhodani
Siphonoperla_torrentium,Baetis_scambus
Siphonoperla_torrentium,Baetis_vernus
Siphonoperla_torrentium,Chironomidae
Siphonoperla_torrentium,Chloroperla_tripunctata
Siphonoperla_torrentium,Elmis_aenea
Siphonoperla_torrentium,Isoperla_grammatica
Siphonoperla_torrentium,Leuctra_inermis
Siphonoperla_torrentium,Oligochaeta
Siphonoperla_torrentium,Siphonoperla_torrentium
Siphonoperla_torrentium,Tanypodinae
Tanypodinae,Baetis
Tanypodinae,Baetis_muticus
Tanypodinae,Baetis_rhodani
Tanypodinae,Baetis_scambus
Tanypodinae,Baetis_vernus
Tanypodinae,Chironomidae
Tanypodinae,Chloroperla_tripunctata
Tanypodinae,Elmis_aenea
Tanypodinae,Leuctra_inermis
Tanypodinae,Oligochaeta
Tanypodinae,Siphonoperla_torrentium
Tanypodinae,Tanypodinae
Tanypodinae,Tipulidae
Tipulidae,Chironomidae
Tipulidae,Electrogena_lateralis
Tipulidae,Oligochaeta
Tipulidae,Tanypodinae
Tipulidae,Tipulidae
Salmo_trutta,Ancylus_fluviatilis
Salmo_trutta,Baetis
Salmo_trutta,Baetis_muticus
Salmo_trutta,Baetis_rhodani
Salmo_trutta,Baetis_scambus
Salmo_trutta,Baetis_vernus
Salmo_trutta,Chironomidae
Salmo_trutta,Chloroperla_tripunctata
Salmo_trutta,Diplectrona_felix
Salmo_trutta,Electrogena_lateralis
Salmo_trutta,Elmis_aenea
Salmo_trutta,Gammarus_pulex
Salmo_trutta,Hydropsyche_siltalai
Salmo_trutta,Isoperla_grammatica
Salmo_trutta,Leuctra_inermis
Salmo_trutta,Limnius_volckmari
Salmo_trutta,Oligochaeta
Salmo_trutta,Perla_bipunctata
Salmo_trutta,Protonemura_meyeri
Salmo_trutta,Silo_pallipes
Salmo_trutta,Tanypodinae
Salmo_trutta,Tipulidae
Salmo_trutta,Salmo_trutta
