consumer,resource,NA,NA,NA,NA
Chironomidae,family,larvae,1.10525e-4,streams,2
Leuctra_inermis,species,larvae,2.30615e-4,streams,2
Tanypodinae,family,larvae,7.08741e-4,streams,2
Baetis,genus,larvae,3.73e-5,streams,2
Baetis_muticus,species,larvae,1.43742e-4,streams,2
Baetis_rhodani,species,larvae,4.35956e-4,streams,2
Baetis_scambus,species,larvae,2.57178e-4,streams,2
Baetis_vernus,species,larvae,1.46815e-4,streams,2
Chloroperla_tripunctata,species,larvae,7.32336e-4,streams,2
Oligochaeta,class,adults,2.45415e-4,streams,2
Gammarus_pulex,species,adults,0.001120264,streams,2
Limnius_volckmari,species,larvae,3.36527e-4,streams,2
Electrogena_lateralis,species,larvae,4.54421e-4,streams,2
Isoperla_grammatica,species,larvae,3.75824e-4,streams,2
Siphonoperla_torrentium,species,larvae,3.91709e-4,streams,2
Diplectrona_felix,species,larvae,0.001587945,streams,2
Hydropsyche_siltalai,species,larvae,0.00168697,streams,2
Perla_bipunctata,species,larvae,0.005433,streams,2
Elmis_aenea,species,larvae,3.63798e-4,streams,2
Tipulidae,family,larvae,4.928e-4,streams,2
Ancylus_fluviatilis,species,adults,0.00556779,streams,2
Gammarus_pulex,species,adults,0.001120264,streams,3
Protonemura_meyeri,species,larvae,2.10789e-4,streams,2
Silo_pallipes,species,larvae,1.98415e-4,streams,2
Salmo_trutta,species,adults,3.370160368,streams,3
Calopteryx_splendens,species,larvae,3.83e-4,streams,2
Chloroperla_tripunctata,species,larvae,7.32336e-4,streams,2
Diplectrona_felix,species,larvae,0.001587945,streams,2
Gammarus_pulex,species,adults,0.001120264,streams,2
Gyrinidae,family,adults,8.06916e-4,streams,2
Gyrinidae,family,larvae,8.06916e-4,streams,2
Hydropsyche_siltalai,species,larvae,0.00168697,streams,2
Isoperla_grammatica,species,larvae,3.75824e-4,streams,2
Perla_bipunctata,species,larvae,0.005433,streams,2
Siphonoperla_torrentium,species,larvae,3.91709e-4,streams,2
Tanypodinae,family,larvae,7.08741e-4,streams,2
Tipulidae,family,larvae,4.928e-4,streams,2
Salmo_trutta,species,adults,3.370160368,streams,2
Salmo_trutta,species,adults,3.370160368,streams,3
