consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Synchaeta_sp.,genus,NA,1.37e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Diaptomus_sicilis,species,NA,5.79e-6,lakes,3
Keratella_crassa,species,NA,1.89e-6,lakes,3
Conochiloides_dossuarius,species,NA,1.83e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Trichocerca_multicrinis,species,NA,1.23e-6,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Diaphanosoma_birgei,species,NA,4.01e-5,lakes,3
Keratella_cochlearis,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Semotilus_atromaculatus,species,NA,80,lakes,3
Notemigonus_crysoleucas,species,NA,7,lakes,3
