consumer,resource
fish_fry,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Eucyclops_agilis,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Tropocyclops_prasinus,Colletheca_mutabilis
Eucyclops_agilis,Colletheca_mutabilis
Mesocyclops_edax,Colletheca_mutabilis
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Synchaeta_sp.
Tropocyclops_prasinus,Eucyclops_agilis
Tropocyclops_prasinus,Mesocyclops_edax
Eucyclops_agilis,Diaptomus_minutus
Mesocyclops_edax,Diaptomus_minutus
Eucyclops_agilis,Synchaeta_sp.
Mesocyclops_edax,Synchaeta_sp.
Eucyclops_agilis,Eucyclops_agilis
Mesocyclops_edax,Eucyclops_agilis
Eucyclops_agilis,Mesocyclops_edax
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Salvelinus_fontinalis,Salvelinus_fontinalis
Eucyclops_agilis,Tropocyclops_prasinus
Mesocyclops_edax,Tropocyclops_prasinus
Tropocyclops_prasinus,Bosmina_longirostris
Tropocyclops_prasinus,Monostyla_lunaris
Eucyclops_agilis,Bosmina_longirostris
Mesocyclops_edax,Bosmina_longirostris
Eucyclops_agilis,Monostyla_lunaris
Mesocyclops_edax,Monostyla_lunaris
fish_fry,copepod_nauplii
fish_fry,Holopedium_gibberum
Tropocyclops_prasinus,Kelicottia_bostoniensis
Tropocyclops_prasinus,Kelicottia_longispina
fish_fry,Diaphanosoma_birgei
fish_fry,Colletheca_mutabilis
Eucyclops_agilis,Kelicottia_bostoniensis
Mesocyclops_edax,Kelicottia_bostoniensis
Eucyclops_agilis,Kelicottia_longispina
Mesocyclops_edax,Kelicottia_longispina
Tropocyclops_prasinus,Keratella_taurocephala
Eucyclops_agilis,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
fish_fry,Synchaeta_sp.
fish_fry,Daphnia_catawba
fish_fry,Eucyclops_agilis
fish_fry,Mesocyclops_edax
fish_fry,Tropocyclops_prasinus
fish_fry,Bosmina_longirostris
fish_fry,Monostyla_lunaris
Salvelinus_fontinalis,fish_fry
fish_fry,Kelicottia_bostoniensis
fish_fry,Kelicottia_longispina
fish_fry,Keratella_taurocephala
