consumer,resource
Clinocera_stagnalis,Cricotopus_sp._B
Clinocera_stagnalis,Diamesa_bertrami
Clinocera_stagnalis,Diamesa_zernyi
Clinocera_stagnalis,Eukiefferiella_minor
Clinocera_stagnalis,Metriocnemus_sp._A
Clinocera_stagnalis,Metriocnemus_sp._B
Clinocera_stagnalis,Micropsectra_atrofasciata
Clinocera_stagnalis,Prosimulium_ursinum
Clinocera_stagnalis,Rheocricotopus_effesus
Clinocera_stagnalis,Simulium_aureum
Clinocera_stagnalis,Simulium_vittatum
Clinocera_stagnalis,Thienemanniella_spp.
Dicranota_exclusa,Cricotopus_sp._B
Dicranota_exclusa,Diamesa_bertrami
Dicranota_exclusa,Diamesa_zernyi
Dicranota_exclusa,Eukiefferiella_minor
Dicranota_exclusa,Metriocnemus_sp._A
Dicranota_exclusa,Metriocnemus_sp._B
Dicranota_exclusa,Micropsectra_atrofasciata
Dicranota_exclusa,Oligochaeta_indet.
Dicranota_exclusa,Rheocricotopus_effesus
Dicranota_exclusa,Thienemanniella_spp.
Potamophylax_cingulatus,Cricotopus_sp._B
Potamophylax_cingulatus,Diamesa_bertrami
Potamophylax_cingulatus,Diamesa_zernyi
Potamophylax_cingulatus,Eukiefferiella_minor
Potamophylax_cingulatus,Micropsectra_atrofasciata
Potamophylax_cingulatus,Prosimulium_ursinum
Potamophylax_cingulatus,Rheocricotopus_effesus
Potamophylax_cingulatus,Simulium_aureum
Potamophylax_cingulatus,Simulium_vittatum
Potamophylax_cingulatus,Thienemanniella_spp.
Sperchon_glandulosus,Cricotopus_sp._B
Sperchon_glandulosus,Diamesa_bertrami
Sperchon_glandulosus,Diamesa_zernyi
Sperchon_glandulosus,Eukiefferiella_minor
Sperchon_glandulosus,Metriocnemus_sp._A
Sperchon_glandulosus,Metriocnemus_sp._B
Sperchon_glandulosus,Micropsectra_atrofasciata
Sperchon_glandulosus,Rheocricotopus_effesus
Sperchon_glandulosus,Thienemanniella_spp.
