consumer,resource
Limnophora_riparia,Cricotopus_sp._A
Limnophora_riparia,Diamesa_zernyi
Limnophora_riparia,Eukiefferiella_claripennis
Limnophora_riparia,Eukiefferiella_minor
Limnophora_riparia,Micropsectra_atrofasciata
Limnophora_riparia,Oligochaeta_indet.
Limnophora_riparia,Simulium_vittatum
Salmo_trutta,Cricotopus_sp._A
Salmo_trutta,Diamesa_zernyi
Salmo_trutta,Eukiefferiella_claripennis
Salmo_trutta,Eukiefferiella_minor
Salmo_trutta,Limnophora_riparia
Salmo_trutta,Micropsectra_atrofasciata
Salmo_trutta,Oligochaeta_indet.
Salmo_trutta,Radix_balthica
Salmo_trutta,Simulium_vittatum
