consumer,resource,NA,NA,NA,NA
Cricotopus_sp._A,genus,larvae,3.87e-5,streams,2
Eukiefferiella_minor,species,larvae,3.83e-5,streams,2
Hebridae_indet.,family,adults,0.001816137,streams,3
Micropsectra_atrofasciata,species,larvae,2.37e-5,streams,2
Naucoridae_indet.,family,adults,0.001703762,streams,3
Orthocladius_spp.,genus,larvae,5.03e-5,streams,2
Radix_balthica,species,adults,4.1397e-4,streams,2
Simulium_aureum,species,larvae,2.299e-4,streams,2
Simulium_vittatum,species,larvae,2.89858e-4,streams,2
Oligochaeta_indet.,class,adults,1.69e-5,streams,2
Naucoridae_indet.,family,adults,0.001703762,streams,2
Naucoridae_indet.,family,adults,0.001703762,streams,3
Phaoniinae_indet.,family,larvae,2.0123e-4,streams,2
Salmo_trutta,species,adults,6.67657988,streams,2
Salmo_trutta,species,adults,6.67657988,streams,3
