consumer,resource
Aglaophamus_malmgreni,Lumbrineris
Aglaophamus_malmgreni,Nereis_zonata
Aglaophamus_malmgreni,Sipunculida
Aglaophamus_malmgreni,Nephtys_ciliata
Aglaophamus_malmgreni,Nereimyra_punctata
Aglaophamus_malmgreni,Priapulus_caudatus
Aglaophamus_malmgreni,Phyllodoce
Aglaophamus_malmgreni,Leitoscoloplos_mammosus
Aglaophamus_malmgreni,Heteromastus_filiformis
Aglaophamus_malmgreni,Levinsenia_gracilis
Aglaophamus_malmgreni,Aglaophamus_malmgreni
Aglaophamus_malmgreni,Lysippe_labiata
Aglaophamus_malmgreni,Pholoe_assimilis
Aglaophamus_malmgreni,Philine
Aglaophamus_malmgreni,Ampharete_finmarchica
Alle_alle,Boreogadus_saida
Alle_alle,Thysanoessa_inermis
Alle_alle,Meganyctiphanes_norvegica
Alle_alle,Thysanoessa_raschii
Alle_alle,Thysanoessa_longicaudata
Anarhichas_lupus,Gadus_morhua
Anarhichas_lupus,Reinhardtius_hippoglossoides
Anarhichas_lupus,Hipoglossoides_platessoides
Anarhichas_lupus,Lycodes
Anarhichas_lupus,Sebastes_mentella
Anarhichas_lupus,Boreogadus_saida
Anarhichas_lupus,Lumpenus_lampretaeformis
Anarhichas_lupus,Liparis_liparis
Anarhichas_lupus,Leptagonus_decagonus
Anarhichas_lupus,Anisarchus_medius
Anarhichas_lupus,Hyas_araneus
Anarhichas_lupus,Nereis_zonata
Anarhichas_lupus,Pandalus_borealis
Anarhichas_lupus,Pagurus_pubescens
Anarhichas_lupus,Nephtys_ciliata
Anarhichas_lupus,Nereimyra_punctata
Anisarchus_medius,Sebastes_marinus
Anisarchus_medius,Artediellus_europeus
Anisarchus_medius,Lumpenus_lampretaeformis
Anisarchus_medius,Liparis_liparis
Anisarchus_medius,Liparis_fabricii
Anisarchus_medius,Leptagonus_decagonus
Anisarchus_medius,Anisarchus_medius
Anisarchus_medius,Careproctus_reinhardti
Anisarchus_medius,Eumicotremus_derjugini
Anisarchus_medius,Mallotus_villosus
Anisarchus_medius,Leptoclinus_maculatus
Anisarchus_medius,Strongylocentrotus_droebachiensis
Anisarchus_medius,Hyas_araneus
Anisarchus_medius,Strongylocentrotus_pallidus
Anisarchus_medius,Crossaster_papposus
Anisarchus_medius,Buccinum_scalariforme
Anisarchus_medius,Ophiura_robusta
Anisarchus_medius,Buccinum_terranovae
Anisarchus_medius,Ophiopholis_aculeata
Anisarchus_medius,Henricia
Anisarchus_medius,Ophiocten_sericeum
Anisarchus_medius,Buccinum_undatum
Artediellus_europeus,Thysanoessa_inermis
Artediellus_europeus,Meganyctiphanes_norvegica
Artediellus_europeus,Thysanoessa_raschii
Artediellus_europeus,Thysanoessa_longicaudata
Balaenoptera_acutorostrata,Reinhardtius_hippoglossoides
Balaenoptera_acutorostrata,Sebastes_mentella
Balaenoptera_acutorostrata,Boreogadus_saida
Balaenoptera_acutorostrata,Thysanoessa_inermis
Balaenoptera_acutorostrata,Meganyctiphanes_norvegica
Balaenoptera_acutorostrata,Thysanoessa_raschii
Balaenoptera_acutorostrata,Thysanoessa_longicaudata
Beroe_cucumis,Onacea_borealis
Beroe_cucumis,Metridia_longa
Beroe_cucumis,Calanus_finnmarchicus
Beroe_cucumis,Bradyidius_similis
Beroe_cucumis,Microcalanus_pusillus
Beroe_cucumis,Copepoda_nauplii
Boreogadus_saida,Reinhardtius_hippoglossoides
Boreogadus_saida,Sebastes_mentella
Boreogadus_saida,Boreogadus_saida
Boreogadus_saida,Pseudocalanus
Boreogadus_saida,Thysanoessa_inermis
Boreogadus_saida,Meganyctiphanes_norvegica
Boreogadus_saida,Thysanoessa_raschii
Boreogadus_saida,Clione_limacina
Boreogadus_saida,Onacea_borealis
Boreogadus_saida,Thysanoessa_longicaudata
Boreogadus_saida,Calanus_glacialis
Boreogadus_saida,Calanus_hyperboreus
Boreogadus_saida,Metridia_lucens
Boreogadus_saida,Metridia_longa
Boreogadus_saida,Oithona_similis
Boreogadus_saida,Calanus_finnmarchicus
Boreogadus_saida,Bradyidius_similis
Boreogadus_saida,Limacina_helicina
Boreogadus_saida,Microcalanus_pusillus
Boreogadus_saida,Gaidius_tenuispinus
Boreogadus_saida,Xanthocalanus
Boreogadus_saida,Copepoda_nauplii
Buccinum_scalariforme,Urticina_eques
Buccinum_scalariforme,Hormathia_nodosa
Buccinum_terranovae,Urticina_eques
Buccinum_terranovae,Hormathia_nodosa
Calanus_finnmarchicus,Pseudocalanus
Calanus_finnmarchicus,Clione_limacina
Calanus_finnmarchicus,Onacea_borealis
Calanus_finnmarchicus,Calanus_glacialis
Calanus_finnmarchicus,Calanus_hyperboreus
Calanus_finnmarchicus,Metridia_lucens
Calanus_finnmarchicus,Metridia_longa
Calanus_finnmarchicus,Oithona_similis
Calanus_finnmarchicus,Bradyidius_similis
Calanus_finnmarchicus,Limacina_helicina
Calanus_finnmarchicus,Microcalanus_pusillus
Calanus_finnmarchicus,Gaidius_tenuispinus
Calanus_finnmarchicus,Xanthocalanus
Calanus_finnmarchicus,Copepoda_nauplii
Calanus_finnmarchicus,Fritillaria
Calanus_hyperboreus,Calanus_glacialis
Calidris_maritima,Reinhardtius_hippoglossoides
Calidris_maritima,Sebastes_mentella
Calidris_maritima,Boreogadus_saida
Careproctus_reinhardti,Thysanoessa_raschii
Careproctus_reinhardti,Thysanoessa_longicaudata
Cepphus_grylle,Boreogadus_saida
Crossaster_papposus,Lumbrineris
Crossaster_papposus,Strongylocentrotus_droebachiensis
Crossaster_papposus,Strongylocentrotus_pallidus
Crossaster_papposus,Crossaster_papposus
Crossaster_papposus,Nereis_zonata
Crossaster_papposus,Ophiura_robusta
Crossaster_papposus,Harmothoe_imbricata
Crossaster_papposus,Tonicella_marmorea
Crossaster_papposus,Ophiopholis_aculeata
Crossaster_papposus,Gattyana_cirrhosa
Crossaster_papposus,Chaetoderma
Crossaster_papposus,Henricia
Crossaster_papposus,Sipunculida
Crossaster_papposus,Tonicella_rubra
Crossaster_papposus,Chaetozone
Crossaster_papposus,Cossura_longocirrata
Crossaster_papposus,Nephtys_ciliata
Crossaster_papposus,Nereimyra_punctata
Crossaster_papposus,Thelepus_cincinnatus
Crossaster_papposus,Ophiocten_sericeum
Crossaster_papposus,Priapulus_caudatus
Crossaster_papposus,Boreacola_maltzani
Crossaster_papposus,Terebellides_stroemi
Crossaster_papposus,Halicryptus_spinulosus
