consumer,resource,NA,NA,NA,NA
Balanus_sp.,genus,NA,0.01,marine,2
Insecta,class,NA,0.0017,marine,3
Zooplankton,NA,NA,0.001,marine,3
Lipophrys_pholis,species,NA,0.56,marine,3
Porifera,NA,NA,0.01,marine,2
Aulactinia_verrucosa,species,NA,0.5,marine,2
Coryphoblennius_galerita,species,NA,0.6,marine,3
Nemertea,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.01,marine,2
Oligochaeta,NA,NA,0.01,marine,2
Acanthochitona_crinita,species,NA,0.18,marine,2
Lepidochitona_cinerea,species,NA,0.15,marine,2
Gibbula_umbilicalis,species,NA,0.37,marine,2
Rissoidae,family,NA,0.002,marine,2
Nucella_sp.,genus,NA,0.01,marine,2
Nassariidae,family,NA,0.31,marine,2
Turridae,family,NA,0.01,marine,2
Tricolia_pullus,species,NA,0.0089,marine,2
Aplysia_punctata,species,NA,2.36,marine,2
Musculus_costulatus,species,NA,0.005,marine,2
Mytilus_galloprovincialis,species,NA,0.54,marine,2
Cardiidae,family,NA,2e-4,marine,2
Turtonia_minuta,species,NA,0.0011,marine,3
Lipophrys_trigloides,species,NA,1.5,marine,2
Tanaidacea,NA,NA,0.01,marine,3
Jaera_sp.,genus,NA,0.01,marine,3
Sphaeromatidae,family,NA,0.01,marine,2
Stenothoidae,family,NA,0.01,marine,3
Calliopidae,family,NA,0.01,marine,3
Leucothoidae,family,NA,0.01,marine,3
Palaemon_longirostris,species,NA,0.24,marine,3
Palaemon_elegans,species,NA,0.13,marine,3
Xantho_pilipes,species,NA,0.01,marine,2
Pirimela_denticulata,species,NA,0.32,marine,2
Carcinus_maenas,species,NA,0.01,marine,2
Necora_puber,species,NA,0.01,marine,2
Chthamalus_sp.,genus,NA,0.01,marine,2
Ectoprocta,NA,NA,0.01,marine,3
Anemonia_sulcata,species,NA,3.9,marine,3
Asterina_gibbosa,species,NA,0.6,marine,2
Actinia_equina,species,NA,1.57,marine,2
