consumer,resource
Insecta,Insecta
Insecta,Zooplankton
Idoteidae,Zooplankton
Zooplankton,Zooplankton
Anemonia_sulcata,Zooplankton
Caprella_sp.,Zooplankton
Nematoda,Zooplankton
Polychaeta,Zooplankton
Oligochaeta,Zooplankton
Mytilus_galloprovincialis,Zooplankton
Ischyroceridae,Zooplankton
Copepoda,Zooplankton
Lipophrys_pholis,Lipophrys_pholis
Lipophrys_pholis,Coryphoblennius_galerita
Coryphoblennius_galerita,Coryphoblennius_galerita
Coryphoblennius_galerita,Anemonia_sulcata
Nemertea,Nemertea
Anemonia_sulcata,Nematoda
Actinia_equina,Nematoda
Nematoda,Nematoda
Anemonia_sulcata,Polychaeta
Actinia_equina,Polychaeta
Nemertea,Polychaeta
Caprella_sp.,Polychaeta
Polychaeta,Polychaeta
Lipophrys_pholis,Polychaeta
Coryphoblennius_galerita,Polychaeta
Lophozozymus_incisus,Polychaeta
Ampithoidae,Polychaeta
Nematoda,Oligochaeta
Oligochaeta,Oligochaeta
Lipophrys_pholis,Acanthochitona_crinita
Coryphoblennius_galerita,Acanthochitona_crinita
Lipophrys_pholis,Paracentrotus_lividus
Lipophrys_pholis,Patella_ulyssiponensis
Coryphoblennius_galerita,Patella_ulyssiponensis
Actinia_equina,Patella_ulyssiponensis
Nucella_sp.,Patella_ulyssiponensis
Lipophrys_pholis,Gibbula_umbilicalis
Lophozozymus_incisus,Gibbula_umbilicalis
Actinia_equina,Gibbula_umbilicalis
Anemonia_sulcata,Rissoidae
Lipophrys_pholis,Nucella_sp.
Nucella_sp.,Nucella_sp.
Anemonia_sulcata,Omalogyra_atomus
Anemonia_sulcata,Barleeia_sp.
Lipophrys_pholis,Mytilus_galloprovincialis
Actinia_equina,Mytilus_galloprovincialis
Nucella_sp.,Mytilus_galloprovincialis
Lipophrys_pholis,Idoteidae
Coryphoblennius_galerita,Idoteidae
Anemonia_sulcata,Idoteidae
Actinia_equina,Idoteidae
Anemonia_sulcata,Ampithoidae
Anemonia_sulcata,Gammaridae
Lipophrys_pholis,Stenothoidae
Coryphoblennius_galerita,Stenothoidae
Anemonia_sulcata,Stenothoidae
Actinia_equina,Stenothoidae
Lipophrys_pholis,Caprella_sp.
Coryphoblennius_galerita,Caprella_sp.
Anemonia_sulcata,Caprella_sp.
Actinia_equina,Caprella_sp.
Coryphoblennius_galerita,Ischyroceridae
Anemonia_sulcata,Ischyroceridae
Idoteidae,Copepoda
Caprella_sp.,Copepoda
Anemonia_sulcata,Copepoda
Ischyroceridae,Copepoda
