consumer,resource
Nkunga,Utaka
Nkunga,Chisawasawa
Nkunga,Mbuna
Nkunga,Usipa
Nkunga,Nkhono
Kampango,Utaka
Kampango,Ndunduma
Kampango,Kambuzi
Kampango,Chambo
Kampango,Chilunguni
Kampango,Mbuna
Kampango,Mcheni
Kampango,Usipa
Matemba,Utaka
Matemba,Ndunduma
Matemba,Kambuzi
Matemba,Chisawasawa
Matemba,Chambo
Matemba,Chilunguni
Matemba,Mbuna
Matemba,Usipa
Matemba,Usipa_larvae
Matemba,Chaoborus_edulis
Matemba,Nkhono
Matemba,Zooplankton
Utaka,Usipa_larvae
Utaka,Chaoborus_edulis
Utaka,Nkhono
Utaka,Zooplankton
Ndunduma,Usipa_larvae
Ndunduma,Chaoborus_edulis
Ndunduma,Zooplankton
Kambuzi,Nkhono
Kambuzi,Zooplankton
Chisawasawa,Chaoborus_edulis
Chisawasawa,Nkhono
Chisawasawa,Zooplankton
Chambo,Zooplankton
Chilunguni,Zooplankton
Mbuna,Usipa_larvae
Mbuna,Chaoborus_edulis
Mbuna,Nkhono
Mbuna,Zooplankton
Mcheni,Ndunduma
Mcheni,Usipa
Mcheni,Usipa_larvae
Mcheni,Chaoborus_edulis
Mcheni,Zooplankton
Bombe,Utaka
Bombe,Ndunduma
Bombe,Chisawasawa
Bombe,Mbuna
Bombe,Bombe
Bombe,Mlamba
Bombe,Usipa_larvae
Bombe,Zooplankton
Mlamba,Utaka
Mlamba,Ndunduma
Mlamba,Kambuzi
Mlamba,Chisawasawa
Mlamba,Chambo
Mlamba,Chilunguni
Mlamba,Mbuna
Mlamba,Mlamba
Mlamba,Chaoborus_edulis
Mlamba,Nkhono
Mlamba,Zooplankton
Usipa,Chaoborus_edulis
Usipa,Zooplankton
Usipa_larvae,Zooplankton
Sanjika,Usipa
Sanjika,Usipa_larvae
Sanjika,Chaoborus_edulis
Sanjika,Zooplankton
Mpasa,Usipa
Mpasa,Usipa_larvae
Mpasa,Chaoborus_edulis
Mpasa,Zooplankton
Nchila,Nkhono
Nchila,Zooplankton
Nkholokolo,Chaoborus_edulis
Nkholokolo,Nkhono
Nkholokolo,Zooplankton
Samwamowa,Utaka
Samwamowa,Ndunduma
Samwamowa,Kambuzi
Samwamowa,Chisawasawa
Samwamowa,Mbuna
Samwamowa,Usipa
Samwamowa,Samwamowa
Samwamowa,Chaoborus_edulis
Samwamowa,Nkhono
Samwamowa,Zooplankton
Chaoborus_edulis,Zooplankton
Phalacrocorax_spec,Nkunga
Phalacrocorax_spec,Matemba
Phalacrocorax_spec,Ndunduma
Phalacrocorax_spec,Mbuna
Phalacrocorax_spec,Bombe
Phalacrocorax_spec,Nkholokolo
Phalacrocorax_spec,Samwamowa
Phalacrocorax_spec,Nkhono
Crocodylus_africanus,Nkunga
Crocodylus_africanus,Matemba
Crocodylus_africanus,Ndunduma
Crocodylus_africanus,Mbuna
Crocodylus_africanus,Bombe
Crocodylus_africanus,Nkholokolo
Crocodylus_africanus,Samwamowa
Crocodylus_africanus,Nkhono
Crocodylus_africanus,Crocodylus_africanus
