consumer,resource
Archichauliodes_diversus,Terrestial_invertebrates
Costachorema_xanthoptera,Terrestial_invertebrates
Costachorema_xanthoptera,Austrosimulium_australense
Costachorema_xanthoptera,Maoridiamesea
Costachorema_xanthoptera,Eukiefidrella
Costachorema_xanthoptera,Pirara
Costachorema_xanthoptera,Naonella
Costachorema_xanthoptera,Deleatidium_spp.
Hydrobiosis_parumbripennis,Terrestial_invertebrates
Hydrobiosis_parumbripennis,Austrosimulium_australense
Hydrobiosis_parumbripennis,Cricotopus_II
Hydrobiosis_parumbripennis,Eukiefidrella
Hydrobiosis_parumbripennis,Pirara
Hydrobiosis_parumbripennis,Naonella
Hydrobiosis_parumbripennis,Tanypodini
Hydrobiosis_parumbripennis,Coloburiscus_humeralis
Hydrobiosis_parumbripennis,Deleatidium_spp.
Hydrobiosis_parumbripennis,Hudsonema_amabilis
Hydrobiosis_parumbripennis,Oxyethira_albiceps
Hydrobiosis_parumbripennis,Polyplectropus_puerilis
Hydrobiosis_silvicola/clavigera,Deleatidium_spp.
Oligochaeta_type_i,Pirara
Polyplectropus_puerilis,Oxyethira_albiceps
Psilochorema_bidens,Oxyethira_albiceps
Stenoperla_prasinia,Terrestial_invertebrates
Stenoperla_prasinia,Austrosimulium_australense
Stenoperla_prasinia,Cricotopus_II
Stenoperla_prasinia,Eukiefidrella
Stenoperla_prasinia,Pirara
Stenoperla_prasinia,Naonella
Stenoperla_prasinia,Tanypodini
Stenoperla_prasinia,Coloburiscus_humeralis
Stenoperla_prasinia,Deleatidium_spp.
Stenoperla_prasinia,Hudsonema_amabilis
Stenoperla_prasinia,Oxyethira_albiceps
Stenoperla_prasinia,Polyplectropus_puerilis
Anguila_diffenbachii,Austrosimulium_australense
Anguila_diffenbachii,Cricotopus_II
Anguila_diffenbachii,Eukiefidrella
Anguila_diffenbachii,Pirara
Anguila_diffenbachii,Deleatidium_spp.
Anguila_diffenbachii,Ephydrella_sp.
Anguila_diffenbachii,Hydora_nitida_adult
Anguila_diffenbachii,Hydrobiosis_parumbripennis
Anguila_diffenbachii,Olinga_feredayii
Anguila_diffenbachii,Oxyethira_albiceps
Anguila_diffenbachii,Psilachorema_bidens
Galaxias_sp.,Terrestial_invertebrates
Galaxias_sp.,Aoteapsyche_spp.
Galaxias_sp.,Austrosimulium_australense
Galaxias_sp.,Cricotopus_II
Galaxias_sp.,Eukiefidrella
Galaxias_sp.,Naonella
Galaxias_sp.,Tanypodini
Galaxias_sp.,Deleatidium_spp.
Galaxias_sp.,Hydrobiosis_parumbripennis
Galaxias_sp.,Oxyethira_albiceps
Salmo_trutta,Terrestial_invertebrates
Salmo_trutta,Aoteapsyche_spp.
Salmo_trutta,Aphrophila_noevaezelandiae
Salmo_trutta,Archicauliodes_diversus
Salmo_trutta,Austrosimulium_australense
Salmo_trutta,Cricotopus_II
Salmo_trutta,Maoridiamesea
Salmo_trutta,Naonella
Salmo_trutta,Tanypodini
Salmo_trutta,Hydora_nitida_adult
Salmo_trutta,Hydora_nitida_larva
Salmo_trutta,Hydrobiosella_sp.
Salmo_trutta,Hydrobiosis_parumbripennis
Salmo_trutta,Olinga_feredayii
Salmo_trutta,Oxyethira_albiceps
Salmo_trutta,Potamopyrgus_antipodarum
Salmo_trutta,Psilachorema_bidens
Salmo_trutta,Stenoperla_prasinia
