consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Colletheca_mutabilis,species,NA,3.21e-5,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Synchaeta_sp.,genus,NA,1.37e-5,lakes,3
Cyclops_bicuspidatus,species,NA,5.06e-6,lakes,3
Alona_rectangula,species,NA,4.42e-6,lakes,3
Chydorus_sphaericus,species,NA,2.18e-6,lakes,3
Euchlanis_sp.,genus,NA,2.18e-6,lakes,3
Euchlanis_calpidia,species,NA,2e-6,lakes,3
Keratella_crassa,species,NA,1.89e-6,lakes,3
Conochiloides_dossuarius,species,NA,1.83e-6,lakes,3
Bosmina_longirostris,species,NA,1.55e-6,lakes,3
Monostyla_lunaris,species,NA,1.37e-6,lakes,3
Trichocerca_multicrinis,species,NA,1.23e-6,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Trichocerca_pusilla,species,NA,7.46e-7,lakes,3
Polyarthra_vulgaris,species,NA,5.09e-7,lakes,3
Ascomorpha_ecaudis,species,NA,3.18e-7,lakes,3
Conochiloides_unicornis,species,NA,3.18e-7,lakes,3
Eucentrum_sp.,NA,NA,3.18e-7,lakes,3
Lepadella_cristata,species,NA,7.43e-8,lakes,3
Kelicottia_bostoniensis,species,NA,2e-8,lakes,3
Keratella_cochlearis,species,NA,1e-8,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
Asplanchna_sp.,genus,NA,7.35e-6,lakes,3
Lepomis_gibbosus,species,NA,25,lakes,3
Notemigonus_crysoleucas,species,NA,10,lakes,3
