consumer,resource,NA,NA,NA,NA
Apsectrotanypus_trifascipennis,species,NA,0.001134434,streams,2
Baetis_rhodani,species,NA,2.7139e-4,streams,2
Baetis_scambus,species,NA,1.49142e-4,streams,2
Baetis_vernus,species,NA,3.29396e-4,streams,2
Brillia_longifurca,species,NA,3.97291e-4,streams,2
Brillia_modesta,species,NA,2.76125e-4,streams,2
Chaetocladius_piger,species,NA,1.7243e-4,streams,2
Corynoneura,NA,NA,6.98e-6,streams,2
Cricotopus,genus,NA,9.89e-5,streams,2
Cricotopus_bicinctus,species,NA,1.29092e-4,streams,2
Elmis_aenea,species,NA,1.6697e-4,streams,2
Epoicocladius_flavens,species,NA,9.71e-5,streams,2
Eukiefferiella_claripennis,species,NA,9.3e-5,streams,2
Gammarus_pulex,species,NA,0.004890172,streams,3
Heterotrissocladius_marcidus,species,NA,2.26682e-4,streams,2
Microtendipes_pedellus,species,NA,5.65952e-4,streams,2
Nanocladius_rectinervis,species,NA,1.15701e-4,streams,2
Oligochaeta,NA,NA,0.001613797,streams,NA
Parametriocnemus_stylatus,species,NA,1.04589e-4,streams,2
Polypedilum_convictum,species,NA,1.18642e-4,streams,2
Polypedilum_nubeculosum,species,NA,5.16e-5,streams,2
Polypedilum_pedestre,species,NA,4.17515e-4,streams,2
Prodiamesa_olivacea,species,NA,0.001700319,streams,2
Pseudorthocladius,species,NA,3.38411e-4,streams,2
Pseudosmittia,NA,NA,1.9678e-4,streams,2
Rheocricotopus_chalybeatus,species,NA,1.15352e-4,streams,2
Simulium_equinum,species,NA,1.67515e-4,streams,2
Simulium_intermedium,species,NA,4.72497e-4,streams,2
Synorthocladius_semivirens,species,NA,1.44423e-4,streams,2
Tanytarsini,NA,NA,9.86e-5,streams,2
Thienemanniella,NA,NA,3.28e-5,streams,2
Thienemannimyia,NA,NA,5.28527e-4,streams,2
Tvetenia,genus,NA,1.52897e-4,streams,2
Asellus_aquaticus,species,NA,0.007152198,streams,2
Clinocera,NA,NA,3.44584e-4,streams,2
Cottus_gobio,species,NA,2.237172915,streams,3
Ephemera_danica,species,NA,0.003194018,streams,2
Hydracarina,NA,NA,3.20421e-4,streams,2
Hydropsyche_pellucidula,species,NA,0.006422471,streams,2
Hydropsyche_siltalai,species,NA,0.005897064,streams,2
Potamopyrgus_antipodarum,species,NA,0.007630592,streams,2
Serratella_ignita,species,NA,4.69034e-4,streams,2
Ancylus_fluviatilis,species,NA,0.020020872,streams,2
Caenis_rivulorum,species,NA,5.38682e-4,streams,2
Ithytrichia,genus,NA,9.46e-5,streams,2
Limnius_volckmari,species,NA,1.67701e-4,streams,2
Lype_reducta,species,NA,0.001283319,streams,2
Oulimnius_tuberculatus,species,NA,3.7967e-4,streams,2
Pisidium,genus,NA,8.89912e-4,streams,2
Rhyacophila_dorsalis,species,NA,0.001887711,streams,2
Athripsodes,NA,NA,5.75266e-4,streams,2
Antocha,NA,NA,6.31705e-4,streams,2
Gobio_gobio,species,NA,20.39882147,streams,3
Hydroptila,NA,NA,5.17e-5,streams,2
Phoxinus_phoxinus,species,NA,1.80544639,streams,3
Salmo_trutta,species,NA,130.5166771,streams,3
Squalius_cephalus,species,NA,29.4334539,streams,3
Acroloxus_lacustris,species,NA,0.010600875,streams,2
Goera_pilosa,species,NA,0.021391212,streams,2
Lampetra_planeri,species,NA,4.983824859,streams,3
Limnephilus_lunatus,species,NA,6.70151e-4,streams,2
Barbatula_barbatula,species,NA,9.600696635,streams,2
Calopteryx_splendens,species,NA,0.004028394,streams,2
Calopteryx_virgo,species,NA,0.003440514,streams,2
Dendrocoelum_lacteum,species,NA,0.002000797,streams,2
Heremodromia,NA,NA,3.63193e-4,streams,2
