consumer,resource
fish_fry,fish_eggs
Tropocyclops_prasinus,copepod_nauplii
Mesocyclops_edax,copepod_nauplii
Tropocyclops_prasinus,Diaptomus_minutus
Tropocyclops_prasinus,Diaptomus_leptopus
Tropocyclops_prasinus,Daphnia_ambigua
Tropocyclops_prasinus,Mesocyclops_edax
Mesocyclops_edax,Diaptomus_minutus
Mesocyclops_edax,Diaptomus_leptopus
Mesocyclops_edax,Daphnia_ambigua
Mesocyclops_edax,Mesocyclops_edax
Tropocyclops_prasinus,Tropocyclops_prasinus
Tropocyclops_prasinus,Diaptomus_sicilis
Salvelinus_fontinalis,Salvelinus_fontinalis
Mesocyclops_edax,Tropocyclops_prasinus
Mesocyclops_edax,Diaptomus_sicilis
Tropocyclops_prasinus,Gastropus_stylifer
Tropocyclops_prasinus,Polyarthra_major
fish_fry,copepod_nauplii
Salvelinus_fontinalis,Semotilus_atromaculatus
Mesocyclops_edax,Gastropus_stylifer
Mesocyclops_edax,Polyarthra_major
Salvelinus_fontinalis,Chrosomus_eos
fish_fry,Holopedium_gibberum
fish_fry,Daphnia_pulex
Tropocyclops_prasinus,Keratella_taurocephala
Mesocyclops_edax,Keratella_taurocephala
fish_fry,Diaptomus_minutus
fish_fry,Diaptomus_leptopus
fish_fry,Daphnia_ambigua
fish_fry,Daphnia_catawba
fish_fry,Daphnia_retrocurva
fish_fry,Mesocyclops_edax
Chrosomus_eos,copepod_nauplii
fish_fry,Tropocyclops_prasinus
fish_fry,Diaptomus_sicilis
fish_fry,Gastropus_stylifer
fish_fry,Polyarthra_major
Semotilus_atromaculatus,copepod_nauplii
Salvelinus_fontinalis,fish_fry
Chrosomus_eos,Holopedium_gibberum
Chrosomus_eos,Daphnia_pulex
Chrosomus_eos,Diaptomus_minutus
Chrosomus_eos,Diaptomus_leptopus
Chrosomus_eos,Daphnia_ambigua
Chrosomus_eos,Daphnia_catawba
Chrosomus_eos,Daphnia_retrocurva
Chrosomus_eos,Mesocyclops_edax
Chrosomus_eos,Tropocyclops_prasinus
Semotilus_atromaculatus,Holopedium_gibberum
Chrosomus_eos,Diaptomus_sicilis
Semotilus_atromaculatus,Daphnia_pulex
fish_fry,Keratella_taurocephala
Semotilus_atromaculatus,Diaptomus_minutus
Semotilus_atromaculatus,Diaptomus_leptopus
Semotilus_atromaculatus,Daphnia_ambigua
Semotilus_atromaculatus,Daphnia_catawba
Semotilus_atromaculatus,Daphnia_retrocurva
Semotilus_atromaculatus,Mesocyclops_edax
Chrosomus_eos,Gastropus_stylifer
Chrosomus_eos,Polyarthra_major
Semotilus_atromaculatus,Tropocyclops_prasinus
Semotilus_atromaculatus,Diaptomus_sicilis
Semotilus_atromaculatus,Gastropus_stylifer
Semotilus_atromaculatus,Polyarthra_major
Chrosomus_eos,Keratella_taurocephala
Semotilus_atromaculatus,Keratella_taurocephala
