consumer,resource
Evadne_nordmanni,Calanus_helgolandicus
Evadne_nordmanni,Metridia_lucens
Evadne_nordmanni,Pseudocalanus_elongatus
Evadne_nordmanni,Microcalanus_pusillis
Evadne_nordmanni,Paracalanus_parvus
Evadne_nordmanni,Temora_longicornis
Evadne_nordmanni,Eutemora_hirundoides
Evadne_nordmanni,Acartia_clausi
Evadne_nordmanni,Centropages_typicus
Evadne_nordmanni,Calanus_elongatus
Podon_intermedius,Calanus_helgolandicus
Podon_intermedius,Metridia_lucens
Podon_intermedius,Pseudocalanus_elongatus
Podon_intermedius,Microcalanus_pusillis
Podon_intermedius,Paracalanus_parvus
Podon_intermedius,Temora_longicornis
Podon_intermedius,Eutemora_hirundoides
Podon_intermedius,Acartia_clausi
Podon_intermedius,Centropages_typicus
Podon_intermedius,Calanus_elongatus
Calanus_helgolandicus,Calanus_helgolandicus
Calanus_helgolandicus,Metridia_lucens
Calanus_helgolandicus,Pseudocalanus_elongatus
Calanus_helgolandicus,Microcalanus_pusillis
Calanus_helgolandicus,Paracalanus_parvus
Calanus_helgolandicus,Temora_longicornis
Calanus_helgolandicus,Eutemora_hirundoides
Calanus_helgolandicus,Acartia_clausi
Calanus_helgolandicus,Centropages_typicus
Calanus_helgolandicus,Calanus_elongatus
Metridia_lucens,Oikopleura_dioica
Pseudocalanus_elongatus,Oikopleura_dioica
Paracalanus_parvus,Calanus_helgolandicus
Paracalanus_parvus,Pseudocalanus_elongatus
Paracalanus_parvus,Microcalanus_pusillis
Paracalanus_parvus,Paracalanus_parvus
Paracalanus_parvus,Calanus_elongatus
Oithona_nana,Calanus_helgolandicus
Oithona_nana,Metridia_lucens
Oithona_nana,Pseudocalanus_elongatus
Oithona_nana,Microcalanus_pusillis
Oithona_nana,Paracalanus_parvus
Oithona_nana,Temora_longicornis
Oithona_nana,Eutemora_hirundoides
Oithona_nana,Acartia_clausi
Oithona_nana,Centropages_typicus
Oithona_nana,Calanus_elongatus
Colomastix_pusilla,Plakortis_simplex
Colomastix_pusilla,Haliclona_rosea
Colomastix_pusilla,Halichondria_bowerbanki
Colomastix_pusilla,Leucosolenia_complicata
Colomastix_pusilla,Phorbas_dives
Colomastix_pusilla,Hymedesmia_paupertas
Colomastix_pusilla,Mycale_contareni
Colomastix_pusilla,Dercitus_bucklandi
Colomastix_pusilla,Dysidea_pallescens
Colomastix_pusilla,Haliclona_simulans
Colomastix_pusilla,Haliclona_cinerea
Colomastix_pusilla,Mycale_macilenta
Colomastix_pusilla,Prosuberites_epiphytum
Colomastix_pusilla,Phorbas_plumosum
Colomastix_pusilla,Cliona_celata
Colomastix_pusilla,Myxilla_rosacea
Colomastix_pusilla,Pachymatisma_johnstonia
Colomastix_pusilla,Mycale_rotalis
Colomastix_pusilla,Antho_involvens
Colomastix_pusilla,Haliclona_angulata
Colomastix_pusilla,Terpios_fugax
Gammarellus_angulosus,Calanus_helgolandicus
Gammarellus_angulosus,Metridia_lucens
Gammarellus_angulosus,Pseudocalanus_elongatus
Gammarellus_angulosus,Microcalanus_pusillis
Gammarellus_angulosus,Paracalanus_parvus
Gammarellus_angulosus,Temora_longicornis
Gammarellus_angulosus,Eutemora_hirundoides
Gammarellus_angulosus,Acartia_clausi
Gammarellus_angulosus,Centropages_typicus
Gammarellus_angulosus,Calanus_elongatus
Gammaropsis_maculata,Calanus_helgolandicus
Gammaropsis_maculata,Metridia_lucens
Gammaropsis_maculata,Pseudocalanus_elongatus
Gammaropsis_maculata,Microcalanus_pusillis
Gammaropsis_maculata,Paracalanus_parvus
Gammaropsis_maculata,Temora_longicornis
Gammaropsis_maculata,Eutemora_hirundoides
Gammaropsis_maculata,Acartia_clausi
Gammaropsis_maculata,Centropages_typicus
Gammaropsis_maculata,Calanus_elongatus
Caprella_penantis,Calanus_helgolandicus
Caprella_penantis,Metridia_lucens
Caprella_penantis,Pseudocalanus_elongatus
Caprella_penantis,Microcalanus_pusillis
Caprella_penantis,Paracalanus_parvus
Caprella_penantis,Temora_longicornis
Caprella_penantis,Eutemora_hirundoides
Caprella_penantis,Acartia_clausi
Caprella_penantis,Centropages_typicus
Caprella_penantis,Calanus_elongatus
Caprella_fretensis,Fritillaria_borealis
Caprella_fretensis,Calanus_helgolandicus
Caprella_fretensis,Metridia_lucens
Caprella_fretensis,Pseudocalanus_elongatus
Caprella_fretensis,Microcalanus_pusillis
Caprella_fretensis,Paracalanus_parvus
Caprella_fretensis,Temora_longicornis
Caprella_fretensis,Eutemora_hirundoides
Caprella_fretensis,Acartia_clausi
Caprella_fretensis,Centropages_typicus
Caprella_fretensis,Calanus_elongatus
Caprella_linearis,Oikopleura_dioica
Caprella_linearis,Fritillaria_borealis
Caprella_linearis,Evadne_nordmanni
Caprella_linearis,Podon_intermedius
Caprella_linearis,Calanus_helgolandicus
Caprella_linearis,Metridia_lucens
Caprella_linearis,Pseudocalanus_elongatus
Caprella_linearis,Microcalanus_pusillis
Caprella_linearis,Paracalanus_parvus
Caprella_linearis,Temora_longicornis
Caprella_linearis,Eutemora_hirundoides
Caprella_linearis,Acartia_clausi
Caprella_linearis,Centropages_typicus
Caprella_linearis,Calanus_elongatus
Caprella_linearis,Tigriopus_californicus
Caprella_linearis,Thalestris_rufovalescans
Caprella_linearis,Diosaccuss_tenuicornis
Caprella_linearis,Zaus_spinatus
Caprella_linearis,Tigriopus_brevicornis
Caprella_linearis,Oithona_nana
Caprella_linearis,Oithona_helgolandica
Gitana_sarsi,Calanus_helgolandicus
Gitana_sarsi,Metridia_lucens
Gitana_sarsi,Pseudocalanus_elongatus
Gitana_sarsi,Microcalanus_pusillis
Gitana_sarsi,Paracalanus_parvus
Gitana_sarsi,Temora_longicornis
Gitana_sarsi,Eutemora_hirundoides
Gitana_sarsi,Acartia_clausi
Gitana_sarsi,Centropages_typicus
Gitana_sarsi,Calanus_elongatus
Iphimedia_minuta,Plakortis_simplex
Iphimedia_minuta,Haliclona_rosea
Iphimedia_minuta,Halichondria_bowerbanki
Iphimedia_minuta,Leucosolenia_complicata
Iphimedia_minuta,Phorbas_dives
Iphimedia_minuta,Hymedesmia_paupertas
Iphimedia_minuta,Mycale_contareni
Iphimedia_minuta,Dercitus_bucklandi
Iphimedia_minuta,Dysidea_pallescens
Iphimedia_minuta,Haliclona_simulans
Iphimedia_minuta,Haliclona_cinerea
Iphimedia_minuta,Mycale_macilenta
Iphimedia_minuta,Prosuberites_epiphytum
Iphimedia_minuta,Phorbas_plumosum
Iphimedia_minuta,Cliona_celata
Iphimedia_minuta,Myxilla_rosacea
Iphimedia_minuta,Pachymatisma_johnstonia
Iphimedia_minuta,Mycale_rotalis
Iphimedia_minuta,Antho_involvens
Iphimedia_minuta,Haliclona_angulata
Iphimedia_minuta,Terpios_fugax
Iphimedia_nexa,Plakortis_simplex
Iphimedia_nexa,Haliclona_rosea
Iphimedia_nexa,Halichondria_bowerbanki
Iphimedia_nexa,Leucosolenia_complicata
Iphimedia_nexa,Phorbas_dives
Iphimedia_nexa,Hymedesmia_paupertas
Iphimedia_nexa,Mycale_contareni
Iphimedia_nexa,Dercitus_bucklandi
Iphimedia_nexa,Dysidea_pallescens
Iphimedia_nexa,Haliclona_simulans
Iphimedia_nexa,Haliclona_cinerea
Iphimedia_nexa,Mycale_macilenta
Iphimedia_nexa,Prosuberites_epiphytum
Iphimedia_nexa,Phorbas_plumosum
Iphimedia_nexa,Cliona_celata
Iphimedia_nexa,Myxilla_rosacea
Iphimedia_nexa,Pachymatisma_johnstonia
Iphimedia_nexa,Mycale_rotalis
Iphimedia_nexa,Antho_involvens
Iphimedia_nexa,Haliclona_angulata
Iphimedia_nexa,Terpios_fugax
Iphimedia_perplexa,Plakortis_simplex
Iphimedia_perplexa,Haliclona_rosea
Iphimedia_perplexa,Halichondria_bowerbanki
Iphimedia_perplexa,Leucosolenia_complicata
Iphimedia_perplexa,Phorbas_dives
Iphimedia_perplexa,Hymedesmia_paupertas
Iphimedia_perplexa,Mycale_contareni
Iphimedia_perplexa,Dercitus_bucklandi
Iphimedia_perplexa,Dysidea_pallescens
Iphimedia_perplexa,Haliclona_simulans
Iphimedia_perplexa,Haliclona_cinerea
Iphimedia_perplexa,Mycale_macilenta
Iphimedia_perplexa,Prosuberites_epiphytum
Iphimedia_perplexa,Phorbas_plumosum
Iphimedia_perplexa,Cliona_celata
Iphimedia_perplexa,Myxilla_rosacea
Iphimedia_perplexa,Pachymatisma_johnstonia
Iphimedia_perplexa,Mycale_rotalis
Iphimedia_perplexa,Antho_involvens
Iphimedia_perplexa,Haliclona_angulata
Iphimedia_perplexa,Terpios_fugax
Pseudoprotella_phasma,Fish_eggs/larvae
Hyperia_galba,Calanus_helgolandicus
Hyperia_galba,Metridia_lucens
Hyperia_galba,Pseudocalanus_elongatus
Hyperia_galba,Microcalanus_pusillis
Hyperia_galba,Paracalanus_parvus
Hyperia_galba,Temora_longicornis
Hyperia_galba,Eutemora_hirundoides
Hyperia_galba,Acartia_clausi
Hyperia_galba,Centropages_typicus
Hyperia_galba,Calanus_elongatus
Caryophyllia_smithii,Calanus_helgolandicus
Caryophyllia_smithii,Metridia_lucens
Caryophyllia_smithii,Pseudocalanus_elongatus
Caryophyllia_smithii,Microcalanus_pusillis
Caryophyllia_smithii,Paracalanus_parvus
Caryophyllia_smithii,Temora_longicornis
Caryophyllia_smithii,Eutemora_hirundoides
Caryophyllia_smithii,Acartia_clausi
Caryophyllia_smithii,Centropages_typicus
Caryophyllia_smithii,Calanus_elongatus
Anthopleura_ballii,Calanus_helgolandicus
Anthopleura_ballii,Metridia_lucens
Anthopleura_ballii,Pseudocalanus_elongatus
Anthopleura_ballii,Microcalanus_pusillis
Anthopleura_ballii,Paracalanus_parvus
Anthopleura_ballii,Temora_longicornis
Anthopleura_ballii,Eutemora_hirundoides
Anthopleura_ballii,Acartia_clausi
Anthopleura_ballii,Centropages_typicus
Anthopleura_ballii,Calanus_elongatus
Anthopleura_ballii,Gobiusculus_flavescens
Anthopleura_ballii,Fish_eggs/larvae
Metridium_senile,Calanus_helgolandicus
Metridium_senile,Metridia_lucens
Metridium_senile,Pseudocalanus_elongatus
Metridium_senile,Microcalanus_pusillis
Metridium_senile,Paracalanus_parvus
Metridium_senile,Temora_longicornis
Metridium_senile,Eutemora_hirundoides
Metridium_senile,Acartia_clausi
Metridium_senile,Centropages_typicus
Metridium_senile,Calanus_elongatus
Metridium_senile,Fish_eggs/larvae
Bougainvillea_ramosa,Calanus_helgolandicus
Bougainvillea_ramosa,Metridia_lucens
Bougainvillea_ramosa,Pseudocalanus_elongatus
Bougainvillea_ramosa,Microcalanus_pusillis
Bougainvillea_ramosa,Paracalanus_parvus
Bougainvillea_ramosa,Temora_longicornis
Bougainvillea_ramosa,Eutemora_hirundoides
Bougainvillea_ramosa,Acartia_clausi
Bougainvillea_ramosa,Centropages_typicus
Bougainvillea_ramosa,Calanus_elongatus
Turbularia_indivisa,Calanus_helgolandicus
Turbularia_indivisa,Metridia_lucens
Turbularia_indivisa,Pseudocalanus_elongatus
Turbularia_indivisa,Microcalanus_pusillis
Turbularia_indivisa,Paracalanus_parvus
Turbularia_indivisa,Temora_longicornis
Turbularia_indivisa,Eutemora_hirundoides
Turbularia_indivisa,Acartia_clausi
Turbularia_indivisa,Centropages_typicus
