consumer,resource,NA,NA,NA,NA
Calanus_helgolandicus,species,NA,2.0998e-4,marine,3
Metridia_lucens,species,NA,9.4371e-4,marine,3
Pseudocalanus_elongatus,species,NA,8.13e-5,marine,3
Microcalanus_pusillis,species,NA,3.21e-5,marine,3
Paracalanus_parvus,species,NA,1.9044e-4,marine,3
Temora_longicornis,species,NA,9.39e-5,marine,3
Eutemora_hirundoides,species,NA,6.96e-5,marine,3
Acartia_clausi,species,NA,1.7189e-4,marine,3
Centropages_typicus,species,NA,1.0758e-4,marine,3
Calanus_elongatus,species,NA,1.3777e-4,marine,3
Oikopleura_dioica,species,NA,4.01e-5,marine,3
Plakortis_simplex,species,NA,1.9366,marine,2
Haliclona_rosea,species,NA,6.3833,marine,2
Halichondria_bowerbanki,species,NA,4.3528,marine,2
Leucosolenia_complicata,species,NA,0.0050477,marine,2
Phorbas_dives,species,NA,0.011827,marine,2
Hymedesmia_paupertas,species,NA,0.0011774,marine,2
Mycale_contareni,species,NA,18.661,marine,2
Dercitus_bucklandi,species,NA,0.14823,marine,2
Dysidea_pallescens,species,NA,0.0027588,marine,2
Haliclona_simulans,species,NA,6.3833,marine,2
Haliclona_cinerea,species,NA,1.9366,marine,2
Mycale_macilenta,species,NA,25.485,marine,2
Prosuberites_epiphytum,species,NA,1.489,marine,2
Phorbas_plumosum,species,NA,0.9319,marine,2
Cliona_celata,species,NA,18.661,marine,2
Myxilla_rosacea,species,NA,27.366,marine,2
Pachymatisma_johnstonia,species,NA,0.63546,marine,2
Mycale_rotalis,species,NA,18.661,marine,2
Antho_involvens,species,NA,0.63546,marine,2
Haliclona_angulata,species,NA,6.3833,marine,2
Terpios_fugax,species,NA,0.14823,marine,2
Fritillaria_borealis,species,NA,0.092772,marine,3
Evadne_nordmanni,species,NA,9.39e-5,marine,3
Podon_intermedius,species,NA,5.88e-5,marine,3
Tigriopus_californicus,species,NA,4.9e-5,marine,3
Thalestris_rufovalescans,species,NA,2.0998e-4,marine,3
Diosaccuss_tenuicornis,species,NA,2.51e-5,marine,3
Zaus_spinatus,species,NA,8.13e-5,marine,3
Tigriopus_brevicornis,species,NA,5.88e-5,marine,3
Oithona_nana,species,NA,3.7e-4,marine,3
Oithona_helgolandica,species,NA,0.012329,marine,3
Fish_eggs/larvae,species,NA,2.3e-4,marine,3
Gobiusculus_flavescens,species,NA,2.27,marine,3
Corynactis_viridis,species,NA,0.011827,marine,2
Anthopleura_ballii,species,NA,0.63546,marine,2
Metridium_senile,species,NA,3.0182,marine,2
Bougainvillea_ramosa,species,NA,0.0074024,marine,2
Calycella_syringa,species,NA,0.0011285,marine,2
Lovenella_producta,species,NA,3.21e-5,marine,2
Obelia_geniculata,species,NA,0.14823,marine,2
Plumularia_setacea,species,NA,0.30047,marine,2
Electra_pilosa,species,NA,0.0074024,marine,2
Menmbraiporella_nitida,species,NA,0.017345,marine,2
Elminius_modestus,species,NA,0.011827,marine,2
Semibalanus_balanoides,species,NA,0.034575,marine,2
Verruca_stroemia,species,NA,0.0031592,marine,2
Escharella_variolosa,species,NA,0.043865,marine,2
Turbularia_indivisa,species,NA,1.489,marine,2
Palaemon_serratus,species,NA,0.0033409,marine,NA
Crangon_crangon,species,NA,0.28272,marine,NA
Littorina_littorea,species,NA,0.050704,marine,NA
Mytilus_edulis,species,NA,0.77627,marine,NA
Pecten_maximus,species,NA,1.1025,marine,NA
Cerastoderma_edule,species,NA,0.050704,marine,NA
Patella_vulgata,species,NA,0.050704,marine,NA
