consumer,resource
Procerodes_littoralis,Zooplankton
Gammaridae,Zooplankton
Zooplankton,Zooplankton
Stenothoidae,Zooplankton
Oligochaeta,Zooplankton
Carcinus_maenas,Zooplankton
Austrominius_modestus,Zooplankton
Membranipora_membranaceae,Zooplankton
Palaemon_serratus,Zooplankton
Tanaidacea,Zooplankton
Oshurkovia_littoralis,Nematoda
Nematoda,Nematoda
Membranipora_membranaceae,Nematoda
Palaemon_serratus,Polychaeta
Stenothoidae,Polychaeta
Polychaeta,Polychaeta
Carcinus_maenas,Polychaeta
Oshurkovia_littoralis,Polychaeta
Gammaridae,Oligochaeta
Carcinus_maenas,Oligochaeta
Nematoda,Oligochaeta
Oligochaeta,Oligochaeta
Carcinus_maenas,Tonicella_rubra
Carcinus_maenas,Littorina_saxatilis
Pagurus_bernhardus,Littorina_saxatilis
Carcinus_maenas,Littorina_littorea
Pagurus_bernhardus,Littorina_littorea
Carcinus_maenas,Patella_vulgata
Pagurus_bernhardus,Patella_vulgata
Carcinus_maenas,Patella_depressa
Pagurus_bernhardus,Patella_depressa
Carcinus_maenas,Patella_ulyssiponensis
Pagurus_bernhardus,Patella_ulyssiponensis
Carcinus_maenas,Gibbula_cineraria
Pagurus_bernhardus,Gibbula_cineraria
Carcinus_maenas,Phorcus_lineatus
Pagurus_bernhardus,Phorcus_lineatus
Gammaridae,Cumacea
Stenothoidae,Cumacea
Sphaeromatidae,Cumacea
Polychaeta,Cumacea
Pagurus_bernhardus,Cumacea
Carcinus_maenas,Cumacea
Palaemon_serratus,Cumacea
Stenothoidae,Tanaidacea
Sphaeromatidae,Tanaidacea
Pagurus_bernhardus,Tanaidacea
Carcinus_maenas,Tanaidacea
Palaemon_serratus,Tanaidacea
Gammaridae,Gammaridae
Stenothoidae,Gammaridae
Sphaeromatidae,Gammaridae
Pagurus_bernhardus,Gammaridae
Carcinus_maenas,Gammaridae
Palaemon_serratus,Gammaridae
Stenothoidae,Stenothoidae
Sphaeromatidae,Stenothoidae
Pagurus_bernhardus,Stenothoidae
Carcinus_maenas,Stenothoidae
Palaemon_serratus,Stenothoidae
Gammaridae,Sphaeromatidae
Stenothoidae,Sphaeromatidae
Sphaeromatidae,Sphaeromatidae
Polychaeta,Sphaeromatidae
Pagurus_bernhardus,Sphaeromatidae
Carcinus_maenas,Sphaeromatidae
Palaemon_serratus,Sphaeromatidae
Carcinus_maenas,Palaemon_serratus
Palaemon_serratus,Palaemon_serratus
Pagurus_bernhardus,Palaemon_serratus
Carcinus_maenas,Pagurus_bernhardus
Carcinus_maenas,Carcinus_maenas
Carcinus_maenas,Insecta
Insecta,Insecta
Palaemon_serratus,Insecta
Carcinus_maenas,Austrominius_modestus
Gammaridae,Harparticoida
Stenothoidae,Harparticoida
Polychaeta,Harparticoida
Carcinus_maenas,Harparticoida
Ostracoda,Harparticoida
Palaemon_serratus,Harparticoida
Carcinus_maenas,Ostracoda
Palaemon_serratus,Ostracoda
Oshurkovia_littoralis,Membranipora_membranaceae
Palaemon_serratus,Membranipora_membranaceae
Palaemon_serratus,Oshurkovia_littoralis
