consumer,resource,NA,NA,NA
Gammaridae,family,NA,0.001,marine
Stenothoidae,family,NA,0.0033,marine
Nematoda,NA,NA,0.01,marine
Polychaeta,class,NA,0.002,marine
Spirorbis_spirorbis,species,NA,2e-4,marine
Oligochaeta,NA,NA,9e-4,marine
Carcinus_maenas,species,NA,0.0047,marine
Insecta,class,NA,2e-4,marine
Omalogyra_atomus,species,NA,3e-4,marine
Sphaeromatidae,family,NA,0.0017,marine
Littorina_littorea,species,NA,0.0169,marine
Harparticoida,order,NA,0.001,marine
Zooplankton,NA,NA,0.001,marine
Gammaridae,family,NA,0.001,marine
Stenothoidae,family,NA,0.0033,marine
Sphaeromatidae,family,NA,0.0017,marine
Polychaeta,class,NA,0.002,marine
Carcinus_maenas,species,NA,0.0047,marine
Nematoda,NA,NA,0.01,marine
Oligochaeta,NA,NA,9e-4,marine
Insecta,class,NA,2e-4,marine
Zooplankton,NA,NA,0.001,marine
