consumer,resource
Hydropsyche_siltalai,Chironomidae
Hydropsyche_siltalai,Leuctra_inermis
Hydropsyche_siltalai,Tanypodinae
Isoperla_grammatica,Chironomidae
Isoperla_grammatica,Isoperla_grammatica
Isoperla_grammatica,Leuctra_inermis
Isoperla_grammatica,Siphonoperla_torrentium
Isoperla_grammatica,Tanypodinae
Plectrocnemia_conspersa,Chironomidae
Plectrocnemia_conspersa,Leuctra_inermis
Plectrocnemia_conspersa,Oligochaeta
Plectrocnemia_conspersa,Plectrocnemia_conspersa
Plectrocnemia_conspersa,Siphonoperla_torrentium
Plectrocnemia_conspersa,Tanypodinae
Siphonoperla_torrentium,Chironomidae
Siphonoperla_torrentium,Isoperla_grammatica
Siphonoperla_torrentium,Leuctra_inermis
Siphonoperla_torrentium,Oligochaeta
Siphonoperla_torrentium,Siphonoperla_torrentium
Siphonoperla_torrentium,Tanypodinae
Tanypodinae,Chironomidae
Tanypodinae,Leuctra_inermis
Tanypodinae,Oligochaeta
Tanypodinae,Plectrocnemia_conspersa
Tanypodinae,Siphonoperla_torrentium
Tanypodinae,Tanypodinae
Salmo_trutta,Amphinemura_sulcicollis
Salmo_trutta,Chironomidae
Salmo_trutta,Hydropsyche_siltalai
Salmo_trutta,Isoperla_grammatica
Salmo_trutta,Leuctra_inermis
Salmo_trutta,Oligochaeta
Salmo_trutta,Tanypodinae
Salmo_trutta,Salmo_trutta
