consumer,resource,NA,NA,NA,NA
Chironomidae,family,larvae,1.94738e-4,streams,2
Leuctra_inermis,species,larvae,5.24619e-4,streams,2
Tanypodinae,family,larvae,7.02173e-4,streams,2
Isoperla_grammatica,species,larvae,0.002112057,streams,2
Siphonoperla_torrentium,species,larvae,4.76592e-4,streams,2
Oligochaeta,class,adults,3.86519e-4,streams,2
Plectrocnemia_conspersa,species,larvae,4.96477e-4,streams,2
Amphinemura_sulcicollis,species,larvae,1.07834e-4,streams,2
Hydropsyche_siltalai,species,larvae,0.0016436,streams,2
Salmo_trutta,species,adults,85.83166934,streams,3
Salmo_trutta,species,adults,85.83166934,streams,2
