consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Lipophrys_pholis,species,NA,0.01,marine,3
Coryphoblennius_galerita,species,NA,1.05,marine,3
Omalogyra_atomus,species,NA,0.01,marine,2
Copepoda,NA,NA,0.001,marine,3
Isopoda,order,NA,0.01,marine,2
Ampithoidae,family,NA,0.0076,marine,3
Ampithoidae,family,NA,0.0076,marine,2
Gammaridae,family,NA,0.0013,marine,3
Liza_ramada,species,NA,0.45,marine,3
Caprella_sp.,genus,NA,4e-4,marine,2
Pachygrapsus_transversus,species,NA,1.72,marine,2
Anemonia_sargassensis,species,NA,0.01,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.01,marine,2
Insecta,class,NA,7e-4,marine,3
Zooplankton,NA,NA,0.001,marine,3
Lipophrys_pholis,species,NA,0.01,marine,3
Isopoda,order,NA,0.01,marine,2
Ampithoidae,family,NA,0.0076,marine,3
Gammaridae,family,NA,0.0013,marine,3
Liza_ramada,species,NA,0.45,marine,3
Anemonia_sargassensis,species,NA,0.01,marine,3
Copepoda,NA,NA,0.001,marine,3
Polychaeta,class,NA,0.01,marine,3
Insecta,class,NA,7e-4,marine,3
Pachygrapsus_transversus,species,NA,1.72,marine,3
Coryphoblennius_galerita,species,NA,1.05,marine,3
Anemonia_sargassensis,species,NA,0.01,marine,2
Lipophrys_pholis,species,NA,0.01,marine,2
Coryphoblennius_galerita,species,NA,1.05,marine,2
Pachygrapsus_transversus,species,NA,1.72,marine,2
Liza_ramada,species,NA,0.45,marine,2
Gammaridae,family,NA,0.0013,marine,2
Caprella_sp.,genus,NA,4e-4,marine,2
Nematoda,NA,NA,0.01,marine,2
Ampithoidae,family,NA,0.0076,marine,2
Polychaeta,class,NA,0.01,marine,2
