consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Gammaridae,family,NA,0.0013,marine
Pachygrapsus_transversus,species,NA,2.37,marine
Palaemon_elegans,species,NA,0.13,marine
Gibbula_pennanti,species,NA,0.23,marine
Copepoda,NA,NA,0.001,marine
Polychaeta,class,NA,4e-4,marine
Insecta,class,NA,3e-4,marine
Zooplankton,NA,NA,0.001,marine
Gammaridae,family,NA,0.0013,marine
Palaemon_elegans,species,NA,0.13,marine
Acanthonyx_lunulatus,species,NA,0.18,marine
Copepoda,NA,NA,0.001,marine
Insecta,class,NA,3e-4,marine
Pachygrapsus_transversus,species,NA,2.37,marine
Polychaeta,class,NA,4e-4,marine
